year,rwi
1440,9.999
1441,9.999
1442,9.999
1443,9.999
1444,9.999
1445,0.945
1446,1.047
1447,0.854
1448,0.892
1449,1.591
1450,1.639
1451,1.82
1452,1.272
1453,0.41
1454,0.745
1455,0.722
1456,1.089
1457,0.839
1458,0.981
1459,0.939
1460,1.074
1461,0.972
1462,0.797
1463,0.74
1464,0.949
1465,0.967
1466,1.118
1467,1.398
1468,1.351
1469,1.205
1470,0.914
1471,1.031
1472,0.925
1473,1.204
1474,1
1475,0.883
1476,1.058
1477,0.999
1478,1.013
1479,1.253
1480,1.221
1481,1.025
1482,1.016
1483,0.898
1484,0.835
1485,0.611
1486,0.594
1487,0.591
1488,0.636
1489,0.586
1490,0.645
1491,0.804
1492,0.931
1493,0.873
1494,0.972
1495,0.807
1496,0.923
1497,0.989
1498,0.911
1499,0.99
1500,0.797
1501,0.935
1502,0.939
1503,1.005
1504,0.896
1505,1.023
1506,1.138
1507,1.243
1508,1.136
1509,1.143
1510,1.262
1511,1.138
1512,1.104
1513,1.025
1514,0.923
1515,1.134
1516,1.106
1517,1.167
1518,1.017
1519,1.034
1520,1.107
1521,1.143
1522,1.164
1523,1.028
1524,0.981
1525,1.212
1526,1.158
1527,1.035
1528,0.971
1529,1.039
1530,0.924
1531,0.854
1532,1.005
1533,0.932
1534,1.053
1535,1.04
1536,1.187
1537,1.157
1538,1.063
1539,1.092
1540,0.926
1541,1.143
1542,1.078
1543,1.083
1544,1.088
1545,0.998
1546,0.98
1547,0.94
1548,1.037
1549,0.788
1550,0.92
1551,0.748
1552,0.822
1553,0.763
1554,0.796
1555,0.919
1556,1.02
1557,0.75
1558,0.747
1559,0.96
1560,0.913
1561,1.112
1562,1.072
1563,0.808
1564,0.829
1565,0.896
1566,0.992
1567,1.196
1568,0.988
1569,0.961
1570,1.038
1571,1.124
1572,0.978
1573,0.845
1574,0.912
1575,0.813
1576,1.023
1577,0.977
1578,0.98
1579,1.172
1580,1.161
1581,1.068
1582,0.938
1583,1.008
1584,1.039
1585,1.133
1586,1.078
1587,0.941
1588,1.124
1589,1.085
1590,0.945
1591,0.853
1592,1.065
1593,0.984
1594,1.012
1595,1.023
1596,1.026
1597,0.834
1598,0.991
1599,0.98
1600,1.029
1601,0.865
1602,1.119
1603,1.141
1604,1.154
1605,1.015
1606,0.995
1607,1.113
1608,1.151
1609,1.138
1610,0.987
1611,1.117
1612,0.937
1613,0.953
1614,1.133
1615,1.019
1616,1.066
1617,1.194
1618,1.119
1619,0.996
1620,1.173
1621,0.958
1622,0.888
1623,1.004
1624,0.94
1625,1.008
1626,0.929
1627,0.927
1628,0.907
1629,0.796
1630,0.926
1631,0.999
1632,1.003
1633,1.204
1634,1.102
1635,1.107
1636,1.035
1637,1.175
1638,1.16
1639,1.208
1640,1.404
1641,1.171
1642,1.08
1643,0.956
1644,0.981
1645,1.158
1646,1.168
1647,1.102
1648,0.964
1649,0.873
1650,0.911
1651,0.915
1652,0.777
1653,0.833
1654,0.814
1655,0.87
1656,1.323
1657,0.943
1658,0.765
1659,0.653
1660,0.649
1661,0.756
1662,0.869
1663,0.921
1664,1.001
1665,1.011
1666,1.091
1667,0.987
1668,0.969
1669,0.93
1670,0.96
1671,0.861
1672,0.841
1673,0.839
1674,0.799
1675,0.964
1676,1.038
1677,0.933
1678,0.796
1679,0.869
1680,1.033
1681,1.093
1682,1.098
1683,1.032
1684,1.198
1685,1.05
1686,1.383
1687,1.471
1688,1.132
1689,1.152
1690,0.912
1691,1.129
1692,1.075
1693,0.986
1694,0.974
1695,0.884
1696,0.682
1697,0.812
1698,0.861
1699,0.924
1700,0.893
1701,0.78
1702,1.149
1703,1.26
1704,0.836
1705,0.861
1706,0.843
1707,0.834
1708,0.887
1709,1.125
1710,1.075
1711,0.969
1712,0.761
1713,0.852
1714,1.01
1715,0.88
1716,0.89
1717,1.093
1718,1.183
1719,1.039
1720,0.992
1721,1.165
1722,1.17
1723,1.237
1724,1.221
1725,1.183
1726,1.296
1727,1.161
1728,1.076
1729,1.045
1730,1.162
1731,0.833
1732,0.925
1733,1.023
1734,1.014
1735,0.871
1736,0.771
1737,0.845
1738,1.206
1739,1.045
