year,rwi
1382,0.71
1383,0.54
1384,0.465
1385,0.63
1386,0.679
1387,0.529
1388,0.55
1389,0.482
1390,0.579
1391,0.455
1392,0.456
1393,0.539
1394,0.685
1395,1.643
1396,1.048
1397,0.644
1398,0.666
1399,0.45
1400,0.925
1401,1.439
1402,0.615
1403,0.516
1404,0.722
1405,1.07
1406,0.428
1407,1.049
1408,1.885
1409,1.907
1410,1.458
1411,0.906
1412,1.055
1413,1.044
1414,1.036
1415,1.87
1416,1.65
1417,1.666
1418,0.848
1419,0.737
1420,1.612
1421,2.416
1422,2.013
1423,1.478
1424,0.979
1425,0.803
1426,0.574
1427,0.441
1428,0.68
1429,2.034
1430,0.784
1431,0.922
1432,0.962
1433,1.232
1434,0.963
1435,1.135
1436,0.588
1437,0.799
1438,0.988
1439,0.561
1440,0.938
1441,1.189
1442,1.218
1443,1.096
1444,1.311
1445,1.022
1446,1.309
1447,0.739
1448,0.469
1449,0.69
1450,0.417
1451,0.457
1452,0.564
1453,0.515
1454,0.725
1455,0.822
1456,1.042
1457,0.946
1458,1.054
1459,0.991
1460,1.123
1461,0.864
1462,0.965
1463,1.042
1464,1.193
1465,0.801
1466,0.255
1467,0.653
1468,1.077
1469,1.086
1470,0.866
1471,1.07
1472,1.461
1473,1.125
1474,1.17
1475,1.717
1476,1.586
1477,1.115
1478,0.909
1479,1.073
1480,0.884
1481,1.468
1482,1.562
1483,1.286
1484,1.244
1485,1.159
1486,1.104
1487,1.166
1488,0.998
1489,0.905
1490,0.684
1491,1.001
1492,1.056
1493,1.013
1494,0.986
1495,0.861
1496,0.998
1497,1.083
1498,0.781
1499,0.771
1500,0.92
1501,0.921
1502,1.104
1503,1.15
1504,0.879
1505,0.779
1506,1.216
1507,1.411
1508,1.133
1509,1.031
1510,1.047
1511,1.107
1512,0.856
1513,0.779
1514,0.727
1515,0.984
1516,0.833
1517,0.871
1518,0.922
1519,1.066
1520,1.267
1521,0.987
1522,0.99
1523,0.598
1524,1.125
1525,1.129
1526,0.76
1527,0.499
1528,0.562
1529,0.729
1530,0.823
1531,1.042
1532,1.265
1533,1.1
1534,0.951
1535,0.964
1536,1.035
1537,0.933
1538,1.097
1539,1.548
1540,1.378
1541,1.423
1542,1.222
1543,1.103
1544,1.337
1545,1.442
1546,1.235
1547,1.031
1548,0.695
1549,0.29
1550,0.39
1551,0.829
1552,0.787
1553,0.703
1554,0.897
1555,1.01
1556,1.265
1557,0.641
1558,0.832
1559,1.206
1560,1.607
1561,1.29
1562,1.104
1563,1.034
1564,1.403
1565,1.472
1566,1.072
1567,0.943
1568,0.995
1569,0.922
1570,0.893
1571,1.006
1572,1.103
1573,1.168
1574,0.782
1575,0.512
1576,0.355
1577,0.406
1578,0.994
1579,1.026
1580,1
1581,0.976
