year,rwi
1858,0.774
1859,0.824
1860,1.408
1861,1.065
1862,0.84
1863,1.004
1864,0.883
1865,1.347
1866,1.461
1867,0.901
1868,0.53
1869,0.954
1870,1.056
1871,1.118
1872,0.952
1873,0.851
1874,0.682
1875,0.806
1876,0.993
1877,1.088
1878,1.149
1879,1.048
1880,1.394
1881,1.322
1882,1.194
1883,0.992
1884,0.868
1885,0.484
1886,1.001
1887,1.336
1888,0.841
1889,0.643
1890,0.791
1891,0.955
1892,0.866
1893,1.005
1894,0.894
1895,1.271
1896,1.035
1897,1.082
1898,0.89
1899,0.761
1900,0.737
1901,0.887
1902,0.859
1903,1.164
1904,1.19
1905,1.254
1906,1.032
1907,0.855
1908,0.945
1909,0.963
1910,1.272
1911,1.172
1912,1.06
1913,1.137
1914,0.914
1915,1.086
1916,1.198
1917,0.983
1918,0.93
1919,1.028
1920,0.432
1921,0.847
1922,1.107
1923,1.094
1924,0.806
1925,0.708
1926,0.794
1927,0.825
1928,0.668
1929,1.063
1930,0.984
1931,1.132
1932,1.178
1933,0.925
1934,1.096
1935,1.264
1936,1.332
1937,1.109
1938,1.075
1939,1.011
1940,0.756
1941,0.652
1942,0.827
1943,1.015
1944,1.132
1945,0.846
1946,1.194
1947,1.029
1948,0.967
1949,1.052
1950,0.957
1951,1.094
1952,0.873
1953,0.931
1954,0.733
1955,1.015
1956,0.735
1957,1.193
1958,0.941
1959,0.953
1960,0.893
1961,1.158
1962,0.972
1963,1.232
1964,0.944
1965,0.955
1966,1.109
1967,0.874
1968,0.911
1969,0.987
1970,0.998
1971,0.916
1972,1.091
1973,1.027
1974,0.901
1975,1.162
1976,0.74
1977,0.96
1978,1.02
1979,0.932
1980,0.944
1981,1.119
1982,0.91
1983,1.082
1984,0.819
1985,1.019
1986,1.228
1987,1.017
1988,1.176
1989,0.887
1990,1.2
1991,1.048
1992,0.699
1993,1.068
1994,0.779
1995,0.698
1996,1.028
1997,1.206
1998,1.014
1999,1.072
2000,0.805
2001,0.997
2002,0.95
2003,1.057
2004,0.939
2005,1.305
2006,0.837
