year,rwi
1743,1.944
1744,3.372
1745,1.866
1746,2.946
1747,2.22
1748,2.343
1749,2.495
1750,2.964
1751,1.015
1752,1.603
1753,2.188
1754,2.43
1755,2.338
1756,3.34
1757,0.996
1758,2.38
1759,1.271
1760,2.477
1761,2.381
1762,2.583
1763,2.752
1764,2.873
1765,1.277
1766,1.969
1767,2.918
1768,3.146
1769,2.145
1770,2.163
1771,2.328
1772,2.813
1773,2.119
1774,2.941
1775,2.956
1776,2.009
1777,2.066
1778,2.17
1779,2.063
1780,1.533
1781,2.817
1782,3.351
1783,2.538
1784,2.58
1785,1.385
1786,1.379
1787,1.2
1788,1.449
1789,2.349
1790,1.32
1791,1.793
1792,1.687
1793,1.631
1794,1.667
1795,1.526
1796,1.475
1797,1.703
1798,1.606
1799,1.047
1800,1.199
1801,1.754
1802,2.316
1803,1.648
1804,2.062
1805,1.808
1806,2.28
1807,2.099
1808,1.705
1809,2.053
1810,2.92
1811,1.844
1812,1.726
1813,1.807
1814,2.225
1815,2.371
1816,1.55
1817,2.154
1818,2.421
1819,2.295
1820,2.448
1821,2.058
1822,2.17
1823,1.675
1824,1.527
1825,1.79
1826,1.914
1827,1.886
1828,1.826
1829,2.047
1830,2.035
1831,2.364
1832,1.734
1833,1.803
1834,1.867
1835,1.927
1836,1.793
1837,1.547
1838,1.672
1839,1.76
1840,1.626
1841,1.018
1842,1.524
1843,2.031
1844,2.255
1845,1.718
1846,1.856
1847,1.599
1848,1.629
1849,1.471
1850,1.607
1851,1.61
1852,1.51
1853,1.284
1854,1.606
1855,1.674
1856,1.775
1857,1.901
1858,1.621
1859,1.761
1860,1.978
1861,2.05
1862,1.323
1863,0.866
1864,1.27
1865,1.333
1866,0.982
1867,1.787
1868,1.958
1869,1.59
1870,1.8
1871,1.981
1872,1.884
1873,2.512
1874,1.996
1875,1.972
1876,2.127
1877,1.899
1878,2.125
1879,2.172
1880,1.872
1881,2.543
1882,2.38
1883,3.173
1884,2.181
1885,2.317
1886,2.831
1887,3.107
1888,2.06
1889,1.85
1890,2.127
1891,2.083
1892,1.974
1893,2.316
1894,1.608
1895,1.709
1896,2.581
1897,1.967
1898,1.719
1899,1.907
1900,2.525
1901,2.173
1902,2.566
1903,2.107
1904,2.475
1905,1.952
1906,2.41
1907,2.145
1908,2.007
1909,1.966
1910,1.225
1911,1.556
1912,1.894
1913,1.665
1914,2.022
1915,1.54
1916,1.565
1917,1.853
1918,2.145
1919,1.933
1920,2.051
1921,2.071
1922,1.837
1923,1.643
1924,2.098
1925,1.683
1926,1.942
1927,1.286
1928,1.687
1929,1.697
1930,1.948
1931,1.814
1932,1.888
1933,1.522
1934,1.951
1935,2.09
1936,1.505
1937,1.427
1938,1.041
1939,1.123
1940,1.741
1941,1.723
1942,1.61
1943,1.298
1944,1.456
1945,1.56
1946,1.107
1947,1.601
1948,1.193
1949,0.611
1950,0.931
1951,1.301
1952,1.237
1953,1.414
1954,1.199
1955,0.971
1956,1.15
1957,1.129
1958,1.296
1959,1.322
1960,0.95
1961,1.044
1962,0.852
1963,0.989
1964,0.901
1965,1.157
1966,1.17
1967,1.108
1968,1.052
1969,0.996
1970,0.985
1971,0.602
1972,0.88
1973,0.91
1974,0.991
1975,1.05
1976,1.066
1977,0.983
1978,1.61
1979,1.048
1980,0.898
1981,0.932
1982,1.03
1983,0.934
1984,1.106
1985,1.016
1986,0.742
1987,0.944
1988,1.248
1989,1.329
1990,1.13
1991,1.27
1992,1.069
1993,1.1
1994,1.187
1995,1.226
1996,1.117
1997,1.125
1998,0.932
1999,0.98
2000,0.925
2001,0.933
2002,0.72
2003,0.648
2004,0.81
2005,0.913
