year,rwi
1579,1.353
1580,1.571
1581,1.326
1582,0.784
1583,0.809
1584,0.814
1585,1.051
1586,0.902
1587,0.942
1588,1.053
1589,1.169
1590,1.107
1591,1.253
1592,0.791
1593,1.212
1594,0.997
1595,0.717
1596,0.845
1597,0.891
1598,0.876
1599,0.851
1600,0.892
1601,0.961
1602,1.136
1603,1.048
1604,0.897
1605,0.892
1606,1.055
1607,1.108
1608,0.981
1609,0.889
1610,0.834
1611,0.904
1612,0.892
1613,0.888
1614,0.919
1615,1.046
1616,0.92
1617,1.005
1618,1.029
1619,1.033
1620,0.979
1621,0.883
1622,1.003
1623,1.137
1624,1.045
1625,0.897
1626,1.022
1627,1.14
1628,1.048
1629,1.109
1630,0.954
1631,1.064
1632,1.026
1633,1.121
1634,0.984
1635,0.781
1636,0.919
1637,1.059
1638,1.123
1639,1.016
1640,1.059
1641,1.24
1642,1.124
1643,1.102
1644,1.008
1645,0.846
1646,0.786
1647,0.787
1648,0.86
1649,0.903
1650,0.884
1651,0.769
1652,0.871
1653,0.803
1654,0.988
1655,1.081
1656,1.245
1657,1.148
1658,1.305
1659,1.148
1660,1.071
1661,1.033
1662,0.884
1663,1.045
1664,1.061
1665,0.917
1666,0.725
1667,0.601
1668,0.776
1669,1.03
1670,0.974
1671,1.009
1672,1.091
1673,1.116
1674,1.127
1675,0.973
1676,0.87
1677,0.834
1678,0.774
1679,1.043
1680,1.127
1681,1.047
1682,1.177
1683,1.305
1684,1.126
1685,1.304
1686,0.884
1687,0.874
1688,0.769
1689,0.977
1690,0.935
1691,1.097
1692,1.068
1693,0.99
1694,1.063
1695,1.036
