year,rwi
1804,1.888
1805,1.319
1806,1.229
1807,1.791
1808,1.355
1809,1.587
1810,1.072
1811,0.919
1812,0.547
1813,0.593
1814,0.782
1815,0.765
1816,0.448
1817,0.514
1818,0.356
1819,0.31
1820,0.337
1821,0.363
1822,0.308
1823,0.329
1824,0.404
1825,0.334
1826,0.301
1827,0.659
1828,0.777
1829,0.505
1830,0.837
1831,1.191
1832,1.274
1833,1.506
1834,1.439
1835,0.982
1836,1.4
1837,1.007
1838,0.876
1839,1.211
1840,1.346
1841,1.182
1842,1.417
1843,1.13
1844,1.579
1845,0.857
1846,1.15
1847,0.752
1848,0.706
1849,0.882
1850,0.871
1851,0.965
1852,0.848
1853,0.948
1854,1.113
1855,1.213
1856,0.965
1857,1.183
1858,0.897
1859,1.044
1860,0.899
1861,0.748
1862,1.121
1863,0.573
1864,0.737
1865,0.954
1866,0.91
1867,1.074
1868,0.922
1869,1.259
1870,0.958
1871,0.843
1872,0.669
1873,0.738
1874,0.728
1875,0.783
1876,1.098
1877,1.056
1878,1.29
1879,0.871
1880,0.848
1881,0.837
1882,0.928
1883,0.987
1884,1.113
1885,0.629
1886,1.431
1887,1.034
1888,1.066
1889,1.267
1890,0.987
1891,1.469
1892,1.164
1893,0.727
1894,0.933
1895,1.089
1896,1.081
1897,1.302
1898,0.729
1899,0.916
1900,0.965
1901,1.022
1902,0.827
1903,1.151
1904,1.499
1905,1.31
1906,1.092
1907,1.182
1908,1.056
1909,1.136
1910,1.211
1911,0.711
1912,0.854
1913,0.86
1914,0.892
1915,1.134
1916,1.38
1917,1.288
1918,0.826
1919,0.971
1920,1.205
1921,1
1922,0.963
1923,0.94
1924,1.104
1925,0.85
1926,0.853
1927,1.072
1928,1.059
1929,0.991
1930,0.707
1931,0.705
1932,0.894
1933,0.888
1934,0.996
1935,0.957
1936,0.784
1937,1.064
1938,1.003
1939,0.862
1940,0.832
1941,0.881
1942,0.781
1943,0.984
1944,0.795
1945,0.972
1946,0.898
1947,0.86
1948,0.844
1949,0.98
1950,1.16
1951,1.152
1952,0.937
1953,0.957
1954,0.865
1955,0.776
1956,0.841
1957,0.937
1958,0.952
1959,0.94
1960,0.942
1961,1.099
1962,1.017
1963,1.039
1964,0.932
1965,0.855
1966,0.933
1967,0.927
1968,1.127
1969,1.116
1970,1.059
1971,1.15
1972,1.257
1973,1.323
1974,1.253
1975,1.154
1976,1.175
1977,1.22
