year,rwi
1842,1.34
1843,1.09
1844,1.21
1845,0.82
1846,1.02
1847,0.94
1848,0.86
1849,1.06
1850,0.46
1851,0.4
1852,0.16
1853,0.46
1854,0.59
1855,0.3
1856,0.28
1857,0.52
1858,0.38
1859,0.53
1860,0.33
1861,0.36
1862,0.82
1863,0.6
1864,0.525
1865,0.875
1866,1.005
1867,0.89
1868,0.949
1869,0.904
1870,0.646
1871,0.549
1872,0.6
1873,0.877
1874,0.868
1875,0.899
1876,0.697
1877,0.612
1878,0.629
1879,1.058
1880,1.042
1881,0.972
1882,0.991
1883,0.884
1884,0.726
1885,0.757
1886,0.9
1887,1.156
1888,1.357
1889,1.242
1890,1.053
1891,0.973
1892,0.828
1893,0.763
1894,0.804
1895,0.734
1896,0.903
1897,0.936
1898,1.351
1899,1.347
1900,1.066
1901,1.163
1902,1.266
1903,1.292
1904,1.203
1905,1.353
1906,1.196
1907,1.067
1908,1.023
1909,0.831
1910,0.954
1911,1.021
1912,1.187
1913,1.268
1914,1.47
1915,1.779
1916,1.894
1917,1.646
1918,1.811
1919,1.33
1920,1.298
1921,1.208
1922,1.591
1923,1.612
1924,2.105
1925,1.997
1926,1.903
1927,2.147
1928,1.991
1929,1.834
1930,1.74
1931,2.125
1932,2.265
1933,2.047
1934,1.566
1935,1.522
1936,1.635
1937,1.529
1938,1.682
1939,1.502
1940,1.322
1941,1.053
1942,1.189
1943,1.335
1944,1.309
1945,1.396
1946,1.345
1947,1.3
1948,1.279
1949,1.333
1950,1.655
1951,1.816
1952,1.394
1953,1.979
1954,1.851
1955,1.635
1956,1.798
1957,1.859
1958,1.815
1959,1.697
1960,1.605
1961,1.804
1962,1.766
1963,1.779
1964,1.573
1965,1.287
1966,1.338
1967,1.401
1968,1.351
1969,1.418
1970,1.382
1971,1.483
1972,1.354
1973,1.34
