year,rwi
1697,1.538
1698,2.22
1699,1.872
1700,1.122
1701,1.212
1702,0.902
1703,1.029
1704,0.954
1705,0.665
1706,0.457
1707,0.775
1708,1.212
1709,1.193
1710,0.866
1711,1.15
1712,1.421
1713,1.056
1714,0.766
1715,1.134
1716,0.861
1717,1.069
1718,1.259
1719,1.015
1720,1.209
1721,1.134
1722,1.156
1723,0.897
1724,1.083
1725,1.091
1726,1.036
1727,1.456
1728,1.115
1729,1.168
1730,0.765
1731,0.971
1732,0.889
1733,0.899
1734,1.037
1735,1.055
1736,0.959
1737,0.981
1738,1.284
1739,1.153
1740,1.121
1741,0.706
1742,1.123
1743,0.951
1744,0.931
1745,0.987
1746,0.727
1747,0.571
1748,0.537
1749,0.587
1750,0.697
1751,0.951
1752,1.041
1753,1.049
1754,0.846
1755,0.876
1756,1.202
1757,0.908
1758,0.72
1759,0.999
1760,0.83
1761,0.881
1762,0.982
1763,0.901
1764,1.337
1765,1.21
1766,1.103
1767,0.762
1768,0.773
1769,0.855
1770,0.664
1771,0.835
1772,0.89
1773,1.131
1774,1.177
1775,1.137
1776,1.098
1777,1.444
1778,1.179
1779,0.945
1780,0.82
1781,0.818
1782,0.969
1783,1.11
1784,1.114
1785,1.141
1786,1.214
1787,0.878
1788,1.021
1789,1.134
1790,1.167
1791,1.158
1792,0.995
1793,1.332
1794,0.988
1795,1.135
1796,1.043
1797,1.039
1798,1.241
1799,1.008
1800,1.03
1801,1.428
1802,1.186
1803,1.261
1804,1.299
1805,1.221
1806,0.895
1807,0.612
1808,0.272
1809,0.105
1810,0.245
1811,0.445
1812,0.551
1813,0.479
1814,0.39
1815,0.877
1816,1.188
1817,1.329
1818,1.071
1819,1.291
1820,1.214
1821,1.007
1822,1.34
1823,1.267
1824,1.417
1825,1.201
1826,0.734
1827,1.064
1828,1.305
1829,1.151
1830,1.563
1831,1.599
1832,1.267
1833,1.093
1834,1.558
1835,1.234
1836,0.909
1837,0.975
1838,0.8
1839,0.747
1840,0.788
1841,0.574
1842,0.582
1843,0.676
1844,0.839
1845,0.985
1846,0.929
1847,0.732
1848,0.869
1849,0.771
1850,0.837
1851,1.103
1852,0.998
1853,0.955
1854,0.805
1855,0.955
1856,0.968
1857,1.266
1858,1.163
1859,0.885
1860,0.856
1861,0.925
1862,0.915
1863,0.968
1864,0.868
1865,1.014
1866,1.184
1867,1.185
1868,0.926
1869,0.925
1870,0.8
1871,0.811
1872,0.655
1873,0.877
1874,1.163
1875,0.926
1876,0.439
1877,0.681
1878,0.837
1879,0.979
1880,1.213
1881,1.183
1882,1.001
1883,0.949
1884,1.235
1885,1.059
1886,1.219
1887,1.111
1888,1.322
1889,0.586
1890,0.818
1891,0.799
1892,0.964
1893,0.946
1894,1.108
1895,1.125
1896,1.276
1897,1.164
1898,1.454
1899,1.135
1900,1.213
1901,0.693
1902,1.102
1903,1.359
1904,0.977
1905,0.924
1906,1.037
1907,0.891
1908,0.819
1909,0.813
1910,1.107
1911,0.859
1912,0.964
1913,1.117
1914,0.863
1915,0.921
1916,0.923
1917,1.084
1918,0.907
1919,1.155
1920,1.029
1921,0.766
1922,0.769
1923,0.514
1924,0.767
1925,0.878
1926,0.827
1927,1.014
1928,1.082
1929,1.018
1930,1.031
1931,1.292
1932,1.375
1933,1.153
1934,0.985
1935,1.059
1936,0.977
1937,0.874
1938,0.929
1939,1.064
1940,1.027
1941,1.278
1942,1.13
1943,1.148
1944,0.9
1945,0.836
1946,0.901
1947,0.906
1948,0.784
1949,0.86
1950,0.805
1951,0.957
1952,0.921
1953,0.864
1954,1.106
1955,1.397
1956,1.322
1957,1.465
1958,1.241
1959,0.985
1960,0.602
1961,0.871
1962,1.028
1963,1.076
1964,0.785
1965,0.711
1966,0.824
1967,1.146
1968,1.089
1969,1.055
1970,0.991
1971,1.127
1972,1.263
1973,1.184
1974,1.013
1975,0.831
1976,0.659
1977,0.521
1978,1.025
1979,1.294
1980,1.02
1981,0.946
