year,rwi
1669,1.159
1670,1.121
1671,1.149
1672,1.15
1673,1.128
1674,1.174
1675,1.328
1676,1.171
1677,1.202
1678,1.208
1679,1.239
1680,1.152
1681,1.231
1682,1.203
1683,1.114
1684,1.092
1685,0.876
1686,0.98
1687,1.029
1688,0.907
1689,1.025
1690,1.13
1691,1.043
1692,1.05
1693,1.103
1694,1.084
1695,1.186
1696,0.902
1697,1.153
1698,1.118
1699,1.186
1700,1.214
1701,1.043
1702,0.942
1703,0.879
1704,0.898
1705,0.875
1706,1.025
1707,0.857
1708,1.033
1709,0.974
1710,1.183
1711,1.244
1712,1.002
1713,1.035
1714,1.009
1715,0.836
1716,0.758
1717,0.893
1718,1.132
1719,1.084
1720,1.08
1721,1.094
1722,0.959
1723,1.046
1724,0.87
1725,0.878
1726,1.103
1727,1.178
1728,0.993
1729,0.957
1730,0.903
1731,1.122
1732,1.135
1733,0.978
1734,1.162
1735,1.036
1736,0.915
1737,1.146
1738,1.088
1739,1.179
1740,1.068
1741,1.182
1742,0.896
1743,0.959
1744,1.096
1745,0.993
1746,1.169
1747,1.013
1748,0.942
1749,1.137
1750,1.19
1751,1.076
1752,0.653
1753,0.771
1754,0.666
1755,0.889
1756,0.992
1757,0.783
1758,0.896
1759,0.941
1760,0.855
1761,0.834
1762,0.959
1763,0.698
1764,0.835
1765,1.041
1766,0.93
1767,0.98
1768,0.956
1769,1.075
1770,1.003
1771,0.993
1772,0.614
1773,0.768
1774,0.948
1775,0.766
1776,0.931
1777,0.947
1778,0.692
1779,0.929
1780,0.975
1781,0.793
1782,0.932
1783,1.05
1784,1.137
1785,0.776
1786,1.006
1787,1.157
1788,1.185
1789,0.888
1790,0.838
1791,1.222
1792,1.268
1793,1.136
1794,1.017
1795,1.052
1796,1.176
1797,1.098
1798,0.671
1799,0.916
1800,1.04
1801,0.885
1802,0.83
1803,0.948
1804,1.081
1805,0.744
1806,0.976
1807,1.042
1808,0.963
1809,1.049
1810,0.986
1811,1.066
1812,0.983
1813,1.144
1814,1.194
1815,1.25
1816,1.182
1817,1.109
1818,1.065
1819,0.813
1820,0.733
1821,1.017
1822,1.079
1823,1.112
1824,0.995
1825,0.853
1826,0.754
1827,1.038
1828,0.891
1829,0.876
1830,0.64
1831,0.858
1832,0.795
1833,1.129
1834,1.014
1835,0.978
1836,0.965
1837,1.079
1838,1.129
1839,1.136
1840,0.866
1841,0.958
1842,1.032
1843,1.079
1844,1.088
1845,0.941
1846,1.16
1847,0.9
1848,1.202
1849,1.139
1850,1.169
1851,1.131
1852,1.322
1853,1.063
1854,0.962
1855,0.84
1856,1.237
1857,0.992
1858,1.411
1859,1.188
1860,0.912
1861,1.021
1862,0.795
1863,1.025
1864,1.027
1865,1.078
1866,1.038
1867,1.102
1868,1.118
1869,1.192
1870,1.155
1871,1.016
1872,1.199
1873,1.212
1874,1.146
1875,1.249
1876,1.134
1877,1.199
1878,1.065
1879,1.079
1880,0.839
1881,1.044
1882,0.976
1883,0.81
1884,0.791
1885,0.829
1886,0.897
1887,0.589
1888,1.098
1889,1.084
1890,0.855
1891,0.955
1892,0.81
1893,0.698
1894,0.769
1895,1.05
1896,1.057
1897,0.932
1898,0.926
1899,0.897
1900,1.079
1901,1.018
1902,0.784
1903,1.247
1904,0.767
1905,1.328
1906,1.142
1907,0.865
1908,0.961
1909,0.631
1910,0.939
1911,0.871
1912,1.222
1913,1.239
1914,1.053
1915,1.081
1916,1.031
1917,0.943
1918,1.007
1919,1.204
1920,1.246
1921,0.979
1922,1.173
1923,1.161
1924,1.147
1925,0.804
1926,1.093
1927,0.957
1928,1.071
1929,0.926
1930,1.082
1931,1.125
1932,0.914
1933,0.96
1934,0.818
1935,0.955
1936,0.939
1937,0.761
1938,0.849
1939,0.647
1940,0.938
1941,1.124
1942,1.04
1943,0.787
1944,1.053
1945,0.902
1946,0.697
1947,1.106
1948,0.936
1949,0.997
1950,1.113
1951,1.224
1952,1.425
1953,1.264
1954,0.888
1955,1.144
1956,1.105
1957,1.345
1958,1.1
1959,1.07
1960,0.978
1961,1.031
1962,1.052
1963,0.882
1964,1.198
1965,1.063
1966,1.047
1967,0.808
1968,1.27
1969,1.033
1970,1.077
1971,0.866
1972,1.002
1973,1.231
1974,0.782
1975,1.084
1976,1.055
1977,1.111
1978,1.045
1979,1.085
1980,0.719
1981,1.199
1982,0.73
1983,1.015
1984,0.976
1985,1.027
1986,0.732
1987,1.061
1988,0.817
1989,0.902
1990,0.899
1991,1.103
1992,1.098
1993,1.108
1994,0.987
1995,1.087
1996,0.807
1997,1.284
1998,1.1
1999,0.817
2000,0.865
2001,1.062
2002,0.873
