year,rwi
1862,1.00688130810356
1863,1.72239325683002
1864,1.52844879343715
1865,1.01863783976582
1866,1.39818255511505
1867,1.91028181554007
1868,1.38893346969684
1869,1.03843682683606
1870,1.71815430998064
1871,1.14544009809022
1872,1.43920651325253
1873,0.385232601300759
1874,0.514362964006531
1875,0.574303281593805
1876,0.726859271677365
1877,0.553366538997591
1878,0.850742178309703
1879,1.31769996215625
1880,1.16554922319678
1881,1.13936337820645
1882,1.03778446654496
1883,0.823594575889165
1884,0.673022880877328
1885,0.814105037633271
1886,0.713209700483982
1887,0.930710223066379
1888,0.625599547426554
1889,0.858352177180089
1890,0.925071277588151
1891,0.545147709693058
1892,0.70373588585545
1893,1.26123692536355
1894,1.11558282231375
1895,1.02578049988003
1896,0.399466836621376
1897,0.691847880627372
1898,0.703437590790124
1899,0.864009842320771
1900,0.851270788632205
1901,0.816712138208418
1902,0.940169056010106
1903,1.00959524027482
1904,0.839351863584472
1905,0.936461286998026
1906,1.0482400451429
1907,1.12687450135315
1908,1.04773019299049
1909,0.774216591090007
1910,0.862740631802971
1911,0.997540545193045
1912,0.998904127527201
1913,1.16939602645682
1914,1.10070909581425
1915,0.838546223491084
1916,0.715526753546818
1917,0.760282183763993
1918,0.612360528617468
1919,0.664239952041094
1920,0.695945314230194
1921,0.778425857320529
1922,1.01840816438309
1923,0.832245956889313
1924,0.865032648275042
1925,0.882732628833877
1926,1.01111072570904
1927,1.02466244040917
1928,1.0517881659478
1929,1.06219711645674
1930,0.841424079613037
1931,0.791330478799273
1932,1.19538865701653
1933,0.966567039334955
1934,0.960851851317616
1935,1.10346651481689
1936,1.01738998909058
1937,1.17362305551151
1938,1.30757109489215
1939,1.07311770897712
1940,1.25222325075042
1941,0.939094270792593
1942,1.2502516154243
1943,1.00753839552649
1944,0.767698149984814
1945,1.15275673582937
1946,1.14130463343894
1947,0.90036291598652
1948,0.830640508952818
1949,0.919124393066201
1950,0.946873253789435
1951,1.03612846394734
1952,1.01439378937328
1953,1.05813768989622
1954,0.95421235123533
1955,0.887652229385659
1956,0.966094844667127
1957,1.02516953060593
1958,1.18672046628256
1959,0.936359782028888
1960,0.875268726740355
1961,0.92102290843835
1962,1.00289143074853
1963,0.802883635977665
1964,0.783999803827604
1965,0.933211970640102
1966,0.724917725589114
1967,0.807796196704974
1968,0.926776602628923
1969,0.949987609662379
1970,0.735538318873165
1971,0.965738110105995
1972,1.0298092682163
1973,1.16716818667715
1974,1.10893783192575
1975,0.981611975282203
1976,0.950587196717641
1977,0.769615941110286
1978,0.974748639745681
1979,0.906070327114695
1980,1.00665725124282
1981,1.07268707785277
1982,0.987227774713326
1983,1.03716551681887
1984,1.31438257440481
1985,1.37609575268977
1986,1.46696572099674
1987,1.10180089461436
1988,0.724169609246205
1989,0.697531414255664
1990,0.807452747705809
1991,0.765353355151344
1992,0.66761903736404
1993,0.684954244088969
1994,0.738632863044671
1995,0.81341877281714
1996,0.94373601724484
1997,1.03668048754733
1998,1.22804867929844
1999,1.17294371266465
2000,1.09174248359146
2001,1.20388758315851
2002,1.52599271480149
