year,rwi
1715,1.392
1716,1.189
1717,1.065
1718,0.907
1719,0.759
1720,0.931
1721,0.932
1722,0.944
1723,0.705
1724,0.74
1725,0.924
1726,0.902
1727,0.938
1728,0.732
1729,0.606
1730,0.745
1731,0.722
1732,0.642
1733,0.828
1734,0.887
1735,0.818
1736,0.789
1737,0.762
1738,0.751
1739,0.787
1740,0.781
1741,0.797
1742,0.66
1743,0.593
1744,0.711
1745,0.514
1746,0.397
1747,0.333
1748,0.495
1749,0.984
1750,1.49
1751,2.355
1752,1.883
1753,1.959
1754,1.942
1755,2.041
1756,1.599
1757,1.262
1758,0.996
1759,1.024
1760,1.197
1761,0.853
1762,1.148
1763,1.399
1764,1.03
1765,1.388
1766,1.144
1767,0.937
1768,0.73
1769,1.099
1770,1.089
1771,0.991
1772,1.096
1773,1.107
1774,1.013
1775,1.211
1776,1.006
1777,1.014
1778,1.047
1779,0.903
1780,0.932
1781,1.258
1782,0.859
1783,0.755
1784,0.869
1785,0.618
1786,0.611
1787,0.898
1788,0.719
1789,0.8
1790,0.742
1791,0.621
1792,0.896
1793,0.915
1794,1.012
1795,1.048
1796,0.751
1797,1.065
1798,0.838
1799,1.095
1800,1.135
1801,1.028
1802,0.916
1803,1.069
1804,1.078
1805,0.869
1806,1.473
1807,1.252
1808,0.803
1809,0.795
1810,0.812
1811,0.979
1812,1.108
1813,1.069
1814,1.206
1815,1.365
1816,0.955
1817,1.085
1818,0.962
1819,1.039
1820,0.974
1821,0.997
1822,1.036
1823,0.913
1824,0.84
1825,0.67
1826,0.974
1827,0.997
1828,1.285
1829,1.515
1830,0.964
1831,1.049
1832,1.195
1833,1.289
1834,1.077
1835,0.915
1836,0.832
1837,0.83
1838,0.77
1839,0.6
1840,0.801
1841,0.756
1842,0.68
1843,0.826
1844,0.72
1845,0.828
1846,0.871
1847,1.073
1848,1.148
1849,1.083
1850,1.308
1851,1.417
1852,1.474
1853,1.341
1854,1.353
1855,0.966
1856,0.894
1857,0.896
1858,0.941
1859,0.881
1860,1.044
1861,1.092
1862,0.975
1863,0.743
1864,0.616
1865,0.653
1866,0.836
1867,0.95
1868,0.887
1869,0.808
1870,1.162
1871,0.66
1872,1.127
1873,1.076
1874,0.895
1875,1.11
1876,1.245
1877,1.18
1878,1.182
1879,1.153
1880,1.169
1881,1.195
1882,1.057
1883,0.989
1884,0.869
1885,1.07
1886,0.991
1887,0.91
1888,1.094
1889,0.749
1890,1
1891,0.866
1892,1.121
1893,0.959
1894,1.039
1895,0.949
1896,1.168
1897,1.038
1898,0.984
1899,1.17
1900,0.732
1901,1.283
1902,1.253
1903,0.919
1904,1.032
1905,0.792
1906,0.751
1907,0.913
1908,0.903
1909,1.05
1910,0.68
1911,1.005
1912,1.195
1913,1.132
1914,1.17
1915,0.84
1916,0.955
1917,0.806
1918,0.815
1919,1.066
1920,0.998
1921,0.923
1922,1.146
1923,1.155
1924,1.006
1925,1.103
1926,0.895
1927,0.964
1928,1.053
1929,0.925
1930,0.828
1931,0.932
1932,1.008
1933,1.042
1934,0.687
1935,1.392
1936,0.919
1937,1.541
1938,1.447
1939,1.206
1940,1.351
1941,1.309
1942,1.593
1943,1.274
1944,1.251
1945,1.011
1946,0.678
1947,1.052
1948,1.061
1949,1.296
1950,1.171
1951,0.914
1952,0.691
1953,0.852
1954,0.816
1955,1.057
1956,0.962
1957,1.284
1958,1.027
1959,1.073
1960,0.997
1961,0.816
1962,1.03
1963,1.163
1964,0.831
1965,0.945
1966,1.017
1967,1.013
1968,1.063
1969,1.054
1970,0.966
1971,0.805
1972,0.924
1973,0.999
1974,1.029
1975,1.06
1976,0.948
1977,1.135
1978,0.699
1979,0.898
1980,0.798
1981,0.995
1982,1.112
1983,0.844
