year,rwi
1750,1.15
1751,0.85
1752,1.03
1753,1.12
1754,1.25
1755,0.84
1756,1.17
1757,0.98
1758,0.805
1759,0.98
1760,0.92
1761,1.065
1762,0.785
1763,1.05
1764,0.8
1765,0.8
1766,0.926
1767,0.957
1768,1.26
1769,1.132
1770,1.051
1771,1.176
1772,1.018
1773,0.907
1774,1.078
1775,1.047
1776,0.975
1777,0.938
1778,1.166
1779,1.258
1780,0.715
1781,1.291
1782,0.955
1783,1.437
1784,0.681
1785,0.917
1786,0.845
1787,0.654
1788,0.789
1789,0.689
1790,0.777
1791,0.726
1792,0.713
1793,0.81
1794,0.851
1795,1.099
1796,0.849
1797,0.824
1798,1.036
1799,0.683
1800,0.822
1801,0.735
1802,0.944
1803,0.775
1804,0.81
1805,0.919
1806,0.798
1807,0.868
1808,0.918
1809,0.675
1810,0.901
1811,0.737
1812,0.814
1813,0.883
1814,0.882
1815,0.706
1816,0.713
1817,0.591
1818,0.655
1819,0.879
1820,0.574
1821,0.762
1822,0.891
1823,0.67
1824,0.873
1825,0.967
1826,1.002
1827,1.278
1828,0.964
1829,0.698
1830,1.101
1831,0.989
1832,0.792
1833,1.021
1834,0.897
1835,0.723
1836,0.709
1837,0.933
1838,0.778
1839,0.921
1840,0.975
1841,0.769
1842,1.136
1843,0.578
1844,0.853
1845,0.789
1846,0.62
1847,0.825
1848,0.823
1849,0.761
1850,0.666
1851,0.779
1852,0.831
1853,0.767
1854,0.781
1855,0.8
1856,0.485
1857,1.044
1858,1.174
1859,0.954
1860,0.978
1861,0.848
1862,0.887
1863,1.064
1864,0.684
1865,0.69
1866,0.731
1867,0.68
1868,0.612
1869,0.802
1870,0.624
1871,0.65
1872,0.556
1873,0.645
1874,0.585
1875,0.897
1876,1.01
1877,0.876
1878,0.991
1879,0.533
1880,0.698
1881,0.449
1882,0.833
1883,0.748
1884,0.821
1885,0.711
1886,0.745
1887,0.552
1888,0.777
1889,0.945
1890,0.534
1891,0.742
1892,0.659
1893,0.743
1894,0.665
1895,0.478
1896,0.703
1897,0.777
1898,0.725
1899,0.529
1900,0.693
1901,0.561
1902,0.435
1903,0.733
1904,0.83
1905,0.707
1906,0.539
1907,0.705
1908,0.682
1909,0.661
1910,0.722
1911,0.466
1912,0.55
1913,0.559
1914,0.377
1915,0.493
1916,0.603
1917,0.608
1918,0.468
1919,0.524
1920,0.579
1921,0.585
1922,0.501
1923,0.551
1924,0.683
1925,0.454
1926,0.419
1927,0.59
1928,0.594
1929,0.564
1930,0.363
1931,0.507
1932,0.4
1933,0.538
1934,0.381
1935,0.644
1936,0.446
1937,0.575
1938,0.516
1939,0.435
1940,0.516
1941,0.444
1942,0.503
