year,rwi
1724,0.79
1725,0.772
1726,0.805
1727,0.77
1728,0.601
1729,0.612
1730,0.699
1731,0.704
1732,0.957
1733,1.068
1734,1.024
1735,0.943
1736,0.841
1737,1.031
1738,1.014
1739,1.157
1740,1.334
1741,1.391
1742,1.317
1743,1.188
1744,1.53
1745,1.251
1746,1.251
1747,1.062
1748,0.835
1749,0.916
1750,0.968
1751,1.048
1752,1.141
1753,1.088
1754,1.116
1755,0.989
1756,1.123
1757,0.888
1758,0.89
1759,0.914
1760,1.152
1761,1.092
1762,0.842
1763,0.805
1764,1.001
1765,1.073
1766,1.163
1767,0.858
1768,0.948
1769,0.908
1770,1.103
1771,1.102
1772,0.829
1773,0.62
1774,0.658
1775,0.803
1776,1.138
1777,0.957
1778,0.935
1779,0.838
1780,0.865
1781,0.911
1782,0.928
1783,1.162
1784,1.163
1785,0.873
1786,1.314
1787,1.257
1788,1.16
1789,1.019
1790,0.672
1791,0.647
1792,0.819
1793,0.929
1794,0.957
1795,1.042
1796,1.235
1797,1.387
1798,1.223
1799,1.001
1800,1.012
1801,0.96
1802,1.23
1803,0.91
1804,1.093
1805,1.224
1806,1.099
1807,1.266
1808,1.249
1809,0.914
1810,0.943
1811,1.031
1812,0.697
1813,0.759
1814,0.859
1815,0.867
1816,0.662
1817,0.832
1818,0.952
1819,1.143
1820,1.031
1821,0.955
1822,0.868
1823,1.069
1824,0.811
1825,1.065
1826,1.346
1827,0.992
1828,1.109
1829,0.66
1830,1.152
1831,1.169
1832,1.027
1833,1.158
1834,0.974
1835,0.902
1836,1.231
1837,1.085
1838,0.772
1839,0.744
1840,0.754
1841,0.657
1842,0.924
1843,1.004
1844,0.895
1845,0.991
1846,1.031
1847,1.076
1848,0.893
1849,1.197
1850,0.866
1851,0.878
1852,1.14
1853,1.046
1854,1.104
1855,0.851
1856,1.027
1857,0.862
1858,1.167
1859,0.803
1860,1.039
1861,0.862
1862,0.671
1863,0.854
1864,0.84
1865,0.981
1866,1.312
1867,1.167
1868,0.973
1869,1.434
1870,1.003
1871,0.916
1872,1.002
1873,1.121
1874,0.669
1875,0.824
1876,0.995
1877,0.849
1878,1.136
1879,0.705
1880,0.742
1881,0.828
1882,1.344
1883,1.354
1884,0.908
1885,0.766
1886,0.882
1887,0.8
1888,1.08
1889,1.119
1890,0.787
1891,1.028
1892,1.223
1893,0.97
1894,0.896
1895,1.037
1896,0.683
1897,0.79
1898,1.002
1899,1.002
1900,0.713
1901,0.722
1902,0.831
1903,1.192
1904,1.149
1905,1.267
1906,1.451
1907,1.211
1908,1.182
1909,1.333
1910,1.353
1911,0.666
1912,1.271
1913,0.703
1914,0.848
1915,1.501
1916,1.125
1917,1.262
1918,1.045
1919,1.068
1920,1.228
1921,0.819
1922,0.905
1923,1.271
1924,1.391
1925,0.899
1926,0.928
1927,0.749
1928,1.173
1929,1.252
1930,0.829
1931,0.884
1932,0.979
1933,0.76
1934,0.792
1935,1.556
1936,1.215
1937,1.113
1938,1.034
1939,1.225
1940,0.86
1941,1.045
1942,1.06
1943,0.977
1944,0.898
1945,1.566
1946,1.534
1947,1.288
1948,1.173
1949,1.215
1950,1.225
1951,1.163
1952,0.907
1953,0.839
1954,0.91
1955,1.25
1956,1.102
1957,0.823
1958,0.917
1959,0.953
1960,0.922
1961,0.832
1962,0.899
1963,0.878
1964,1.043
1965,1.031
1966,0.89
1967,0.961
1968,0.783
1969,0.954
1970,1.003
1971,0.952
1972,0.688
1973,1.121
1974,0.819
1975,1.113
1976,1.15
1977,0.744
1978,0.816
1979,0.986
1980,0.748
1981,0.748
1982,1.32
