year,rwi
1249,1.412
1250,1.028
1251,1.286
1252,1.316
1253,1.148
1254,1.151
1255,0.979
1256,0.389
1257,0.435
1258,0.357
1259,0.223
1260,0.029
1261,0.168
1262,0.369
1263,0.225
1264,0.644
1265,1.108
1266,1.688
1267,1.547
1268,1.169
1269,1.295
1270,1.076
1271,0.7
1272,0.426
1273,0.892
1274,0.733
1275,0.926
1276,1.518
1277,1.31
1278,1.442
1279,1.599
1280,1.48
1281,1.345
1282,1.041
1283,0.855
1284,0.78
1285,0.84
1286,0.437
1287,0.609
1288,1.002
1289,0.987
1290,0.819
1291,0.873
1292,1.235
1293,0.872
1294,1.156
1295,1.38
1296,1.737
1297,1.411
1298,1.266
1299,1.343
1300,1.377
1301,1.568
1302,1.552
1303,1.345
1304,1.503
1305,1.056
1306,0.812
1307,0.633
1308,0.915
1309,0.952
1310,1.19
1311,1.174
1312,1.186
1313,1.338
1314,1.254
1315,1.422
1316,1.099
1317,0.992
1318,0.952
1319,0.558
1320,0.355
1321,0.755
1322,0.721
1323,1.313
1324,0.843
1325,0.994
1326,1.034
1327,1.072
1328,1.144
1329,1.268
1330,0.819
1331,0.848
1332,0.825
1333,0.752
1334,0.47
1335,0.644
1336,0.462
1337,0.835
1338,0.914
1339,1.017
1340,0.903
1341,1.315
1342,1.564
1343,1.114
1344,1.143
1345,1.328
1346,0.853
1347,0.881
1348,0.785
1349,1.244
1350,0.774
1351,0.556
1352,0.764
1353,0.602
1354,0.86
1355,0.778
1356,1.127
1357,0.999
1358,0.878
1359,0.669
1360,0.658
1361,0.732
1362,0.753
1363,1.178
1364,0.985
1365,1.205
1366,1.318
1367,1.159
1368,0.947
1369,0.428
1370,0.239
1371,0.517
1372,0.582
1373,0.781
1374,0.898
1375,1.126
1376,1.242
1377,1.36
1378,1.215
1379,1.669
1380,1.486
1381,1.064
1382,1.274
1383,1.256
1384,1.491
1385,0.868
1386,0.762
1387,0.507
1388,0.579
1389,0.852
1390,1.061
1391,1.196
1392,0.997
1393,0.689
1394,0.974
1395,0.924
1396,1.657
1397,1.566
1398,1.504
1399,1.075
1400,1.438
1401,0.645
1402,0.21
1403,0.857
1404,0.953
1405,0.858
1406,1.193
1407,1.476
1408,1.523
1409,1.651
1410,0.801
1411,0.883
1412,1.593
1413,0.984
1414,0.783
1415,0.886
1416,1.36
1417,1.338
1418,1.309
1419,1.131
1420,1.506
1421,1.475
1422,1.061
1423,0.882
1424,0.902
1425,1.079
1426,1.134
1427,0.53
1428,1.264
1429,1.306
1430,1.022
1431,1.425
1432,0.919
1433,0.842
1434,0.874
1435,0.848
1436,0.819
1437,0.654
1438,1.077
1439,1.102
1440,1.074
1441,0.848
1442,1.006
1443,1.272
1444,1.309
1445,1.732
1446,1.259
1447,1.385
1448,0.983
1449,1.242
1450,0.87
1451,1.28
1452,1.047
1453,0.744
1454,0.666
1455,0.872
1456,1.084
1457,1.107
1458,1.049
1459,0.541
1460,0.71
1461,0.909
1462,0.957
1463,1.016
1464,1.195
1465,1.362
1466,1.007
1467,1.012
1468,1.015
1469,0.73
1470,0.881
1471,0.677
1472,0.759
1473,0.913
1474,1.175
1475,1.633
1476,1.37
1477,1.247
1478,1.055
1479,0.858
1480,1.021
1481,0.876
1482,1.602
1483,1.569
1484,2.201
1485,1.983
1486,1.981
1487,1.45
1488,1.373
1489,1.293
1490,0.99
1491,0.328
1492,0.153
1493,0.498
1494,0.632
1495,0.176
1496,0.23
1497,0.605
1498,0.93
1499,1.158
1500,1.546
1501,1.252
1502,1.64
1503,1.416
1504,1.724
1505,0.938
1506,1.197
1507,1.191
1508,1.081
1509,0.811
1510,1.345
1511,1
1512,0.526
1513,0.495
1514,0.561
1515,0.696
1516,0.941
1517,0.967
1518,1.232
1519,1.017
1520,0.953
1521,0.852
1522,1.027
1523,1.037
1524,0.457
1525,0.742
1526,0.375
1527,0.881
1528,0.393
1529,0.597
1530,0.527
1531,0.661
1532,0.464
1533,0.507
1534,0.57
1535,0.468
1536,0.572
1537,0.797
1538,0.925
1539,1.138
1540,1.034
1541,0.886
1542,0.574
1543,0.646
1544,0.825
1545,0.058
1546,0.239
1547,0.426
1548,0.603
1549,0.793
1550,1.013
1551,1.201
1552,1.343
1553,0.819
1554,0.737
1555,0.978
1556,0.821
1557,1.48
1558,1.126
1559,1.087
1560,1.372
1561,1.123
1562,0.826
1563,1.361
1564,1.06
1565,1.363
1566,1.142
1567,1.049
1568,0.652
1569,0.724
1570,0.774
1571,0.835
1572,1.211
1573,1.041
1574,0.777
1575,0.82
1576,1.21
1577,0.922
1578,1.161
1579,0.602
1580,0.355
1581,0.286
1582,0.445
1583,0.519
1584,0.485
1585,0.563
1586,0.769
1587,0.799
1588,0.762
1589,0.315
1590,1.011
1591,0.867
1592,1.28
