year,rwi
1632,0.915
1633,0.925
1634,0.944
1635,1.248
1636,1.326
1637,1.127
1638,1.154
1639,1.038
1640,1.024
1641,0.843
1642,0.839
1643,0.74
1644,0.937
1645,0.914
1646,1.201
1647,1.369
1648,1.115
1649,0.976
1650,1.366
1651,0.961
1652,1.005
1653,0.997
1654,0.953
1655,0.819
1656,0.853
1657,0.862
1658,0.67
1659,0.948
1660,0.918
1661,1.187
1662,0.995
1663,1.049
1664,1.127
1665,0.861
1666,0.943
1667,0.933
1668,1.046
1669,1.044
1670,1.299
1671,1.047
1672,1.028
1673,1.13
1674,1.3
1675,1.043
1676,1.06
1677,1.051
1678,0.921
1679,0.918
1680,1.203
1681,1.127
1682,0.902
1683,1.029
1684,0.958
1685,1.315
1686,1.029
1687,0.963
1688,0.83
1689,1.187
1690,1.121
1691,0.98
1692,1.087
1693,1.012
1694,0.928
1695,0.825
1696,1.061
1697,1.04
1698,1.297
1699,1.19
1700,1.253
1701,1.26
1702,1.149
1703,0.862
1704,1.082
1705,1.144
1706,0.956
1707,0.892
1708,1.048
1709,0.987
1710,0.897
1711,0.909
1712,0.885
1713,0.827
1714,0.989
1715,1.131
1716,0.744
1717,0.887
1718,1.045
1719,1.006
1720,0.966
1721,1.138
1722,1.021
1723,1.036
1724,0.938
1725,0.737
1726,0.968
1727,1.031
1728,1.045
1729,0.764
1730,1.074
1731,0.687
1732,0.809
1733,0.683
1734,0.91
1735,0.713
1736,0.915
1737,1.127
1738,1.098
1739,1.029
1740,0.895
1741,0.814
1742,0.859
1743,0.964
1744,0.856
1745,0.768
1746,0.677
1747,0.791
1748,0.854
1749,0.938
1750,1.244
1751,1.025
1752,1.09
1753,1.085
1754,1.058
1755,1.098
1756,1.16
1757,1.116
1758,0.889
1759,0.849
1760,1.085
1761,0.901
1762,0.98
1763,0.806
1764,0.794
1765,0.987
1766,0.971
1767,1.223
1768,1.21
1769,1.008
1770,1.021
1771,0.931
1772,1.089
1773,1.351
1774,0.979
1775,1.307
1776,0.897
1777,0.988
1778,0.743
1779,1.11
1780,1.025
1781,1.225
1782,1.039
1783,1.166
1784,0.782
1785,0.919
1786,0.941
1787,1.016
1788,1.008
1789,0.974
1790,1.213
1791,1.292
1792,1.059
1793,0.953
1794,0.974
1795,1.061
1796,0.81
1797,0.842
1798,0.866
1799,1.042
1800,0.866
1801,0.993
1802,0.874
1803,0.787
1804,0.777
1805,1.011
1806,0.738
1807,1.018
1808,0.866
1809,1.017
1810,1.009
1811,1.159
1812,1.062
1813,1.173
1814,1.178
1815,1.377
1816,1.111
1817,1
1818,0.747
1819,0.705
1820,0.394
1821,0.765
1822,0.967
1823,1.17
1824,1.052
1825,1.271
1826,1.233
1827,1.151
1828,1.134
1829,1.036
1830,1.049
1831,0.968
1832,1.136
1833,1.199
1834,1.374
1835,1.521
1836,1.07
1837,1.18
1838,1.084
1839,0.903
1840,0.961
1841,1.103
1842,0.847
1843,1.261
1844,1.014
1845,1.14
1846,1.032
1847,0.97
1848,1.006
1849,1.142
1850,1.232
1851,1.009
1852,1.048
1853,0.864
1854,0.997
1855,0.968
1856,0.748
1857,0.903
1858,1.098
1859,1.019
1860,0.929
1861,1.157
1862,0.988
1863,0.909
1864,1.179
1865,0.925
1866,0.978
1867,0.895
1868,1.278
1869,1.107
1870,0.951
1871,1.183
1872,0.975
1873,1.072
1874,1.066
1875,0.982
1876,0.87
1877,1.007
1878,0.968
1879,0.763
1880,0.932
1881,1.22
1882,0.902
1883,1.111
1884,1.227
1885,1.259
1886,1.176
1887,1.191
1888,1.015
1889,1.163
1890,1.02
1891,1.248
1892,1.063
1893,0.647
1894,0.659
1895,0.918
1896,0.9
1897,0.867
1898,0.952
1899,1.087
1900,0.834
1901,0.87
1902,0.936
1903,1.164
1904,1.136
1905,1.359
1906,0.876
1907,0.906
1908,0.587
1909,0.932
1910,0.681
1911,0.815
1912,0.954
1913,0.87
1914,0.753
1915,0.768
1916,0.426
1917,0.632
1918,0.696
1919,0.878
1920,1.004
1921,1.08
1922,1.316
1923,0.992
1924,0.827
1925,1.009
1926,0.911
1927,0.829
1928,0.757
1929,1.01
1930,1.288
1931,1.087
1932,1.28
1933,0.919
1934,0.819
1935,1.034
1936,0.845
1937,0.578
1938,0.439
1939,0.854
1940,1.163
1941,1.042
1942,0.99
1943,0.972
1944,1.141
1945,0.924
1946,0.808
1947,0.913
1948,0.901
1949,1.028
1950,0.868
1951,0.812
1952,0.904
1953,0.926
1954,0.86
1955,0.942
1956,0.787
1957,0.894
1958,1.008
1959,1.05
1960,1.162
1961,1.208
1962,1.211
1963,1.253
1964,1.164
1965,1.22
1966,1.317
1967,1.26
1968,1.115
1969,1.119
1970,1.042
1971,0.987
1972,1.019
1973,1.154
1974,0.993
1975,0.934
1976,1.078
1977,1.109
1978,1.194
1979,0.979
1980,0.909
1981,0.911
1982,0.965
1983,1.144
1984,1.134
