year,rwi
1466,0.938
1467,1.071
1468,0.692
1469,0.74
1470,1.398
1471,0.847
1472,0.563
1473,0.482
1474,0.55
1475,0.549
1476,1.402
1477,1.407
1478,0.978
1479,1.569
1480,1.184
1481,1.259
1482,1.029
1483,1.588
1484,1.758
1485,1.823
1486,0.795
1487,1.231
1488,0.907
1489,1.168
1490,1.273
1491,0.722
1492,1.257
1493,1.393
1494,1.601
1495,1.107
1496,0.853
1497,0.651
1498,1.354
1499,0.694
1500,0.867
1501,0.549
1502,0.212
1503,0.562
1504,0.641
1505,0.522
1506,1.149
1507,1.284
1508,1.038
1509,1.065
1510,0.388
1511,0.747
1512,0.134
1513,0.556
1514,0.46
1515,0.455
1516,0.38
1517,1.03
1518,0.169
1519,0.696
1520,0.55
1521,1.009
1522,2.473
1523,0.663
1524,2.054
1525,0.514
1526,0.982
1527,1.856
1528,0.765
1529,0.91
1530,0.933
1531,2.314
1532,0.715
1533,0.951
1534,0.564
1535,0.368
1536,0.811
1537,0.597
1538,0.564
1539,0.89
1540,0.921
1541,1.327
1542,0.459
1543,0.879
1544,0.616
1545,0.748
1546,1.216
1547,1.553
1548,1.668
1549,0.738
1550,1.528
1551,0.783
1552,0.331
1553,1.337
1554,0.693
1555,1.403
1556,0.383
1557,1.607
1558,0.717
1559,1.26
1560,1.476
1561,0.636
1562,0.908
1563,1.055
1564,0.808
1565,1.157
1566,0.968
1567,0.985
1568,1.468
1569,0.771
1570,0.695
1571,0.622
1572,0.652
1573,0.795
1574,1.222
1575,0.661
1576,1.051
1577,0.382
1578,0.961
1579,0.408
1580,1.682
1581,1.577
1582,0.94
1583,0.578
1584,0.888
1585,1.021
1586,1.355
1587,0.391
1588,1.528
1589,0.839
1590,0.935
1591,0.77
1592,1.337
1593,0.661
1594,1.169
1595,1.178
1596,0.562
1597,0.992
1598,0.927
1599,0.732
1600,0.827
1601,1.024
1602,1.175
1603,1.453
1604,0.417
1605,0.811
1606,0.886
1607,1.115
1608,0.93
1609,1.723
1610,0.919
1611,1.008
1612,0.524
1613,1.054
1614,1.563
1615,1.975
1616,1.101
1617,1.639
1618,2.325
1619,1.729
1620,1.859
1621,1.308
1622,1.797
1623,0.756
1624,1.191
1625,0.79
1626,1.255
1627,1.004
1628,0.89
1629,1.346
1630,1.646
1631,1.411
1632,0.872
1633,0.736
1634,0.37
1635,0.671
1636,0.988
1637,0.691
1638,0.382
1639,0.916
1640,1.169
1641,0.614
1642,0.958
1643,0.412
1644,0.518
1645,0.417
1646,0.545
1647,0.796
1648,0.685
1649,1.039
1650,1.203
1651,1.257
1652,1.562
1653,1.526
1654,0.917
1655,2.776
1656,1.706
1657,1.29
1658,0.977
1659,0.987
1660,1.408
1661,0.724
1662,1.124
1663,1.032
1664,0.639
1665,0.926
1666,0.852
1667,1.248
1668,0.899
1669,0.72
1670,0.706
1671,0.939
1672,0.842
1673,0.578
1674,1.285
1675,1.019
1676,0.663
1677,1.233
1678,0.523
1679,0.817
1680,0.685
1681,0.858
1682,0.381
1683,0.737
1684,1.137
1685,0.714
1686,1.265
1687,1.702
1688,1.58
1689,0.42
1690,1.03
1691,1.159
1692,1.678
1693,1.212
1694,0.983
1695,1.371
1696,1.026
1697,1.75
1698,1.382
1699,0.768
1700,1.373
1701,1.492
1702,1.19
1703,0.795
1704,0.864
1705,1.903
1706,0.56
1707,0.692
1708,0.33
1709,0.754
1710,1.428
1711,1.348
1712,0.441
1713,1.092
1714,0.549
1715,0.548
1716,0.85
1717,1.619
1718,0.653
1719,1.221
1720,1.031
1721,1.535
1722,0.55
1723,1.135
1724,1.222
1725,0.872
1726,1.033
1727,0.541
1728,1.485
1729,0.855
1730,0.776
1731,0.825
1732,1.513
1733,2.194
1734,0.509
1735,0.528
1736,0.994
1737,0.903
1738,0.646
1739,0.604
1740,0.738
1741,0.485
1742,1.555
1743,1.603
1744,2.1
1745,0.989
1746,1.595
1747,1.575
1748,1.139
1749,1.702
1750,0.715
1751,0.861
1752,0.726
1753,1.513
1754,0.695
1755,1.314
1756,1.046
1757,0.892
1758,0.866
1759,1.565
1760,0.737
1761,2.066
1762,0.755
1763,1.478
1764,0.719
1765,1.268
1766,1.231
1767,0.962
1768,0.583
1769,1.508
1770,0.621
1771,1.67
1772,0.375
1773,0.369
1774,1.288
1775,1.499
1776,2.196
1777,1.625
1778,0.902
1779,1.459
1780,0.827
1781,0.663
1782,1.784
1783,0.73
1784,0.963
1785,2.078
1786,0.602
1787,0.67
1788,0.83
1789,1.223
1790,0.694
1791,0.702
1792,1.195
1793,0.669
1794,0.559
1795,1.088
1796,0.568
1797,0.586
1798,0.398
1799,0.723
1800,0.891
1801,0.635
1802,0.706
1803,0.856
1804,1.691
1805,0.226
1806,0.953
1807,1.356
1808,1.28
1809,0.18
1810,0.633
1811,0.321
1812,1.091
1813,0.177
1814,1.181
1815,0.967
1816,0.944
1817,0.481
1818,0.193
1819,0.225
1820,0.922
1821,1.093
1822,0.996
1823,1.857
1824,0.639
1825,1.647
1826,1.269
1827,1.447
1828,1.622
1829,1.923
1830,0.415
1831,0.54
1832,0.854
1833,1.239
1834,0.859
1835,1.328
1836,1.043
1837,1.074
1838,0.903
1839,0.962
1840,1.152
1841,1.382
1842,0.633
1843,1.003
1844,0.584
1845,1.126
1846,1.693
1847,0.427
1848,0.784
1849,0.784
1850,1.226
1851,0.66
1852,0.98
1853,0.768
1854,0.762
1855,0.311
1856,1.108
1857,1.26
1858,0.999
1859,1.202
1860,0.308
1861,0.688
1862,0.932
1863,1.068
1864,0.862
1865,1.084
1866,1.848
1867,1.417
1868,0.968
1869,1.394
1870,0.598
1871,1.809
1872,0.609
1873,1.817
1874,0.776
1875,0.613
1876,1.143
1877,0.749
1878,1.557
1879,0.622
1880,0.968
1881,0.65
1882,1.63
1883,0.443
1884,0.973
1885,0.493
1886,1.526
1887,0.114
1888,0.886
1889,0.437
1890,0.47
1891,0.7
1892,1.056
1893,0.595
1894,0.575
1895,0.957
1896,0.582
1897,0.751
1898,0.47
1899,0.521
1900,1.58
1901,0.815
1902,1.066
1903,1.062
1904,0.444
1905,1.498
1906,1.029
1907,1.49
1908,1.078
1909,2.372
1910,0.751
1911,0.472
1912,1.16
1913,0.569
1914,0.567
1915,0.521
1916,0.753
1917,0.41
1918,0.716
1919,1.847
1920,0.588
1921,1.267
1922,0.972
1923,1.456
1924,0.468
1925,0.489
1926,0.633
1927,0.745
1928,1.021
1929,1.198
1930,0.493
1931,0.591
1932,1.123
1933,1.142
1934,0.86
1935,1.54
1936,1.069
1937,1.095
1938,1.252
1939,1.508
1940,0.838
1941,0.686
1942,0.72
1943,0.815
1944,1.23
1945,1.374
1946,1.194
1947,1.682
1948,0.777
1949,1.797
1950,0.384
1951,0.896
1952,0.98
1953,1.495
1954,1.075
1955,0.822
1956,0.403
1957,0.9
1958,1.196
1959,2.131
1960,1.213
1961,1.617
1962,0.872
1963,0.648
1964,0.922
1965,0.994
1966,1.254
1967,0.964
1968,0.766
1969,0.81
1970,1.195
1971,1.199
1972,1.748
1973,2.121
1974,1.648
1975,1.753
1976,0.865
1977,0.793
1978,0.956
1979,0.577
1980,0.789
1981,0.573
1982,0.814
1983,1.034
1984,1.038
1985,0.421
1986,0.91
1987,0.837
1988,0.755
1989,1.642
1990,1.022
1991,2.104
1992,0.356
