year,rwi
1660,0.677
1661,1.014
1662,0.76
1663,0.869
1664,0.775
1665,0.686
1666,0.729
1667,0.723
1668,1.17
1669,0.789
1670,0.86
1671,1.19
1672,1.181
1673,0.73
1674,1.037
1675,1.237
1676,1.017
1677,0.958
1678,0.915
1679,0.957
1680,0.778
1681,0.746
1682,0.877
1683,0.85
1684,0.719
1685,1.087
1686,1.261
1687,1.223
1688,1.028
1689,1.387
1690,1.132
1691,0.743
1692,0.79
1693,1.255
1694,1.182
1695,1.015
1696,1.055
1697,1.296
1698,1.226
1699,1.35
1700,1.081
1701,1.535
1702,0.852
1703,1.062
1704,1.07
1705,0.886
1706,1.004
1707,1.063
1708,0.942
1709,1.218
1710,1.218
1711,0.897
1712,1.071
1713,1.143
1714,1.144
1715,1.11
1716,1.096
1717,1.265
1718,1.058
1719,1.029
1720,0.903
1721,1.043
1722,0.861
1723,0.926
1724,1.162
1725,0.981
1726,1.145
1727,1.211
1728,1.415
1729,1.445
1730,1.615
1731,1.278
1732,1.165
1733,1.148
1734,1.138
1735,1.041
1736,1.036
1737,0.904
1738,0.971
1739,1.113
1740,0.909
1741,0.867
1742,1.234
1743,1.11
1744,0.945
1745,0.872
1746,0.683
1747,0.842
1748,0.958
1749,0.849
1750,0.994
1751,1.227
1752,0.903
1753,0.896
1754,0.82
1755,1.024
1756,1.285
1757,1.192
1758,0.814
1759,1.077
1760,0.937
1761,0.8
1762,1.166
1763,1.113
1764,1.029
1765,0.943
1766,0.788
1767,0.793
1768,0.971
1769,0.834
1770,0.788
1771,0.981
1772,1.107
1773,1.261
1774,1.238
1775,1.027
1776,1.117
1777,1.085
1778,1.073
1779,0.789
1780,0.945
1781,1.064
1782,0.849
1783,1.087
1784,1.148
1785,0.937
1786,1.071
1787,0.792
1788,0.922
1789,0.752
1790,0.79
1791,0.663
1792,0.685
1793,0.719
1794,0.959
1795,0.985
1796,0.942
1797,0.88
1798,1.078
1799,0.896
1800,0.883
1801,0.91
1802,1.027
1803,0.781
1804,0.983
1805,0.883
1806,0.785
1807,0.905
1808,1.082
1809,0.721
1810,0.885
1811,1.196
1812,1.229
1813,1.039
1814,0.817
1815,0.955
1816,0.926
1817,0.946
1818,1.028
1819,1.181
1820,0.936
1821,0.964
1822,0.848
1823,0.826
1824,0.841
1825,0.908
1826,0.915
1827,0.849
1828,0.98
1829,1.169
1830,0.956
1831,0.925
1832,0.684
1833,1.008
1834,0.782
1835,0.848
1836,0.768
1837,0.955
1838,0.627
1839,0.832
1840,0.882
1841,1.057
1842,0.931
1843,1.074
1844,0.984
1845,0.869
1846,1.111
1847,0.99
1848,1.058
1849,0.996
1850,1.148
1851,0.95
1852,0.829
1853,0.774
1854,0.962
1855,0.826
1856,0.86
1857,0.916
1858,0.889
1859,1.039
1860,0.849
1861,0.981
1862,0.828
1863,0.963
1864,0.839
1865,0.789
1866,0.885
1867,0.9
1868,0.845
1869,0.776
1870,0.903
1871,1.004
1872,0.539
1873,1.149
1874,1.1
1875,0.857
1876,0.816
1877,0.793
1878,0.963
1879,0.393
1880,0.43
1881,0.548
1882,0.456
1883,0.351
1884,0.528
1885,0.703
1886,0.839
1887,0.716
1888,0.972
1889,0.878
1890,0.886
1891,0.761
1892,0.913
1893,1.017
1894,0.828
1895,0.686
1896,1.018
1897,0.872
1898,0.986
1899,0.637
1900,0.991
1901,0.902
1902,0.668
1903,0.879
1904,0.827
1905,0.809
1906,0.784
1907,0.805
1908,1.059
1909,1.069
1910,1.006
1911,0.897
1912,1.08
1913,1.086
1914,1.317
1915,0.778
1916,1.21
1917,1.04
1918,1.103
1919,1.102
1920,1.078
1921,1.227
1922,1.071
1923,0.999
1924,0.738
1925,1.306
1926,1.043
1927,1.169
1928,1.109
1929,1.484
1930,1.311
1931,1.404
1932,1.478
1933,1.331
1934,0.823
1935,1.035
1936,0.949
1937,0.834
1938,0.865
1939,1.074
1940,1.282
1941,1.128
1942,1.055
1943,1.167
1944,1.143
1945,1.309
1946,1.255
1947,1.165
1948,1.139
1949,1.203
1950,1.036
1951,1.25
1952,1.116
1953,1.459
1954,1.242
1955,1.114
1956,0.922
1957,1.123
1958,0.765
1959,1.182
1960,0.906
1961,0.923
1962,0.84
1963,1.26
1964,1.392
1965,1.19
1966,1.357
1967,1.259
1968,1.194
1969,0.892
1970,1.332
1971,1.037
1972,0.977
1973,1.353
1974,1.236
1975,1.106
1976,1.357
1977,1.14
1978,1.103
1979,1.271
1980,1.169
1981,1.042
1982,0.987
1983,1.109
1984,1.332
1985,1.082
1986,1.099
1987,1.08
1988,1.832
1989,1.438
1990,1.279
1991,1.235
1992,0.753
1993,0.648
1994,1.257
1995,1.179
1996,1.114
1997,1.031
1998,1.128
1999,1.134
