year,rwi
1641,0.914
1642,0.847
1643,1.022
1644,1.171
1645,0.909
1646,1.021
1647,1.041
1648,1.003
1649,1.433
1650,1.108
1651,1.407
1652,0.988
1653,1.049
1654,1.363
1655,1.275
1656,1.224
1657,1.078
1658,0.995
1659,0.914
1660,0.988
1661,0.963
1662,1.056
1663,0.831
1664,0.878
1665,0.941
1666,0.993
1667,0.988
1668,0.946
1669,0.842
1670,1.002
1671,0.926
1672,0.962
1673,1.215
1674,0.903
1675,0.846
1676,0.883
1677,0.933
1678,0.82
1679,0.73
1680,0.909
1681,0.842
1682,0.853
1683,0.795
1684,0.832
1685,0.843
1686,0.957
1687,0.978
1688,1.177
1689,1.109
1690,1.222
1691,1.224
1692,1.329
1693,1.073
1694,1.373
1695,1.087
1696,1.089
1697,0.984
1698,1.046
1699,0.628
1700,0.751
1701,0.948
1702,0.957
1703,0.946
1704,1.01
1705,0.912
1706,0.974
1707,1.151
1708,0.857
1709,1.016
1710,1.137
1711,1.212
1712,1.229
1713,0.908
1714,0.894
1715,0.837
1716,0.989
1717,1.038
1718,0.898
1719,0.946
1720,0.873
1721,1.076
1722,0.996
1723,0.918
1724,1.03
1725,0.986
1726,0.959
1727,0.95
1728,1.073
1729,1.024
1730,0.918
1731,1.013
1732,1.073
1733,1.202
1734,1.138
1735,0.977
1736,0.916
1737,1.051
1738,0.968
1739,1.273
1740,0.983
1741,1.12
1742,0.979
1743,0.73
1744,0.892
1745,1.006
1746,0.873
1747,0.959
1748,0.825
1749,0.939
1750,1.069
1751,0.909
1752,0.795
1753,0.852
1754,0.929
1755,0.847
1756,0.902
1757,1.022
1758,1.08
1759,0.909
1760,0.919
1761,1.063
1762,0.716
1763,0.542
1764,0.636
1765,0.763
1766,0.898
1767,0.975
1768,1.087
1769,1.138
1770,0.964
1771,1.101
1772,0.852
1773,0.936
1774,0.834
1775,0.75
1776,1.08
1777,0.91
1778,0.91
1779,1.197
1780,1.211
1781,1.023
1782,1.025
1783,0.989
1784,0.792
1785,0.881
1786,1.23
1787,1.078
1788,1.157
1789,1.033
1790,1.083
1791,0.961
1792,0.855
1793,1.249
1794,1.381
1795,1.011
1796,1.053
1797,0.991
1798,1.064
1799,0.807
1800,1.15
1801,0.915
1802,1.028
1803,1.127
1804,1.251
1805,1.175
1806,1.174
1807,1.082
1808,1.011
1809,0.993
1810,1.308
1811,1.171
1812,1.163
1813,1.205
1814,1.17
1815,1.092
1816,1.122
1817,1.06
1818,1.193
1819,0.901
1820,0.894
1821,0.886
1822,1.07
1823,1.189
1824,1.272
1825,1.19
1826,1.157
1827,1.075
1828,0.953
1829,1.105
1830,0.949
1831,1.149
1832,1.096
1833,1.181
1834,1.066
1835,1.099
1836,1.095
1837,0.776
1838,0.801
1839,0.784
1840,0.977
1841,0.875
1842,0.953
1843,0.947
1844,0.912
1845,0.965
1846,1.053
1847,1.063
1848,1.282
1849,1.197
1850,1.168
1851,1.199
1852,1.111
1853,1.025
1854,1.173
1855,1.067
1856,0.966
1857,0.996
1858,0.868
1859,0.899
1860,0.926
1861,0.834
1862,0.948
1863,0.973
1864,0.751
1865,0.754
1866,0.854
1867,0.865
1868,0.848
1869,0.893
1870,0.951
1871,0.955
1872,0.906
1873,0.997
1874,0.913
1875,1.212
1876,1.046
1877,0.933
1878,1.043
1879,0.884
1880,1.044
1881,0.936
1882,1.016
1883,0.821
1884,0.891
1885,0.984
1886,1.031
1887,0.893
1888,0.857
1889,0.763
1890,0.787
1891,0.908
1892,1.022
1893,0.958
1894,0.746
1895,0.873
1896,0.82
1897,0.897
1898,0.837
1899,0.869
1900,0.802
1901,0.829
1902,0.92
1903,1.137
1904,1.104
1905,1.093
1906,1.169
1907,1.22
1908,1.017
1909,1.073
1910,0.986
1911,0.797
1912,1.084
1913,1.018
1914,0.834
1915,0.932
1916,1
1917,0.849
1918,1.017
1919,0.959
1920,1.084
1921,1.07
1922,1.131
1923,1.096
1924,0.931
1925,0.711
1926,0.752
1927,0.84
1928,1.003
1929,0.821
1930,0.78
1931,0.742
1932,1.055
1933,0.797
1934,1.064
1935,1.177
1936,0.932
1937,1.23
1938,1.36
1939,1.251
1940,1.181
1941,1.055
1942,1.109
1943,1.161
1944,1.026
1945,1.22
1946,1.283
1947,1.177
1948,0.995
1949,1.112
1950,1.12
1951,1.2
1952,1.043
1953,1.078
1954,0.962
1955,0.988
1956,0.901
1957,1.102
1958,1.029
1959,1.072
1960,1.008
1961,0.921
1962,1.069
1963,1.017
1964,1.041
1965,1.04
1966,0.991
1967,0.971
1968,1.271
1969,1.055
1970,1.34
1971,1.157
1972,1.064
1973,1.154
1974,0.79
1975,0.915
1976,0.905
1977,0.801
1978,0.86
1979,0.878
1980,0.873
1981,0.789
1982,0.952
1983,0.899
