year,rwi
1630,0.785
1631,0.612
1632,1.043
1633,0.926
1634,1.5
1635,1.125
1636,0.866
1637,0.923
1638,0.722
1639,0.921
1640,2.432
1641,2.658
1642,1.972
1643,1.458
1644,0.575
1645,0.575
1646,0.801
1647,1.084
1648,0.714
1649,0.855
1650,0.798
1651,0.599
1652,0.824
1653,0.823
1654,0.878
1655,1.102
1656,1.269
1657,0.875
1658,1.461
1659,1.599
1660,1.129
1661,0.613
1662,1.178
1663,1.459
1664,1.113
1665,0.809
1666,1.431
1667,1.164
1668,1.184
1669,0.885
1670,0.702
1671,0.553
1672,0.907
1673,0.758
1674,0.942
1675,0.772
1676,0.547
1677,0.465
1678,0.383
1679,0.389
1680,0.461
1681,0.912
1682,0.106
1683,1.437
1684,1.385
1685,1.429
1686,1.372
1687,1.756
1688,1.028
1689,0.855
1690,1.07
1691,0.978
1692,0.996
1693,0.692
1694,0.868
1695,0.822
1696,0.341
1697,0.407
1698,0.422
1699,0.648
1700,0.806
1701,0.865
1702,1.381
1703,1.169
1704,0.729
1705,1.079
1706,0.429
1707,1.035
1708,0.628
1709,0.902
1710,1.836
1711,1.787
1712,1.105
1713,1.222
1714,1.473
1715,1
1716,1.202
1717,0.674
1718,0.222
1719,0.997
1720,1.316
1721,0.601
1722,0.787
1723,1.555
1724,1.323
1725,1.116
1726,0.932
1727,1.293
1728,1.897
1729,1.673
1730,1.232
1731,0.895
1732,0.933
1733,0.771
1734,0.813
1735,0.522
1736,0.344
1737,1.093
1738,1.381
1739,1.756
1740,1.755
1741,1.237
1742,0.916
1743,0.746
1744,0.989
1745,1.069
1746,1.054
1747,0.966
1748,1.013
1749,1.055
1750,1.262
1751,1.003
1752,0.848
1753,0.958
1754,1.276
1755,1.116
1756,0.387
1757,0.544
1758,0.721
1759,0.51
1760,0.666
1761,0.741
1762,0.666
1763,0.805
1764,1.119
1765,0.768
1766,1.166
1767,1.601
1768,1.41
1769,1.206
1770,1.176
1771,1.379
1772,1.193
1773,1.045
1774,0.909
1775,1.302
1776,1.149
1777,1.506
1778,1.635
1779,1.599
1780,1.401
1781,1.337
1782,0.929
1783,0.729
1784,0.955
1785,0.781
1786,1.193
1787,1.204
1788,1.099
1789,0.767
1790,0.512
1791,0.445
1792,0.744
1793,1.199
1794,0.654
1795,1.066
1796,0.547
1797,1.051
1798,0.731
1799,0.902
1800,0.508
1801,1.18
1802,0.942
1803,1.257
1804,1.526
1805,1.041
1806,0.993
1807,1.02
1808,0.418
1809,0.838
1810,1.324
1811,1.392
1812,1.167
1813,1.438
1814,1.368
1815,0.997
1816,0.657
1817,0.107
1818,0.264
1819,0.754
1820,0.654
1821,0.853
1822,0.704
1823,0.262
1824,0.853
1825,0.874
1826,1.176
1827,0.952
1828,1.565
1829,1.88
1830,1.73
1831,1.377
1832,1.571
1833,1.154
1834,1.141
1835,1.198
1836,0.973
1837,1.046
1838,0.889
1839,0.768
1840,0.923
1841,0.75
1842,0.717
1843,1.17
1844,1.135
1845,0.878
1846,0.8
1847,0.74
1848,0.786
1849,0.957
1850,0.856
1851,1.599
1852,0.872
1853,1.326
1854,1.412
1855,1.086
1856,0.675
1857,0.969
1858,1.22
1859,0.736
1860,0.896
1861,0.869
1862,0.75
1863,0.318
1864,0.397
1865,0.235
1866,0.987
1867,1.118
1868,1.15
1869,1.102
1870,0.822
1871,1.078
1872,0.881
1873,0.772
1874,0.515
1875,0.636
1876,1.254
1877,1.343
1878,1.78
1879,1.787
1880,1.581
1881,1.37
1882,1.498
1883,1.15
1884,0.889
1885,0.753
1886,0.303
1887,0.536
1888,0.71
1889,0.814
1890,0.654
1891,0.903
1892,0.709
1893,0.695
1894,0.771
1895,1.028
1896,0.929
1897,0.783
1898,0.678
1899,0.96
1900,0.573
1901,0.218
1902,0.789
1903,0.967
1904,1.112
1905,0.896
1906,1.028
1907,0.98
1908,1.196
1909,0.886
1910,1.458
1911,1.36
1912,1.532
1913,1.41
1914,1.255
1915,1.386
1916,1.14
1917,1.306
1918,1.066
1919,1.008
1920,0.841
1921,0.641
1922,0.81
1923,0.937
1924,1.422
1925,1.149
1926,0.321
1927,1.109
1928,1.057
1929,1.181
1930,1.129
1931,0.537
1932,0.981
1933,1.029
1934,0.402
1935,0.849
1936,0.241
1937,0.719
1938,1.073
1939,0.914
1940,0.991
1941,1.319
1942,1.587
1943,1.807
1944,1.605
1945,1.665
1946,1.095
1947,1.388
1948,1.064
1949,1.094
1950,0.839
1951,1.191
1952,0.92
1953,0.834
1954,1.063
1955,1.225
1956,0.416
1957,0.953
1958,0.78
1959,0.795
1960,1.121
1961,0.727
1962,1.171
1963,1.544
1964,0.812
1965,1.118
1966,1.134
1967,1.092
1968,1.009
1969,1.016
1970,1.109
1971,1.256
1972,1.277
1973,1.408
1974,1.22
1975,1.215
1976,1.104
1977,0.533
1978,0.411
1979,0.557
1980,0.34
1981,1.086
1982,1.146
1983,1.074
1984,0.774
1985,0.741
1986,0.949
1987,1.119
1988,0.752
1989,1.129
1990,1.032
1991,1.028
