year,rwi
1728,1.348
1729,1.08
1730,0.397
1731,0.636
1732,0.84
1733,0.824
1734,0.682
1735,0.714
1736,0.385
1737,1.088
1738,1.061
1739,0.52
1740,1.232
1741,0.895
1742,0.973
1743,0.457
1744,1.005
1745,0.858
1746,1.105
1747,1.202
1748,1.502
1749,1.125
1750,1.618
1751,1.752
1752,1.495
1753,1.248
1754,1.496
1755,1.515
1756,1.1
1757,1.257
1758,0.584
1759,0.381
1760,0.703
1761,1.169
1762,0.975
1763,1.199
1764,1.368
1765,1.5
1766,1.476
1767,1.266
1768,1.178
1769,0.673
1770,1.123
1771,0.988
1772,0.978
1773,0.816
1774,0.921
1775,0.944
1776,1.095
1777,1.069
1778,0.709
1779,0.391
1780,0.494
1781,0.98
1782,0.956
1783,0.787
1784,0.648
1785,0.338
1786,0.631
1787,0.705
1788,0.756
1789,0.735
1790,0.716
1791,0.726
1792,1.125
1793,1.035
1794,0.938
1795,0.839
1796,1.003
1797,0.856
1798,0.985
1799,0.888
1800,0.963
1801,1.005
1802,1.054
1803,1.274
1804,0.665
1805,0.71
1806,0.816
1807,0.984
1808,0.748
1809,0.897
1810,0.951
1811,1.028
1812,0.972
1813,1.432
1814,1.219
1815,1.196
1816,1.181
1817,0.759
1818,0.929
1819,0.809
1820,0.832
1821,0.912
1822,0.721
1823,0.802
1824,0.552
1825,0.871
1826,0.836
1827,0.964
1828,1.203
1829,1.143
1830,1.426
1831,1.048
1832,1.174
1833,1.558
1834,1.597
1835,1.202
1836,1.39
1837,1.242
1838,1.171
1839,1.338
1840,1.177
1841,0.895
1842,0.963
1843,0.984
1844,1.341
1845,1.04
1846,1.079
1847,0.955
1848,0.616
1849,0.925
1850,0.958
1851,1.111
1852,1.214
1853,1.217
1854,1.242
1855,1.047
1856,1.04
1857,0.899
1858,1.183
1859,0.68
1860,0.805
1861,0.769
1862,0.828
1863,0.759
1864,0.302
1865,0.638
1866,0.742
1867,0.62
1868,0.765
1869,0.79
1870,0.881
1871,1.186
1872,1.289
1873,0.983
1874,0.767
1875,0.906
1876,0.696
1877,0.879
1878,1.054
1879,1.054
1880,0.697
1881,1.171
1882,1.099
1883,0.914
1884,1.123
1885,1.339
1886,1.368
1887,1.237
1888,1.289
1889,1.121
1890,0.943
1891,1.093
1892,1.157
1893,0.987
1894,0.91
1895,0.478
1896,0.524
1897,0.81
1898,0.851
1899,0.645
1900,0.776
1901,0.828
1902,0.928
1903,1.522
1904,1.279
1905,1.285
1906,1.289
1907,1.403
1908,1.233
1909,1.312
1910,1.219
1911,0.917
1912,1.122
1913,1.146
1914,1.023
1915,1.335
1916,1.166
1917,0.868
1918,1.191
1919,0.926
1920,0.924
1921,1.069
1922,1.293
1923,1.127
1924,1.103
1925,1.007
1926,0.563
1927,0.945
1928,1.008
1929,0.924
1930,1.228
1931,1.314
1932,1.254
1933,0.981
1934,0.609
1935,1.039
1936,0.777
1937,0.702
1938,1.147
1939,0.726
1940,0.547
1941,0.944
1942,0.995
1943,0.879
1944,1.124
1945,1.205
1946,1.064
1947,1.237
1948,1.092
1949,1.199
1950,1.023
1951,1.193
1952,1.19
1953,1.121
1954,1.054
1955,1.066
1956,0.777
1957,1.081
1958,0.989
1959,0.632
1960,0.912
1961,0.695
1962,0.912
1963,0.936
1964,0.924
1965,0.754
1966,0.971
1967,1.061
1968,0.86
1969,1.015
1970,0.945
1971,0.914
1972,1.215
1973,1.029
1974,0.936
1975,0.921
1976,0.707
1977,0.997
1978,0.952
1979,0.805
1980,1.013
1981,0.901
1982,1.243
1983,1.089
1984,1.302
1985,0.809
1986,0.966
1987,1.093
1988,1.128
1989,0.646
1990,0.982
1991,0.961
1992,0.979
1993,1.072
1994,0.835
1995,1.057
1996,0.994
1997,0.975
1998,1.109
