year,rwi
1726,1.111
1727,0.967
1728,1.071
1729,1.059
1730,0.991
1731,1.102
1732,1.233
1733,1.355
1734,1.499
1735,1.767
1736,1.964
1737,1.359
1738,1.037
1739,1.466
1740,1.462
1741,1.026
1742,1.506
1743,1.458
1744,1.316
1745,1.33
1746,1.381
1747,1.126
1748,1.423
1749,1.094
1750,1.25
1751,1.403
1752,1.296
1753,0.944
1754,0.783
1755,0.691
1756,0.986
1757,0.948
1758,0.989
1759,1.018
1760,0.79
1761,0.924
1762,0.818
1763,0.81
1764,0.804
1765,0.89
1766,0.792
1767,0.78
1768,0.974
1769,0.837
1770,0.756
1771,0.893
1772,1.016
1773,0.912
1774,0.847
1775,0.884
1776,0.866
1777,0.892
1778,0.926
1779,0.855
1780,0.772
1781,0.845
1782,0.98
1783,0.843
1784,0.964
1785,1.039
1786,1.132
1787,1.049
1788,1.114
1789,1.054
1790,0.896
1791,0.944
1792,1.045
1793,0.928
1794,1.149
1795,1.257
1796,1.481
1797,1.142
1798,1.066
1799,1.209
1800,1.284
1801,1.105
1802,1.25
1803,0.994
1804,0.826
1805,0.772
1806,0.789
1807,0.737
1808,0.789
1809,0.793
1810,0.875
1811,0.846
1812,0.85
1813,0.804
1814,0.804
1815,0.895
1816,0.978
1817,0.908
1818,0.753
1819,0.656
1820,0.845
1821,0.944
1822,0.846
1823,0.788
1824,1.09
1825,1.043
1826,1.171
1827,1.29
1828,1.034
1829,0.886
1830,0.98
1831,0.985
1832,1.095
1833,1.035
1834,0.754
1835,0.877
1836,1.095
1837,1.042
1838,0.722
1839,0.523
1840,0.768
1841,0.888
1842,0.909
1843,0.755
1844,0.852
1845,1.014
1846,0.716
1847,0.841
1848,1.096
1849,0.844
1850,0.924
1851,1.021
1852,0.806
1853,0.99
1854,0.944
1855,1.183
1856,1.302
1857,1.448
1858,1.177
1859,0.873
1860,1.053
1861,1.177
1862,1.438
1863,1.486
1864,1.056
1865,1.05
1866,0.909
1867,0.934
1868,0.907
1869,0.857
1870,0.738
1871,0.857
1872,0.91
1873,0.989
1874,0.729
1875,0.664
1876,0.834
1877,0.909
1878,1.262
1879,0.808
1880,0.76
1881,1.049
1882,1.018
1883,1.08
1884,1.012
1885,1.089
1886,0.914
1887,0.784
1888,1.104
1889,1.214
1890,0.766
1891,0.997
1892,1.163
1893,0.843
1894,0.886
1895,0.94
1896,1.022
1897,0.647
1898,0.774
1899,0.969
1900,1.311
1901,0.986
1902,1.23
1903,1.179
1904,1.229
1905,1.264
1906,1.033
1907,0.928
1908,1.313
1909,0.96
1910,1.128
1911,1.33
1912,1.081
1913,0.981
1914,0.983
1915,0.975
1916,1.08
1917,1.215
1918,1.184
1919,1.057
1920,0.952
1921,0.916
1922,0.907
1923,1.03
1924,1.15
1925,0.958
1926,0.805
1927,1.009
1928,0.878
1929,0.838
1930,1.148
1931,0.924
1932,0.699
1933,0.881
1934,1.089
1935,0.844
1936,0.733
1937,0.89
1938,0.677
1939,0.619
1940,0.639
1941,0.686
1942,0.798
1943,0.976
1944,0.899
1945,1.192
1946,0.856
1947,0.912
1948,0.9
1949,0.767
1950,0.816
1951,1.022
1952,0.834
1953,0.747
1954,1.135
1955,0.91
1956,0.934
1957,1.19
1958,1.161
1959,0.837
1960,0.736
1961,0.721
1962,0.8
1963,1
1964,1.06
1965,0.764
1966,1.022
1967,0.989
1968,0.971
1969,1.379
1970,0.934
1971,0.917
1972,1.249
1973,0.907
1974,0.465
1975,1.081
1976,1.365
1977,1.693
1978,1.082
1979,1.253
1980,1.018
1981,1.1
1982,1.269
1983,1.189
1984,1.008
1985,1.103
1986,1.101
1987,1.122
1988,1.039
1989,0.712
1990,0.833
1991,0.951
1992,0.669
1993,0.909
1994,0.932
1995,0.683
1996,0.783
