year,rwi
-87,2.155
-86,2.232
-85,1.868
-84,1.312
-83,1.052
-82,1.111
-81,0.89
-80,0.929
-79,0.689
-78,0.512
-77,0.518
-76,0.496
-75,0.515
-74,0.486
-73,0.523
-72,0.659
-71,0.928
-70,1.162
-69,0.882
-68,1.08
-67,0.693
-66,0.739
-65,0.805
-64,0.821
-63,0.744
-62,0.879
-61,1.103
-60,0.992
-59,1.027
-58,1.442
-57,1.012
-56,1.038
-55,0.656
-54,0.741
-53,0.828
-52,1.001
-51,0.94
-50,1.148
-49,1.737
-48,1.372
-47,0.99
-46,1.049
-45,0.99
-44,1.257
-43,1.107
-42,0.91
-41,1.022
-40,0.823
-39,0.888
-38,0.921
-37,0.765
-36,0.79
-35,0.982
-34,1.034
-33,1.566
-32,1.339
-31,1.431
-30,1.604
-29,1.141
-28,0.672
-27,0.87
-26,1.161
-25,1.173
-24,1.268
-23,1.099
-22,1.053
-21,1.756
-20,1.248
-19,0.824
-18,0.88
-17,0.734
-16,0.632
-15,0.673
-14,0.627
-13,0.644
-12,0.694
-11,0.711
-10,0.743
-9,1.005
-8,0.861
-7,0.766
-6,1.018
-5,0.934
-4,1.121
-3,1.071
-2,0.711
-1,0.588
0,0.67
1,0.769
2,1.124
3,0.81
4,0.924
5,1.323
6,1.227
7,1.405
8,0.725
9,0.732
10,0.848
11,0.88
12,1.101
13,1.183
14,1.398
15,1.298
16,1.128
17,1.453
18,1.213
19,1.207
20,0.973
21,0.747
