year,rwi
1841,1.405
1842,1.118
1843,1.434
1844,1.558
1845,0.739
1846,1.1
1847,1.206
1848,1.112
1849,0.983
1850,1.142
1851,0.986
1852,0.884
1853,0.719
1854,0.801
1855,0.954
1856,0.906
1857,0.924
1858,0.886
1859,0.969
1860,0.972
1861,0.929
1862,1.075
1863,1.045
1864,1.117
1865,1.088
1866,0.974
1867,1.05
1868,1.037
1869,1.077
1870,1.009
1871,1.004
1872,1.02
1873,0.946
1874,0.937
1875,0.934
1876,1.002
1877,0.967
1878,1.022
1879,0.975
1880,1.088
1881,1.001
1882,0.973
1883,0.96
1884,0.99
1885,1.023
1886,1.122
1887,1.017
1888,0.986
1889,0.984
1890,0.976
1891,1.005
1892,1.011
1893,1.007
1894,0.991
1895,0.991
1896,1.087
1897,0.986
1898,1.042
1899,0.978
1900,1.002
1901,1.013
1902,0.979
1903,0.942
1904,0.904
1905,0.915
1906,0.936
1907,0.967
1908,1.007
1909,1.046
1910,1.1
1911,1.098
1912,1.03
1913,1.007
1914,1.008
1915,1
1916,1.029
1917,1.017
1918,1.017
1919,0.983
1920,0.962
1921,0.979
1922,0.976
1923,0.988
1924,1.034
1925,0.986
1926,0.962
1927,0.978
1928,0.918
1929,0.948
1930,1.002
1931,1.021
1932,1.048
1933,1.047
1934,0.973
1935,0.969
1936,0.973
1937,1.076
1938,1.011
1939,1.009
1940,0.933
1941,0.919
1942,0.938
1943,1
1944,1.003
1945,0.957
1946,1.072
1947,1.055
1948,1.065
1949,1.049
1950,1.002
1951,1.124
1952,0.996
1953,1.08
1954,0.978
1955,0.917
1956,0.98
1957,0.943
1958,1.06
1959,1.098
1960,1.052
1961,0.99
1962,1.004
1963,0.936
1964,0.918
1965,0.883
1966,0.83
1967,0.945
1968,1.059
1969,1.024
1970,1.048
1971,1.093
1972,1.081
1973,1.032
1974,1.123
1975,1.021
1976,1.018
1977,0.973
1978,1.038
1979,1.017
1980,0.943
1981,1.054
1982,1.015
1983,0.878
1984,0.738
1985,0.816
1986,0.899
1987,0.911
1988,0.964
1989,1.169
1990,1.168
1991,1.126
