year,rwi
1628,1.574
1629,1.273
1630,1.046
1631,1.591
1632,1.359
1633,1.263
1634,1.227
1635,0.912
1636,1.066
1637,1.204
1638,1.218
1639,0.997
1640,0.945
1641,1.313
1642,1.51
1643,1.322
1644,0.916
1645,0.729
1646,0.671
1647,0.693
1648,0.851
1649,0.56
1650,0.636
1651,0.652
1652,1.059
1653,1.229
1654,0.613
1655,0.885
1656,0.686
1657,1.1
1658,1.025
1659,0.645
1660,0.503
1661,0.555
1662,0.532
1663,0.773
1664,0.704
1665,0.712
1666,0.822
1667,1.055
1668,0.725
1669,1.018
1670,1.005
1671,1.081
1672,1.151
1673,1.036
1674,0.912
1675,0.819
1676,1.062
1677,1.068
1678,0.735
1679,0.961
1680,0.947
1681,0.971
1682,0.869
1683,0.781
1684,0.84
1685,1.035
1686,1.339
1687,1.261
1688,1.172
1689,1.048
1690,0.969
1691,1.169
1692,1.17
1693,1.221
1694,1.416
1695,1.405
1696,1.093
1697,0.982
1698,1.041
1699,0.891
1700,0.939
1701,0.951
1702,1.047
1703,1.033
1704,0.786
1705,1.041
1706,0.861
1707,0.847
1708,0.818
1709,0.867
1710,0.965
1711,1.058
1712,1.134
1713,0.911
1714,1.065
1715,1.025
1716,1.041
1717,1.014
1718,0.924
1719,1.043
1720,1.01
1721,1.149
1722,0.904
1723,1.072
1724,0.597
1725,0.829
1726,0.951
1727,0.835
1728,1.033
1729,0.945
1730,0.948
1731,0.917
1732,0.918
1733,1.225
1734,1.281
1735,0.832
1736,1.119
1737,1.077
1738,1.06
1739,1.038
1740,0.636
1741,0.885
1742,1.073
1743,0.894
1744,1.128
1745,0.844
1746,1.167
1747,1.304
1748,0.991
1749,0.89
1750,0.643
1751,1.072
1752,1.068
1753,1.011
1754,1.08
1755,1.351
1756,1.057
1757,1.011
1758,1.347
1759,1.136
1760,0.809
1761,0.916
1762,0.836
1763,0.795
1764,0.727
1765,0.963
1766,0.85
1767,1.025
1768,0.931
1769,1.107
1770,0.641
1771,0.637
1772,0.789
1773,0.975
1774,0.832
1775,0.924
1776,0.981
1777,1.021
1778,0.658
1779,1.053
1780,1.05
1781,1.113
1782,1.029
1783,0.906
1784,1.107
1785,1.089
1786,1.147
1787,1.015
1788,0.911
1789,1.057
1790,0.789
1791,1.099
1792,0.708
1793,0.88
1794,0.991
1795,0.773
1796,0.998
1797,1.129
1798,1.056
1799,1.143
1800,0.837
1801,0.81
1802,0.691
1803,0.898
1804,0.709
1805,0.927
1806,1.026
1807,1.117
1808,0.794
1809,1.103
1810,0.896
1811,1.074
1812,1.004
1813,0.893
1814,0.95
1815,1.042
1816,1.428
1817,0.902
1818,0.99
1819,1.067
1820,1.211
1821,1.028
1822,1.283
1823,0.987
1824,0.993
1825,0.985
1826,1.246
1827,1.341
1828,1.043
1829,1.367
1830,1.268
1831,1.328
1832,0.864
1833,1.032
1834,0.696
1835,0.843
1836,1.033
1837,1.028
1838,0.981
1839,0.666
1840,0.819
1841,0.805
1842,0.629
1843,0.984
1844,0.864
1845,1.04
1846,0.483
1847,0.732
1848,0.752
1849,0.747
1850,0.857
1851,0.865
1852,1.039
1853,1.199
1854,0.925
1855,0.777
1856,1.016
1857,0.868
1858,0.983
1859,0.725
1860,0.7
1861,0.702
1862,0.877
1863,0.692
1864,0.893
1865,0.802
1866,0.807
1867,0.7
1868,1.073
1869,1.006
1870,0.809
1871,1.192
1872,1.207
1873,1.491
1874,1.3
1875,0.883
1876,1.141
1877,1.025
1878,0.963
1879,1.046
1880,0.958
1881,1.239
1882,1.172
1883,1.253
1884,1.383
1885,1.091
1886,0.644
1887,0.677
1888,1.118
1889,0.567
1890,0.443
1891,0.66
1892,0.485
1893,1.21
1894,2.077
1895,1.318
1896,1.318
1897,0.837
1898,0.393
1899,0.648
1900,0.878
1901,0.469
1902,1.43
1903,1.224
