year,rwi
1732,0.933
1733,1.046
1734,1.527
1735,0.97
1736,0.876
1737,0.601
1738,0.64
1739,0.73
1740,0.785
1741,0.948
1742,1.06
1743,1.081
1744,1.508
1745,1.346
1746,1.4
1747,1.636
1748,1.322
1749,0.871
1750,1.386
1751,1.131
1752,1.276
1753,1.367
1754,1.56
1755,0.915
1756,1.351
1757,1.094
1758,1.31
1759,1.234
1760,1.148
1761,0.973
1762,0.662
1763,0.863
1764,0.828
1765,0.926
1766,1.055
1767,0.98
1768,1.239
1769,0.876
1770,0.989
1771,0.971
1772,0.785
1773,0.696
1774,0.628
1775,0.604
1776,0.591
1777,0.7
1778,0.616
1779,0.723
1780,0.928
1781,0.935
1782,0.809
1783,0.608
1784,0.568
1785,0.627
1786,0.784
1787,0.658
1788,1.129
1789,1.175
1790,0.873
1791,0.754
1792,0.756
1793,1.046
1794,0.988
1795,0.778
1796,1.056
1797,1.151
1798,1.158
1799,1.026
1800,0.699
1801,0.607
1802,0.822
1803,0.792
1804,1.026
1805,0.966
1806,0.915
1807,1.351
1808,1.351
1809,0.923
1810,0.948
1811,0.974
1812,1.066
1813,1.03
1814,1.08
1815,1.233
1816,1.001
1817,0.935
1818,1.026
1819,0.724
1820,0.755
1821,0.827
1822,0.757
1823,0.746
1824,0.778
1825,0.886
1826,0.784
1827,1.094
1828,1.177
1829,1.094
1830,1.223
1831,1.174
1832,1.286
1833,1.18
1834,1.123
1835,0.834
1836,1
1837,0.897
1838,0.905
1839,0.543
1840,0.754
1841,0.792
1842,0.786
1843,0.596
1844,0.645
1845,0.771
1846,0.879
1847,1.339
1848,1.128
1849,0.928
1850,1.198
1851,1.13
1852,0.828
1853,0.886
1854,1.187
1855,1.171
1856,1.021
1857,1.17
1858,1.003
1859,1.003
1860,0.939
1861,0.757
1862,1.05
1863,1.353
1864,1.112
1865,0.984
1866,0.972
1867,1.124
1868,1.312
1869,1.103
1870,1.322
1871,1.264
1872,1.186
1873,0.92
1874,1.065
1875,0.779
1876,0.634
1877,0.698
1878,0.775
1879,0.788
1880,1.047
1881,1.097
1882,0.887
1883,0.935
1884,0.836
1885,0.771
1886,0.853
1887,1.012
1888,0.724
1889,0.979
1890,1.198
1891,0.974
1892,1.127
1893,1.023
1894,1.033
1895,0.879
1896,1.224
1897,1.072
1898,1.058
1899,0.946
1900,0.807
1901,0.88
1902,1.124
1903,0.992
1904,1.36
1905,0.98
1906,1.312
1907,0.956
1908,0.877
1909,0.902
1910,0.867
1911,1.015
1912,0.871
1913,0.754
1914,0.923
1915,0.563
1916,0.597
1917,0.627
1918,0.483
1919,1.112
1920,1.134
1921,1.372
1922,1.418
1923,1.163
1924,0.92
1925,1.104
1926,0.866
1927,0.967
1928,1.225
1929,1.19
1930,1.104
1931,1.239
1932,1.264
1933,1.22
1934,0.931
1935,0.912
1936,0.775
1937,0.842
1938,1.1
1939,0.898
1940,0.494
1941,0.609
1942,0.88
1943,0.935
1944,0.63
1945,1.078
1946,1.046
1947,1.172
1948,1.204
1949,0.983
1950,1.12
1951,1.338
1952,1.738
1953,0.877
1954,0.68
1955,0.998
1956,1.07
1957,0.804
1958,0.847
1959,1.067
1960,1.077
1961,1.273
1962,0.714
1963,1.027
1964,0.799
1965,0.567
1966,0.319
1967,0.554
1968,0.843
1969,0.717
1970,1.183
1971,1.326
1972,1.586
1973,1.403
1974,1.477
1975,1.499
1976,1.226
1977,0.777
1978,0.979
1979,0.885
1980,0.938
1981,0.603
1982,0.943
1983,0.874
1984,0.702
1985,1.124
1986,0.925
1987,1.097
1988,0.556
1989,0.788
1990,1.208
1991,0.7
1992,0.923
1993,0.785
1994,0.818
1995,1.158
1996,1.003
1997,1.091
1998,1.11
1999,0.768
2000,1.108
2001,1.279
2002,0.938
2003,0.871
