year,rwi
1535,2.186
1536,2.07
1537,2.128
1538,1.549
1539,1.969
1540,1.752
1541,1.534
1542,1.448
1543,1.911
1544,1.23
1545,1.317
1546,1.578
1547,1.607
1548,1.549
1549,1.81
1550,1.491
1551,1.346
1552,1.607
1553,1.65
1554,1.172
1555,1.114
1556,0.952
1557,0.753
1558,0.719
1559,0.831
1560,0.749
1561,0.909
1562,0.909
1563,0.983
1564,1.006
1565,1.108
1566,0.831
1567,0.984
1568,1.266
1569,1.349
1570,1.17
1571,1.145
1572,1.096
1573,1.126
1574,1.173
1575,1.235
1576,1.285
1577,1.107
1578,0.997
1579,0.955
1580,0.942
1581,1.274
1582,1.053
1583,1.206
1584,1.124
1585,1.129
1586,1.18
1587,1.012
1588,0.968
1589,1.129
1590,0.969
1591,1.396
1592,1.598
1593,1.339
1594,1.378
1595,1.299
1596,1.281
1597,1.05
1598,0.836
1599,0.753
1600,0.791
1601,0.802
1602,0.67
1603,0.608
1604,0.546
1605,0.696
1606,0.835
1607,0.648
1608,0.724
1609,0.735
1610,0.851
1611,0.849
1612,0.738
1613,0.654
1614,0.867
1615,0.966
1616,0.924
1617,0.909
1618,0.824
1619,0.784
1620,0.971
1621,0.852
1622,0.896
1623,0.796
1624,0.783
1625,0.839
1626,0.941
1627,0.788
1628,0.87
1629,0.889
1630,0.879
1631,0.752
1632,1.012
1633,0.899
1634,1.01
1635,1.006
1636,1.175
1637,1.294
1638,1.216
1639,0.963
1640,1.023
1641,0.725
1642,0.814
1643,0.635
1644,0.559
1645,0.706
1646,0.624
1647,0.485
1648,0.523
1649,0.504
1650,0.547
1651,0.514
1652,0.444
1653,0.667
1654,0.76
1655,0.72
1656,0.674
1657,0.942
1658,1.074
1659,1.031
1660,0.89
1661,1.075
1662,0.924
1663,0.734
1664,0.852
1665,0.94
1666,0.847
1667,0.835
1668,0.777
1669,0.701
1670,0.728
1671,0.909
1672,0.853
1673,0.825
1674,0.888
1675,0.801
1676,0.911
1677,0.858
1678,0.951
1679,1.019
1680,0.728
1681,1.077
1682,1.051
1683,1.061
1684,1.16
1685,1.093
1686,1.282
1687,1.212
1688,1.066
1689,1.247
1690,1.239
1691,1.247
1692,1.385
1693,1.412
1694,1.424
1695,0.924
1696,1.072
1697,1.271
1698,1.162
1699,1.479
1700,1.464
1701,1.294
1702,1.115
1703,1.136
1704,0.964
1705,1.091
1706,1.025
1707,1.17
1708,1.074
1709,1.075
1710,0.608
1711,1.022
1712,0.886
1713,0.954
1714,0.94
1715,0.915
1716,1.076
1717,1.212
1718,1.182
1719,1.024
1720,1.166
1721,1.128
1722,1.015
1723,1.019
1724,0.904
1725,1.085
1726,0.875
1727,0.851
1728,1.062
1729,1.053
1730,1.1
1731,1.257
1732,1.042
1733,1.164
1734,1.16
1735,1.015
1736,0.953
1737,0.954
1738,1.089
1739,1.205
1740,1.214
1741,1.395
1742,1.514
1743,1.22
1744,1.229
1745,1.318
1746,1.185
1747,1.141
1748,0.826
1749,1.108
1750,1.064
1751,1.118
1752,0.869
1753,0.947
1754,0.706
1755,0.869
1756,1.105
1757,1.2
1758,1.226
1759,1.176
1760,1.124
1761,1.023
1762,1.04
1763,1.002
1764,0.871
1765,1.1
1766,1.114
1767,1.068
1768,0.828
1769,0.838
1770,0.72
1771,0.807
1772,0.721
1773,0.792
1774,0.798
1775,0.785
1776,0.736
1777,0.933
1778,0.926
1779,1.055
1780,1.32
1781,1.255
1782,1.309
1783,1.293
1784,1.292
1785,1.153
1786,1.101
1787,1.048
1788,1.293
1789,1.168
1790,1.089
1791,1.005
1792,1.067
1793,1.129
1794,1.081
1795,1.016
1796,1.282
1797,1.278
1798,1.355
1799,1.355
1800,1.478
1801,1.132
1802,1.097
1803,1.023
1804,1.01
1805,0.957
1806,0.895
1807,1.089
1808,1.119
1809,1.116
1810,1.23
1811,1.044
1812,1.237
1813,1.234
1814,1.169
1815,1.083
1816,1.085
1817,1.087
1818,0.775
1819,0.747
1820,0.762
1821,0.892
1822,0.726
1823,0.668
1824,0.774
1825,0.837
1826,0.876
1827,1.007
1828,0.948
1829,1.046
1830,1.013
1831,0.888
1832,0.894
1833,0.986
1834,0.782
1835,0.533
1836,0.39
1837,0.436
1838,0.346
1839,0.171
1840,0.166
1841,0.144
1842,0.086
1843,0.145
1844,0.144
1845,0.202
1846,0.197
1847,0.221
1848,0.312
1849,0.326
1850,0.382
1851,0.301
1852,0.451
1853,0.526
1854,0.641
1855,0.666
1856,0.717
1857,0.801
1858,0.66
1859,0.688
1860,0.579
1861,0.69
1862,0.953
1863,0.87
1864,0.899
1865,0.698
1866,1.029
1867,0.975
1868,0.908
1869,1.046
1870,0.838
1871,0.86
1872,0.716
1873,0.776
1874,0.917
1875,0.645
1876,0.839
1877,0.855
1878,0.894
1879,0.816
1880,0.671
1881,0.928
1882,0.88
1883,0.847
1884,0.849
1885,1.058
1886,1.131
1887,0.93
1888,0.905
1889,0.993
1890,0.725
1891,0.887
1892,0.933
1893,0.751
1894,0.936
1895,0.925
1896,0.796
1897,1.028
1898,1.063
1899,0.887
1900,0.955
1901,0.97
1902,0.88
1903,1.037
1904,0.975
1905,1.105
1906,1.076
1907,1.413
1908,1.258
1909,1.194
1910,1.343
1911,1.282
1912,1.19
1913,1.178
1914,1.16
1915,1.036
1916,0.908
1917,0.927
1918,1.1
1919,1.13
1920,0.979
1921,1.103
1922,1.223
1923,1.085
1924,0.954
1925,1.056
1926,1.145
1927,1.053
1928,1.04
1929,1.165
1930,1.143
1931,1.238
1932,1.108
1933,1.067
1934,0.941
1935,0.973
1936,0.895
1937,1.03
1938,1.016
1939,1.012
1940,1.24
1941,1.178
1942,1.236
1943,1.346
1944,1.279
1945,1.402
1946,1.351
1947,1.591
1948,1.527
1949,1.429
1950,1.464
1951,1.252
1952,0.797
1953,1.111
1954,1.165
1955,1.371
1956,1.338
1957,1.245
1958,1.529
1959,1.567
1960,1.572
1961,1.671
1962,1.541
1963,1.572
1964,1.81
1965,1.776
1966,1.79
1967,1.453
1968,1.776
