year,rwi
1761,1.49
1762,1.56
1763,1.345
1764,1.25
1765,0.995
1766,1.065
1767,0.75
1768,0.57
1769,0.6
1770,1.009
1771,1.04
1772,0.941
1773,1.204
1774,1.066
1775,1.064
1776,0.963
1777,0.854
1778,0.56
1779,0.495
1780,0.545
1781,0.52
1782,0.5
1783,0.471
1784,0.5
1785,0.56
1786,0.495
1787,0.575
1788,0.586
1789,0.569
1790,0.667
1791,0.683
1792,0.667
1793,0.62
1794,0.52
1795,0.357
1796,0.733
1797,0.698
1798,0.721
1799,0.599
1800,0.384
1801,0.468
1802,0.373
1803,0.399
1804,0.439
1805,0.418
1806,0.383
1807,0.397
1808,0.51
1809,0.482
1810,0.455
1811,0.513
1812,0.392
1813,0.371
1814,0.373
1815,0.302
1816,0.32
1817,0.323
1818,0.367
1819,0.374
1820,0.413
1821,0.37
1822,0.395
1823,0.497
1824,0.485
1825,0.484
1826,0.815
1827,0.748
1828,0.66
1829,0.751
1830,0.572
1831,0.632
1832,0.453
1833,0.351
1834,0.187
1835,0.234
1836,0.336
1837,0.326
1838,0.396
1839,0.434
1840,0.427
1841,0.523
1842,0.63
1843,0.534
1844,0.615
1845,0.411
1846,0.526
1847,0.512
1848,0.667
1849,0.614
1850,0.546
1851,0.595
1852,0.734
1853,0.645
1854,0.814
1855,0.758
1856,0.698
1857,0.657
1858,0.68
1859,0.56
1860,0.593
1861,0.58
1862,0.62
1863,0.747
1864,0.874
1865,0.91
1866,0.847
1867,0.62
1868,0.712
1869,0.687
1870,0.792
1871,0.707
1872,0.86
1873,0.956
1874,0.848
1875,0.877
1876,0.888
1877,0.738
1878,0.678
1879,0.728
1880,0.59
1881,0.428
1882,0.604
1883,0.606
1884,0.485
1885,0.382
1886,0.432
1887,0.524
1888,0.486
1889,0.586
1890,0.799
1891,0.75
1892,0.526
1893,0.551
1894,0.583
1895,0.633
1896,0.639
1897,0.838
1898,0.912
1899,0.723
1900,0.725
1901,1.151
1902,1.021
1903,0.832
1904,0.859
1905,0.84
1906,0.964
1907,0.94
1908,1.064
1909,0.853
1910,0.826
1911,0.785
1912,0.919
1913,0.999
1914,1.114
1915,0.964
1916,0.927
1917,0.746
1918,0.968
1919,0.685
1920,0.713
1921,0.827
1922,0.997
1923,0.884
1924,0.993
1925,1.125
1926,1.006
1927,0.944
1928,0.661
1929,0.496
1930,0.693
1931,0.456
1932,0.401
1933,0.471
1934,0.547
1935,0.41
1936,0.412
1937,0.643
1938,0.59
1939,0.605
1940,0.615
1941,0.976
1942,0.959
1943,1.15
1944,1.165
1945,1.087
1946,0.728
1947,0.68
1948,0.72
1949,0.814
1950,0.811
1951,0.626
1952,0.675
1953,0.764
1954,0.755
1955,0.713
1956,0.762
1957,0.895
1958,0.796
1959,0.991
1960,1.247
1961,0.886
1962,0.698
1963,0.66
1964,0.791
1965,0.652
1966,0.658
1967,0.643
1968,0.639
1969,0.632
1970,0.487
1971,0.461
1972,0.516
1973,0.59
1974,0.594
1975,0.665
1976,0.721
1977,0.733
1978,0.634
