year,rwi
975,0.678
976,0.922
977,0.875
978,0.727
979,0.905
980,0.75
981,0.597
982,0.741
983,1.016
984,0.954
985,1.208
986,0.73
987,0.465
988,0.717
989,0.93
990,0.702
991,0.711
992,0.712
993,0.592
994,0.721
995,0.612
996,0.617
997,0.649
998,0.721
999,0.898
1000,0.68
1001,0.9
1002,1.119
1003,1.014
1004,0.973
1005,0.897
1006,1.124
1007,1.065
1008,1.328
1009,0.909
1010,0.835
1011,0.736
1012,0.646
1013,0.78
1014,0.651
1015,1.001
1016,1.2
1017,1.009
1018,1.173
1019,0.94
1020,0.821
1021,0.782
1022,0.609
1023,1.259
1024,0.938
1025,0.943
1026,1.188
1027,1.01
1028,1.286
1029,1.157
1030,1.095
1031,1.443
1032,1.029
1033,1.319
1034,1.036
1035,0.801
1036,1.034
1037,0.921
1038,1.153
1039,0.647
1040,0.902
1041,1.059
1042,1.253
1043,1.272
1044,0.815
1045,1.282
1046,1.166
1047,1.182
1048,0.9
1049,1.195
1050,0.744
1051,1.099
1052,0.826
1053,0.591
1054,1.234
1055,0.829
1056,0.924
1057,1.254
1058,0.918
1059,0.654
1060,1.293
1061,1.016
1062,0.963
1063,1.502
1064,1.397
1065,1.203
1066,1.208
1067,1.312
1068,1.119
1069,0.815
1070,0.72
1071,1.183
1072,0.773
1073,0.815
1074,1.009
1075,0.809
1076,1.109
1077,1.163
1078,1.176
1079,1.29
1080,0.853
1081,0.717
1082,0.995
1083,1.447
1084,0.957
1085,0.92
1086,1.253
1087,1.352
1088,0.924
1089,0.951
1090,1.401
1091,1.662
1092,1.654
1093,1.191
1094,1.393
1095,1.294
1096,1.535
1097,1.17
1098,0.749
1099,1.26
1100,1.273
1101,1.056
1102,0.944
1103,1.489
1104,1.201
1105,1.479
1106,1.717
1107,1.109
1108,1.184
1109,1.146
1110,1.059
1111,1.134
1112,1.023
1113,1.43
1114,1.871
1115,1.085
1116,1.644
1117,1.574
1118,1.193
1119,1.371
1120,1.22
1121,1.819
1122,1.563
1123,0.945
1124,1.069
1125,1.32
1126,0.194
1127,0.833
1128,1.115
1129,1.225
1130,1.721
1131,1.295
1132,1.028
1133,0.956
1134,0.941
1135,0.987
1136,1.215
1137,1.123
1138,1.044
1139,1.354
1140,1.065
1141,0.946
1142,1.429
1143,0.969
1144,0.826
1145,0.884
1146,1.091
1147,1.069
1148,0.99
1149,1.199
1150,0.809
1151,0.91
1152,0.86
1153,0.855
1154,1.268
1155,1.13
1156,0.881
1157,0.81
1158,0.731
1159,0.687
1160,1.042
1161,0.771
1162,0.832
1163,0.975
1164,0.735
1165,1.345
1166,1.245
1167,1.211
1168,0.992
1169,1.227
1170,1.172
1171,1.052
1172,0.659
1173,0.913
1174,0.565
1175,0.717
1176,0.403
1177,0.67
1178,0.812
1179,0.772
1180,0.444
1181,0.992
1182,1.071
1183,0.643
1184,0.932
1185,1.322
1186,1.23
1187,0.825
1188,0.994
1189,0.587
1190,0.835
1191,0.934
1192,1.031
1193,1.001
1194,1.018
1195,1.528
1196,1.135
1197,0.93
1198,0.886
1199,1.053
1200,1.496
1201,1.044
1202,1.143
1203,0.938
1204,1.074
1205,0.899
1206,0.816
1207,1.144
1208,0.468
1209,1.212
1210,0.557
1211,0.56
1212,1.215
1213,0.605
1214,1.183
1215,0.908
1216,0.885
1217,0.849
1218,0.655
1219,0.87
1220,0.98
1221,1.185
1222,0.644
1223,0.705
1224,0.918
1225,1.088
1226,1.067
1227,0.793
1228,0.874
1229,1.031
1230,0.977
1231,0.459
1232,0.6
1233,0.998
1234,0.914
1235,0.935
1236,0.813
1237,0.46
1238,0.834
1239,0.774
1240,0.915
1241,1.157
1242,0.792
1243,0.625
1244,0.744
1245,0.816
1246,1.054
1247,0.791
1248,0.584
1249,0.918
1250,0.566
1251,0.867
1252,1.133
1253,1.138
1254,0.538
1255,0.935
1256,1.067
1257,0.746
1258,0.811
1259,1.309
1260,0.976
1261,0.878
1262,0.886
1263,0.593
1264,0.472
1265,0.677
1266,0.98
1267,1.005
1268,0.998
1269,0.966
1270,1.28
1271,0.963
1272,0.932
1273,0.877
1274,1.063
1275,0.731
1276,0.474
1277,1.353
1278,0.819
1279,1.093
