year,rwi
1820,0.864
1821,0.933
1822,1.073
1823,1.095
1824,1.358
1825,1.154
1826,0.887
1827,1.473
1828,1.109
1829,1.212
1830,1.106
1831,0.88
1832,1.248
1833,1.826
1834,1.395
1835,1.493
1836,1.164
1837,1.478
1838,1.614
1839,1.62
1840,1.287
1841,0.998
1842,1.252
1843,1.33
1844,1.493
1845,1.359
1846,1.66
1847,1.72
1848,1.444
1849,0.753
1850,1.26
1851,1.207
1852,0.777
1853,0.711
1854,0.603
1855,0.199
1856,0.375
1857,0.642
1858,0.927
1859,0.794
1860,1.162
1861,1.33
1862,1.133
1863,1.088
1864,1.128
1865,1.484
1866,1.003
1867,1.013
1868,1.082
1869,1.432
1870,0.933
1871,1.04
1872,1.055
1873,1.269
1874,1.686
1875,1.423
1876,1.226
1877,0.974
1878,0.908
1879,0.977
1880,1.078
1881,0.619
1882,0.721
1883,0.605
1884,0.492
1885,0.81
1886,1.212
1887,1.346
1888,1.105
1889,1.415
1890,1.007
1891,1.043
1892,1.589
1893,1.565
1894,1.772
1895,0.974
1896,1.354
1897,1.997
1898,1.81
1899,0.989
1900,1.031
1901,1.611
1902,1.75
1903,1.296
1904,1.991
1905,2.001
1906,2.545
1907,2.056
1908,1.573
1909,1.631
1910,1.608
1911,1.259
1912,1.364
1913,1.526
1914,1.197
1915,1.546
1916,2.007
1917,1.974
1918,1.818
1919,1.849
1920,1.446
1921,1.706
1922,1.924
1923,1.279
1924,1.599
1925,1.82
1926,1.864
1927,2.061
1928,1.938
1929,2.042
1930,1.65
1931,1.458
1932,1.474
1933,1.243
1934,0.983
1935,1.152
1936,1.211
1937,0.884
1938,1.019
1939,1.077
1940,0.978
1941,0.52
1942,0.672
1943,0.991
1944,1.04
1945,1.31
1946,1.32
1947,1.758
1948,1.357
1949,0.797
1950,0.817
1951,1.273
1952,1.334
1953,0.698
1954,1.145
1955,1.574
1956,1.092
1957,1.344
1958,1.247
1959,1.114
1960,0.888
1961,1.257
1962,1.236
1963,0.9
1964,0.889
1965,0.663
1966,0.938
1967,1.003
1968,1.054
1969,1.055
1970,0.895
1971,0.929
1972,1.291
1973,1.159
1974,0.86
1975,0.956
1976,1.069
1977,1.163
1978,1.032
1979,0.698
1980,0.956
1981,0.557
1982,1.061
1983,1.005
1984,0.64
1985,0.723
1986,0.722
1987,0.676
1988,0.783
1989,0.658
1990,0.785
1991,0.686
1992,0.71
1993,0.838
1994,0.811
1995,0.48
1996,0.549
1997,0.689
1998,0.411
1999,0.331
2000,0.48
2001,0.569
