year,rwi
1705,1.02
1706,0.29
1707,0.41
1708,0.37
1709,0.62
1710,0.64
1711,0.96
1712,1.06
1713,0.63
1714,0.41
1715,0.4
1716,0.26
1717,0.39
1718,0.51
1719,0.58
1720,0.66
1721,0.8
1722,0.44
1723,0.68
1724,0.42
1725,0.46
1726,0.89
1727,0.8
1728,0.81
1729,1.25
1730,0.62
1731,1.23
1732,0.58
1733,1.37
1734,1.495
1735,0.811
1736,0.406
1737,0.466
1738,0.576
1739,0.705
1740,0.94
1741,1.125
1742,0.652
1743,0.64
1744,0.505
1745,0.654
1746,0.602
1747,0.68
1748,0.631
1749,0.657
1750,1.133
1751,1.156
1752,0.829
1753,0.72
1754,0.54
1755,0.285
1756,0.405
1757,0.529
1758,0.743
1759,0.522
1760,0.988
1761,0.683
1762,0.751
1763,1.208
1764,0.916
1765,0.832
1766,0.981
1767,0.69
1768,0.535
1769,0.879
1770,0.62
1771,0.762
1772,0.32
1773,0.608
1774,0.953
1775,0.856
1776,0.935
1777,0.921
1778,0.877
1779,0.54
1780,0.798
1781,1.174
1782,0.974
1783,0.945
1784,0.739
1785,0.642
1786,0.406
1787,0.807
1788,0.95
1789,0.825
1790,0.786
1791,0.705
1792,0.636
1793,0.917
1794,0.759
1795,0.901
1796,1.002
1797,0.714
1798,0.674
1799,1.123
1800,0.813
1801,0.572
1802,0.931
1803,1.415
1804,1.157
1805,0.826
1806,0.697
1807,0.993
1808,0.729
1809,1.237
1810,1.056
1811,1.196
1812,0.959
1813,1.025
1814,0.972
1815,1.248
1816,0.919
1817,1.657
1818,1.256
1819,1.141
1820,0.877
1821,0.95
1822,0.745
1823,0.963
1824,0.631
1825,1.049
1826,1.349
1827,1.049
1828,0.92
1829,0.731
1830,0.85
1831,0.808
1832,0.767
1833,1.214
1834,0.902
1835,0.92
1836,1.422
1837,1.038
1838,1.032
1839,0.84
1840,1.092
1841,0.861
1842,0.658
1843,1.024
1844,1.004
1845,0.848
1846,0.983
1847,0.916
1848,0.894
1849,0.859
1850,0.821
1851,0.843
1852,0.841
1853,0.866
1854,1.001
1855,0.43
1856,0.673
1857,0.708
1858,0.783
1859,0.595
1860,0.676
1861,0.558
1862,0.543
1863,0.505
1864,0.536
1865,0.677
1866,0.724
1867,0.719
1868,0.721
1869,0.808
1870,0.848
1871,0.759
1872,0.697
1873,1.086
1874,0.638
1875,0.77
1876,0.927
1877,0.793
1878,0.689
1879,0.542
1880,0.628
1881,0.67
1882,0.752
1883,0.707
1884,0.697
1885,0.699
1886,0.503
1887,0.477
1888,0.704
1889,0.503
1890,0.748
1891,0.799
1892,0.796
1893,0.65
1894,0.655
1895,0.417
1896,0.635
1897,0.836
1898,0.783
1899,0.785
1900,0.579
1901,0.542
1902,0.64
1903,0.712
1904,0.657
1905,0.687
1906,0.794
1907,0.939
1908,0.953
1909,0.739
1910,0.622
1911,0.477
1912,0.847
1913,0.683
1914,0.713
1915,0.993
1916,0.81
1917,0.633
1918,0.348
1919,0.784
1920,0.861
1921,0.918
1922,0.617
1923,0.722
1924,0.753
1925,0.45
1926,0.637
1927,0.662
1928,0.836
1929,0.736
1930,0.73
1931,0.71
1932,0.766
1933,0.722
1934,0.628
1935,0.744
1936,0.574
1937,0.595
1938,0.645
1939,0.518
1940,0.609
1941,0.668
1942,0.721
1943,0.682
1944,0.703
1945,0.758
1946,0.719
1947,0.796
1948,0.74
1949,0.73
1950,0.828
1951,0.854
1952,0.635
1953,0.571
1954,0.982
1955,0.823
1956,0.612
1957,0.651
1958,0.887
1959,0.67
1960,0.836
1961,0.797
1962,0.965
1963,0.782
1964,0.749
1965,0.913
1966,0.667
1967,0.945
1968,1.11
1969,0.893
1970,0.833
1971,0.767
1972,0.835
1973,1.033
1974,1.029
