year,rwi
1691,0.847
1692,0.565
1693,0.338
1694,0.331
1695,0.476
1696,0.42
1697,0.379
1698,0.4
1699,0.201
1700,0.76
1701,0.416
1702,0.419
1703,0.416
1704,0.301
1705,0.192
1706,0.625
1707,0.79
1708,0.341
1709,0.509
1710,0.547
1711,1.031
1712,2
1713,1.106
1714,0.451
1715,0.285
1716,0.691
1717,0.271
1718,0.529
1719,0.496
1720,0.331
1721,0.402
1722,0.465
1723,0.878
1724,1.363
1725,1.664
1726,0.853
1727,1.114
1728,0.367
1729,0.3
1730,0.437
1731,0.693
1732,0.809
1733,1.195
1734,1.435
1735,1.371
1736,0.491
1737,0.572
1738,0.564
1739,0.755
1740,1.058
1741,1.346
1742,1.164
1743,1.201
1744,1.179
1745,0.866
1746,1.125
1747,1.136
1748,0.77
1749,0.634
1750,0.74
1751,0.56
1752,0.58
1753,0.386
1754,0.486
1755,0.736
1756,0.836
1757,0.458
1758,0.723
1759,0.783
1760,0.855
1761,0.765
1762,0.554
1763,0.44
1764,0.939
1765,0.689
1766,0.685
1767,0.36
1768,0.501
1769,0.594
1770,0.718
1771,0.58
1772,0.325
1773,0.466
1774,0.446
1775,0.555
1776,1.19
1777,0.923
1778,0.75
1779,0.604
1780,0.45
1781,0.94
1782,1.044
1783,0.841
1784,0.777
1785,0.727
1786,0.512
1787,0.827
1788,0.632
1789,0.701
1790,0.541
1791,0.516
1792,0.807
1793,0.852
1794,0.641
1795,0.603
1796,0.73
1797,0.621
1798,0.425
1799,0.656
1800,0.534
1801,0.37
1802,0.532
1803,0.768
1804,0.762
1805,0.706
1806,0.617
1807,0.654
1808,0.661
1809,0.714
1810,0.705
1811,1.091
1812,0.648
1813,0.903
1814,0.979
1815,0.962
1816,0.673
1817,0.682
1818,0.58
1819,0.804
1820,0.671
1821,0.65
1822,0.562
1823,0.666
1824,0.488
1825,0.648
1826,1.134
1827,1.064
1828,0.831
1829,0.493
1830,0.687
1831,0.517
1832,0.363
1833,0.595
1834,0.48
1835,0.53
1836,0.738
1837,0.673
1838,0.59
1839,0.537
1840,0.671
1841,0.472
1842,0.582
1843,0.617
1844,0.646
1845,0.524
1846,0.556
1847,0.495
1848,0.548
1849,0.636
1850,0.463
1851,0.368
1852,0.54
1853,0.651
1854,0.697
1855,0.269
1856,0.467
1857,0.559
1858,0.812
1859,0.475
1860,0.612
1861,0.68
1862,0.381
1863,0.385
1864,0.443
1865,0.539
1866,0.84
1867,0.605
1868,0.776
1869,1.01
1870,0.8
1871,0.723
1872,0.681
1873,0.751
1874,0.469
1875,0.544
1876,0.758
1877,0.598
1878,0.83
1879,0.464
1880,0.432
1881,0.518
1882,0.598
1883,0.766
1884,0.666
1885,0.683
1886,0.46
1887,0.623
1888,0.63
1889,0.586
1890,0.546
1891,0.691
1892,0.796
1893,0.803
1894,0.592
1895,0.612
1896,0.707
1897,0.6
1898,0.611
1899,0.491
1900,0.399
1901,0.376
1902,0.492
1903,0.545
1904,0.528
1905,0.554
1906,0.577
1907,0.597
1908,0.955
1909,0.759
1910,0.539
1911,0.376
1912,0.658
1913,0.525
1914,0.578
1915,0.923
1916,0.697
1917,0.528
1918,0.456
1919,0.787
1920,0.674
1921,0.824
1922,0.756
1923,0.964
1924,0.623
1925,0.603
1926,0.577
1927,0.749
1928,0.817
1929,1.007
1930,0.757
1931,0.623
1932,0.646
1933,0.661
1934,0.569
1935,0.777
1936,0.499
1937,0.639
1938,0.918
1939,0.632
1940,0.482
1941,0.854
1942,0.865
1943,0.87
1944,0.858
1945,0.934
1946,0.928
1947,0.811
1948,0.704
1949,0.999
1950,0.771
1951,0.846
1952,0.636
1953,0.521
1954,0.651
1955,0.489
1956,0.552
1957,0.62
1958,0.713
1959,0.835
1960,0.961
1961,0.738
1962,0.798
1963,0.694
1964,0.677
1965,0.658
1966,0.572
1967,0.583
1968,0.722
1969,0.833
1970,0.848
1971,0.853
1972,0.66
1973,1.031
1974,0.909
1975,1.159
1976,0.85
1977,0.778
1978,0.848
1979,0.78
1980,0.78
1981,0.744
1982,0.883
1983,0.789
1984,0.72
1985,0.896
1986,0.867
1987,0.81
1988,0.572
1989,0.863
1990,0.665
1991,0.655
1992,0.825
1993,0.912
1994,0.688
1995,0.792
1996,0.586
1997,0.579
1998,0.645
1999,0.799
2000,0.737
2001,0.649
2002,0.729
2003,0.602
2004,0.637
2005,0.71
2006,0.499
2007,0.626
2008,0.577
