year,rwi
830,0.742
831,0.328
832,0.842
833,1.251
834,0.536
835,1.303
836,0.896
837,0.825
838,0.961
839,0.858
840,0.184
841,1.129
842,1.171
843,1.103
844,1.315
845,1.082
846,1.142
847,1.338
848,1.044
849,1.107
850,0.293
851,0.843
852,0.821
853,0.448
854,1.374
855,0.969
856,0.95
857,1.111
858,0.562
859,0.394
860,0.806
861,0.544
862,0.975
863,0.883
864,0.85
865,0.609
866,0.354
867,0.646
868,0.331
869,0.575
870,1.021
871,0.35
872,0.287
873,0.64
874,1.303
875,1.438
876,1.377
877,1.863
878,1.212
879,1.476
880,1.225
881,0.971
882,1.149
883,0.972
884,1.212
885,1.261
886,1.853
887,1.723
888,1.669
889,0.959
890,0.704
891,1.143
892,1.71
893,0.852
894,1.466
895,1.295
896,0.847
897,1.702
898,0.619
899,1.19
900,0.194
901,1.142
902,1.092
903,1.661
904,1.198
905,1.496
906,0.988
907,0.861
908,0.427
909,1.171
910,1.349
911,1.215
912,1.55
913,0.787
914,1.591
915,0.072
916,1.762
917,0.988
918,1.164
919,1.178
920,1.452
921,0.986
922,0.568
923,0.641
924,1.17
925,1.822
926,2.127
927,1.157
928,0.714
929,1.235
930,0.152
931,0.522
932,0.689
933,0.746
934,0.488
935,1.332
936,1.863
937,1.446
938,1.754
939,0.853
940,1.18
941,1.04
942,0.368
943,1.117
944,1.4
945,1.6
946,1.525
947,0.674
948,1.455
949,1.195
950,0.992
951,1.243
952,0.804
953,0.421
954,0.358
955,0.706
956,0.953
957,0.268
958,1.238
959,0.86
960,1.093
961,1.113
962,0.732
963,0.289
964,0.325
965,0.414
966,0.733
967,0.482
968,1.065
969,1.137
970,1.192
971,1.629
972,1.495
973,1.261
974,2.136
975,2.384
976,1.396
977,0.512
978,0.42
979,0.216
980,0.754
981,1.111
982,1.114
983,0.448
984,0.32
985,0.786
986,0.012
987,0.811
988,1.126
989,0.468
990,0.028
991,1.29
992,0.252
993,1.768
994,1.79
995,0.986
996,0.405
997,1.327
998,0.772
999,0.844
1000,1.369
1001,1.451
1002,0.973
1003,0.674
1004,1.183
1005,1.306
1006,1.427
1007,1.202
1008,1.616
1009,1.802
1010,1.058
1011,1.141
1012,0.125
1013,1.047
1014,1.036
1015,1.043
1016,0.743
1017,1.186
1018,0.678
1019,0.85
1020,0.817
1021,0.938
1022,1.339
1023,0.797
1024,0.658
1025,0.748
1026,1.144
1027,1.262
1028,0.843
1029,0.869
1030,0.621
1031,1.09
1032,1.018
1033,1.016
1034,1.182
1035,0.943
1036,1.687
1037,0.767
1038,0.407
1039,0.553
1040,0.485
1041,0.599
1042,1.112
1043,0.537
1044,0.949
1045,0.989
1046,1.115
1047,1.255
1048,1.282
1049,1.478
1050,1.273
1051,0.993
1052,0.534
1053,1.034
1054,1.155
1055,0.243
1056,0.78
1057,1.114
1058,0.357
1059,0.136
1060,0.688
1061,0.885
1062,0.833
1063,1.193
1064,1.623
1065,0.852
1066,1.482
1067,1.217
1068,1.401
1069,0.447
1070,0.21
1071,0.475
1072,0.028
1073,0.995
1074,0.999
1075,0.07
1076,1.128
1077,0.94
1078,0.507
1079,1.337
1080,1.169
1081,1.058
1082,1.298
1083,0.45
1084,1.125
1085,0.699
1086,0.662
1087,1.181
1088,0.964
1089,1.51
1090,0.332
1091,1.313
1092,1.021
1093,1.088
1094,0.757
1095,0.75
1096,1.071
1097,0.796
1098,0.569
1099,0.668
1100,0.981
1101,1.155
1102,0.219
1103,0.185
1104,0.85
1105,1.32
1106,0.849
1107,1.192
1108,1.823
1109,1.349
1110,1.708
1111,1.676
1112,1.512
1113,1.622
1114,0.633
1115,0.541
1116,1.298
1117,1.103
1118,0.821
1119,1.683
1120,1.335
1121,1.082
1122,1.588
1123,0.5
1124,0.712
1125,1.274
1126,0.003
1127,1.45
1128,1.239
1129,1.586
1130,1.063
1131,0.695
1132,0.937
1133,0.9
1134,1.192
1135,0.475
1136,1.003
1137,1.11
1138,1.357
1139,0.863
1140,0.157
1141,0.944
1142,0.008
1143,0.842
1144,0.488
1145,0.757
1146,0.31
1147,1.314
1148,0.326
1149,0.972
1150,0.975
1151,1.216
1152,1.584
1153,2.196
1154,1.037
1155,0.278
1156,1.331
1157,1.172
1158,0.419
1159,0.994
1160,1.095
1161,0.407
1162,1.071
1163,1.118
1164,0.776
1165,1.377
1166,1.207
1167,1.093
1168,0.768
1169,1.341
1170,0.69
1171,1.499
1172,0.921
1173,1.024
1174,0.018
1175,0.439
1176,1.145
1177,0.97
1178,1.777
1179,1.157
1180,1.386
1181,1.422
1182,1.299
1183,0.062
1184,1.324
1185,0.903
1186,0.725
1187,0.941
1188,1.292
1189,0.476
1190,1.279
1191,0.917
1192,1.312
1193,0.933
1194,0.924
1195,1.979
1196,1.87
1197,1.441
1198,1.025
1199,0.478
1200,1.362
1201,0.468
1202,1.745
1203,1.227
1204,1.388
1205,1.252
1206,0.151
1207,0.515
1208,0.933
1209,1.261
1210,0.994
1211,0.581
1212,0.396
1213,0.236
1214,1.12
1215,1.463
1216,1.848
1217,0.072
1218,1.618
1219,1.168
1220,1.147
1221,1.195
1222,0.834
1223,0.327
1224,1.539
1225,0.751
1226,0.705
1227,0.479
1228,0.821
1229,0.909
1230,1.413
1231,1.07
1232,0.941
1233,0.539
1234,0.304
1235,0.767
1236,0.463
1237,0.222
1238,0.283
1239,0.573
1240,0.979
1241,1.143
1242,1.324
1243,1.306
1244,1.56
1245,0.572
1246,1.555
1247,1.532
1248,1.011
1249,1.5
1250,0.704
1251,1.406
1252,1.721
1253,1.231
1254,0.59
1255,1.208
1256,0.808
1257,0.811
1258,0.771
1259,1.076
1260,0.443
1261,0.927
1262,1.746
1263,1.574
1264,0.343
1265,2.296
1266,1.659
1267,1.142
1268,1.096
1269,1.147
1270,1.904
1271,0.557
1272,0.398
1273,0.111
1274,0.924
1275,0.669
1276,0.965
1277,0.992
1278,0.736
1279,0.127
1280,1.114
1281,1.278
1282,1.414
1283,0.295
1284,1.743
1285,1.113
1286,0.902
1287,1.625
1288,1.617
1289,1.652
1290,1.214
1291,1.337
1292,0.763
1293,0.902
1294,1.231
1295,1.182
1296,0.148
1297,0.756
1298,1.279
1299,0.337
1300,0.507
1301,0.719
1302,1.018
1303,1.289
1304,0.091
1305,1.402
1306,0.362
1307,0.862
1308,1.355
1309,0.547
1310,0.931
1311,1.374
1312,0.859
1313,1.009
