year,rwi
1891,0.92
1892,1.35
1893,2.105
1894,1.904
1895,1.807
1896,2.282
1897,2.427
1898,2.633
1899,2.01
1900,1.782
1901,2.513
1902,2.492
1903,2.543
1904,2.496
1905,2.404
1906,2.441
1907,1.461
1908,1.566
1909,1.352
1910,1.634
1911,1.275
1912,1.347
1913,1.337
1914,1.71
1915,2.001
1916,1.78
1917,1.702
1918,1.665
1919,1.551
1920,1.824
1921,1.53
1922,1.744
1923,0.956
1924,1.237
1925,1.806
1926,1.43
1927,2.143
1928,2.174
1929,1.396
1930,1.47
1931,1.54
1932,1.497
1933,1.819
1934,0.9
1935,1.823
1936,0.977
1937,1.411
1938,1.435
1939,0.881
1940,0.774
1941,1.218
1942,1.32
1943,1.236
1944,0.867
1945,1.233
1946,1.507
1947,1.52
1948,1.107
1949,0.85
1950,0.752
1951,0.895
1952,0.829
1953,0.786
1954,0.756
1955,0.655
1956,0.631
1957,0.746
1958,0.917
1959,0.932
1960,0.617
1961,1.05
1962,0.602
1963,0.671
1964,0.81
1965,0.673
1966,0.756
1967,0.881
1968,0.686
1969,0.952
1970,0.948
1971,0.802
1972,0.767
