year,rwi
1609,0.696
1610,1.042
1611,1.084
1612,1.053
1613,0.977
1614,0.748
1615,0.853
1616,1.279
1617,0.86
1618,0.937
1619,1.325
1620,0.874
1621,0.942
1622,1.255
1623,1.011
1624,0.82
1625,0.615
1626,0.65
1627,0.876
1628,0.967
1629,0.699
1630,0.825
1631,0.733
1632,0.99
1633,0.692
1634,0.855
1635,0.865
1636,1.197
1637,1.501
1638,1.291
1639,1.468
1640,1.106
1641,1.338
1642,1.041
1643,1.231
1644,1.088
1645,0.784
1646,0.898
1647,1.188
1648,1.167
1649,0.966
1650,1.028
1651,1.206
1652,1.305
1653,1.16
1654,1.093
1655,0.814
1656,1.214
1657,1.089
1658,1.163
1659,1.316
1660,1.306
1661,1.124
1662,1.132
1663,0.972
1664,1.169
1665,1.21
1666,1.291
1667,1.123
1668,0.687
1669,0.72
1670,0.575
1671,0.793
1672,0.75
1673,0.96
1674,1.016
1675,0.911
1676,0.947
1677,1.205
1678,0.905
1679,0.938
1680,0.967
1681,0.748
1682,0.827
1683,0.811
1684,1.03
1685,0.882
1686,1.033
1687,0.968
1688,1.012
1689,0.93
1690,1.075
1691,0.919
1692,1.073
1693,1.413
1694,1.209
1695,1.415
1696,1.228
1697,1.03
1698,0.867
1699,0.865
1700,0.861
1701,0.977
1702,0.921
1703,1.04
1704,1.134
1705,1.225
1706,1.244
1707,1.02
1708,0.934
1709,0.741
1710,0.762
1711,0.712
1712,0.864
1713,0.801
1714,0.897
1715,0.906
1716,0.868
1717,0.958
1718,1.068
1719,0.909
1720,0.928
1721,0.904
1722,1.242
1723,0.985
1724,0.965
1725,1.256
1726,1.094
1727,1.139
1728,1.028
1729,1.046
1730,1.278
1731,1.168
1732,1.027
1733,0.818
1734,0.882
1735,0.769
1736,0.854
1737,0.726
1738,0.779
1739,0.743
1740,0.852
1741,0.835
1742,0.876
1743,1.108
1744,1.11
1745,0.981
1746,0.961
1747,0.989
1748,1.057
1749,0.984
1750,1.065
1751,1.084
1752,1.188
1753,1.092
1754,1.407
1755,1.007
1756,1.117
1757,1.093
1758,0.963
1759,1.116
1760,1.047
1761,0.913
1762,0.81
1763,0.696
1764,0.755
1765,0.871
1766,0.979
1767,0.819
1768,0.953
1769,1.154
1770,0.928
1771,1.241
1772,1.14
1773,1.205
1774,1.031
1775,1.43
1776,1.416
1777,1.26
1778,1.175
1779,0.945
1780,1.082
1781,1.126
1782,1.277
1783,1.017
1784,0.927
1785,0.982
1786,1.116
1787,1.022
1788,1.056
1789,1.135
1790,1.01
1791,1.118
1792,0.794
1793,0.84
1794,0.679
1795,0.682
1796,0.664
1797,0.812
1798,0.835
1799,0.821
1800,0.754
1801,0.897
1802,0.849
1803,0.746
1804,0.59
1805,0.635
1806,0.734
1807,0.758
1808,1.101
1809,0.993
1810,1.047
1811,0.973
1812,1.053
1813,1.084
1814,0.913
1815,1.16
1816,1.026
1817,1.024
1818,0.908
1819,0.624
1820,0.809
1821,0.956
1822,0.968
1823,1.058
1824,1.106
1825,1.122
1826,1.041
1827,1.066
1828,1.177
1829,1.015
1830,1.24
1831,1.478
1832,1.484
1833,1.306
1834,1.361
1835,1.183
1836,0.943
1837,0.806
1838,0.95
1839,0.631
1840,0.837
1841,0.832
1842,0.822
1843,0.944
1844,0.684
1845,0.678
1846,0.724
1847,0.925
1848,0.973
1849,0.906
1850,0.953
1851,1.071
1852,1.178
1853,1.107
1854,1.177
1855,1.081
1856,0.943
1857,1.127
1858,1.165
1859,1.105
1860,1.159
1861,1.361
1862,1.082
1863,0.891
1864,0.884
1865,0.798
1866,0.785
1867,0.83
1868,1.095
1869,1.116
1870,1.074
1871,1.115
1872,0.974
1873,0.883
1874,0.788
1875,0.789
1876,0.888
1877,0.797
1878,0.843
1879,0.914
1880,0.952
1881,0.956
1882,1.003
1883,1.019
1884,1.053
1885,0.867
1886,0.909
1887,0.906
1888,0.787
1889,1.062
1890,0.917
1891,0.906
1892,1.015
1893,1.011
1894,1.096
1895,0.849
1896,0.875
1897,1.171
1898,1.081
1899,1.029
1900,0.884
1901,0.813
1902,1.092
1903,1.324
1904,1.376
1905,1.27
1906,1.162
1907,1.076
1908,1.342
1909,1.089
1910,0.996
1911,0.993
1912,0.947
1913,1.149
1914,0.96
1915,0.994
1916,1.295
1917,1.362
1918,1.342
1919,1.216
1920,1.374
1921,1.602
1922,1.319
1923,1.254
1924,0.865
1925,1.488
1926,0.972
1927,0.95
1928,1.09
1929,1.192
1930,0.961
1931,0.825
1932,0.715
1933,0.789
1934,0.816
1935,1.039
1936,0.897
1937,0.779
1938,1.068
1939,1.262
1940,0.859
1941,1.031
1942,0.956
1943,1.261
1944,0.905
1945,0.924
1946,1.115
1947,1.153
1948,1.263
1949,1.146
1950,0.981
1951,1.282
1952,0.91
1953,0.865
1954,0.839
1955,0.917
1956,1.012
1957,1.073
1958,0.816
1959,1.058
1960,0.633
1961,0.936
1962,0.821
1963,0.837
1964,0.979
1965,0.827
1966,0.924
1967,1.027
1968,0.99
1969,0.912
1970,0.854
1971,1.001
1972,0.625
1973,0.63
1974,0.763
1975,1.097
1976,1.169
1977,1.132
1978,0.853
1979,0.933
1980,1.007
1981,1.089
