year,rwi
1260,0.742
1261,0.29
1262,0.428
1263,0.419
1264,0.462
1265,0.918
1266,0.392
1267,0.66
1268,1.173
1269,1.797
1270,1.353
1271,0.863
1272,0.751
1273,0.668
1274,1.024
1275,0.533
1276,0.741
1277,0.74
1278,0.741
1279,1.017
1280,1.167
1281,1.32
1282,1.104
1283,1.547
1284,0.834
1285,1.16
1286,0.82
1287,1.061
1288,0.567
1289,1.372
1290,0.924
1291,1.048
1292,0.699
1293,0.876
1294,0.762
1295,0.901
1296,0.783
1297,0.974
1298,1.004
1299,0.671
1300,1.11
1301,0.804
1302,0.958
1303,0.848
1304,1.34
1305,1.361
1306,1.547
1307,1.179
1308,1.22
1309,1.312
1310,1.053
1311,1.241
1312,1.101
1313,1.237
1314,1.561
1315,1.11
1316,1.387
1317,1.194
1318,0.859
1319,1.066
1320,0.822
1321,1.059
1322,1.294
1323,1.06
1324,1.13
1325,1.019
1326,0.892
1327,0.916
1328,0.954
1329,1.027
1330,1.167
1331,0.979
1332,0.981
1333,1.047
1334,1.024
1335,1.089
1336,1.054
1337,1.098
1338,1.133
1339,1.283
1340,1.067
1341,1.127
1342,1.157
1343,1.114
1344,0.966
1345,1.235
1346,1.399
1347,1.282
1348,1.166
1349,1.029
1350,0.925
1351,1.064
1352,1.027
1353,1.051
1354,0.889
1355,1.005
1356,1.151
1357,0.831
1358,0.846
1359,0.798
1360,0.82
1361,0.828
1362,0.812
1363,0.957
1364,0.936
1365,0.972
1366,0.944
1367,0.908
1368,1.03
1369,0.807
1370,0.7
1371,0.752
1372,0.884
1373,0.951
1374,1.183
1375,1.206
1376,1.12
1377,1.052
1378,1.044
1379,1.089
1380,1.012
1381,1.172
1382,0.805
1383,0.675
1384,0.84
1385,1.011
1386,1.052
1387,0.898
1388,0.988
1389,0.918
1390,0.903
1391,0.855
1392,1.077
1393,0.902
1394,1.46
1395,1.11
1396,1.227
1397,0.968
1398,0.927
1399,0.587
1400,0.81
1401,0.61
1402,0.899
1403,0.917
1404,0.872
1405,0.842
1406,0.863
1407,0.912
1408,0.846
1409,0.76
1410,0.823
1411,0.815
1412,0.955
1413,0.915
1414,0.913
1415,1.012
1416,1.062
1417,1.171
1418,0.968
1419,1.172
1420,1.053
1421,1.193
1422,1.011
1423,0.944
1424,1.167
1425,0.976
1426,0.969
1427,0.912
1428,0.914
1429,0.819
1430,0.822
1431,1.2
1432,1.105
1433,1.284
1434,1.019
1435,1.056
1436,1.288
1437,1.029
1438,1.299
1439,1.225
1440,1.503
1441,1.245
1442,0.789
1443,1.261
1444,1.008
1445,1.048
1446,1.025
1447,1.123
1448,1.065
1449,1.088
1450,1.236
1451,1.322
1452,1.166
1453,1.374
1454,0.908
1455,0.793
1456,0.827
1457,0.966
1458,0.904
1459,0.943
1460,1.19
1461,1.004
1462,0.806
1463,0.871
1464,0.818
1465,0.802
1466,0.781
1467,0.906
1468,1.004
1469,0.928
1470,0.798
1471,0.673
1472,0.701
1473,0.78
1474,0.659
1475,0.752
1476,0.956
1477,1.079
1478,1.202
1479,0.885
1480,0.992
1481,0.975
1482,0.917
1483,0.565
1484,0.766
1485,0.688
1486,0.827
1487,0.978
1488,0.975
1489,0.681
1490,0.829
1491,0.76
1492,0.758
1493,1
1494,1.114
1495,0.75
1496,0.924
1497,0.882
1498,0.897
1499,0.837
1500,0.89
1501,0.721
1502,0.832
1503,0.919
1504,0.814
1505,0.739
1506,0.8
1507,0.957
1508,0.987
1509,0.987
1510,1.017
1511,1.134
1512,1.214
1513,1.196
1514,0.983
1515,1.066
1516,1.003
1517,1.294
1518,0.928
1519,1.013
1520,0.896
1521,0.804
1522,1.049
1523,1.137
1524,0.859
1525,1.111
1526,1.142
1527,1.245
1528,1.079
1529,1.1
1530,1.067
1531,1.043
1532,0.835
1533,0.976
1534,0.869
1535,0.862
1536,0.759
1537,0.878
1538,0.879
1539,0.996
1540,0.774
1541,0.914
1542,1.035
1543,1.103
1544,1.005
1545,1.104
1546,0.89
1547,0.945
1548,0.946
1549,0.635
1550,0.897
1551,1.006
1552,0.764
1553,0.961
1554,0.87
1555,1.142
1556,0.987
1557,1.176
1558,1.06
1559,1.111
1560,1.214
1561,0.904
1562,1.003
1563,1.085
1564,0.986
1565,1.084
1566,1.056
1567,0.933
1568,0.984
1569,1.218
1570,1.056
1571,0.992
1572,0.996
1573,1.059
1574,0.985
1575,0.921
1576,0.773
1577,1.046
1578,0.856
1579,1.048
1580,0.819
1581,0.995
1582,0.752
1583,0.854
1584,1.011
1585,1.061
1586,0.921
1587,1.075
1588,0.813
1589,1.061
1590,0.842
1591,0.863
1592,0.895
1593,0.86
1594,1.027
1595,0.787
1596,0.797
1597,1.004
1598,0.807
1599,0.912
1600,0.965
1601,1.04
1602,0.988
1603,0.691
1604,0.956
1605,0.896
1606,1.205
1607,0.974
1608,0.832
1609,0.876
1610,0.921
1611,0.861
1612,0.994
1613,0.938
1614,0.931
1615,0.816
1616,0.87
1617,0.833
1618,0.92
1619,0.672
1620,0.969
1621,0.922
1622,0.828
1623,1.027
1624,0.675
1625,0.702
1626,0.755
1627,0.812
1628,0.965
1629,0.883
1630,0.806
1631,0.898
1632,1.233
1633,1.092
1634,1.038
1635,0.859
1636,0.812
1637,0.946
1638,0.886
1639,1.001
1640,0.877
1641,0.996
1642,0.908
1643,1.097
1644,0.961
1645,0.765
1646,0.794
1647,0.918
1648,0.767
1649,0.995
1650,0.827
1651,1.003
1652,0.766
1653,0.926
1654,0.723
1655,0.941
1656,1.152
1657,0.861
1658,0.93
1659,0.929
1660,1.085
1661,1.43
1662,1.096
1663,1.193
1664,1.022
1665,1.038
1666,0.878
1667,0.94
1668,1.121
1669,0.963
1670,0.822
1671,1.192
1672,1.128
1673,0.992
1674,0.862
1675,1.093
1676,0.934
1677,0.875
1678,0.885
1679,1.015
1680,1.094
1681,1.026
1682,1.095
1683,0.824
1684,0.892
1685,0.897
1686,1.162
1687,1.315
1688,1.337
1689,1.112
1690,1.204
1691,1.228
1692,1.062
1693,1.327
1694,1.044
1695,1.342
1696,1.004
1697,1.116
1698,0.823
1699,1.047
1700,1.1
1701,1.079
1702,0.815
1703,0.915
1704,0.787
1705,0.866
1706,0.971
1707,1.218
1708,0.841
1709,1.033
1710,1.032
1711,0.919
1712,0.988
1713,0.941
1714,1.138
1715,1.188
1716,1.13
1717,0.84
1718,1.104
1719,1.031
1720,1.062
1721,1.184
1722,1.087
1723,1.181
1724,0.876
1725,0.974
1726,0.701
1727,1.072
1728,0.94
1729,1.118
1730,0.982
1731,1.09
1732,1.195
1733,1.123
1734,1.17
1735,1.113
1736,1.1
1737,1.087
1738,1.205
1739,0.995
1740,1.034
1741,0.985
1742,0.837
1743,0.832
1744,1.035
1745,1.057
1746,0.937
1747,1.223
1748,1.343
1749,1.168
1750,0.996
1751,0.853
1752,0.986
1753,1.063
1754,1.011
1755,1.31
1756,1.335
1757,1.051
1758,0.861
1759,0.852
1760,0.841
1761,0.863
1762,1.055
1763,0.985
1764,1.1
1765,0.97
