year,rwi
1721,2.724
1722,1.741
1723,2.393
1724,4.378
1725,1.12
1726,1.964
1727,1.702
1728,3.166
1729,3.002
1730,1.369
1731,1.355
1732,1.276
1733,1.654
1734,1.787
1735,1.839
1736,1.806
1737,1.42
1738,0.687
1739,0.764
1740,0.73
1741,0.59
1742,1.087
1743,0.698
1744,0.701
1745,0.494
1746,0.376
1747,0.709
1748,1
1749,1.058
1750,0.996
1751,0.533
1752,0.826
1753,1.132
1754,0.858
1755,1.135
1756,1.29
1757,0.894
1758,1.014
1759,1.622
1760,1.131
1761,1.602
1762,1.912
1763,1.225
1764,1.913
1765,3.137
1766,2.495
1767,2.449
1768,2.173
1769,1.778
1770,2.327
1771,1.141
1772,0.844
1773,1.036
1774,1.066
1775,1.196
1776,1.092
1777,1.512
1778,1.477
1779,1.264
1780,0.878
1781,0.856
1782,0.548
1783,0.97
1784,0.866
1785,0.561
1786,1.216
1787,0.24
1788,0.642
1789,0.306
1790,0.785
1791,0.604
1792,0.705
1793,0.454
1794,0.457
1795,0.88
1796,0.679
1797,1.344
1798,2.421
1799,2.427
1800,2.177
1801,1.447
1802,2.073
1803,1.51
1804,0.484
1805,0.981
1806,1.643
1807,2.546
1808,1.286
1809,2.165
1810,2.135
1811,2.522
1812,2.236
1813,2.214
1814,1.498
1815,1.318
1816,0.886
1817,0.52
1818,1.024
1819,1
1820,1.707
1821,2.033
1822,1.646
1823,0.998
1824,1.083
1825,1.054
1826,2.582
1827,2.208
1828,1.354
1829,1.408
1830,1.499
1831,1.209
1832,1.284
1833,1.736
1834,2.4
1835,3.42
1836,3.118
1837,3.81
1838,3.289
1839,3.909
1840,5.261
1841,3.967
1842,3.547
1843,3.889
1844,4.082
1845,3.449
1846,4.277
1847,4.359
1848,4.275
1849,2.852
1850,2.684
1851,2.666
1852,2.516
1853,3.423
1854,2.84
1855,3.183
1856,3.304
1857,3.561
1858,3.032
1859,2.869
1860,3.02
1861,2.183
1862,2.492
1863,3.61
1864,2.587
1865,2.544
1866,3.013
1867,2.149
1868,1.916
1869,2.03
1870,3.508
1871,3.715
1872,3.33
1873,2.619
1874,3.013
1875,2.893
1876,2.298
1877,1.468
1878,1.483
1879,2.3
1880,3.411
1881,2.641
1882,3.102
1883,2.468
1884,2.211
1885,2.237
1886,1.251
1887,2.138
1888,2.737
1889,2.401
1890,2.317
1891,2.418
1892,2.847
1893,3.316
1894,3.347
1895,2.578
1896,2.962
1897,3.421
1898,3.09
1899,2.608
1900,2.352
1901,2.318
1902,2.271
1903,2.432
1904,3.152
1905,2.235
1906,2.811
1907,2.397
1908,4.265
1909,4.645
1910,2.913
1911,2.24
1912,2.019
1913,1.833
1914,1.815
1915,2.496
1916,2.59
1917,1.762
1918,1.838
1919,1.929
1920,2.109
1921,1.862
1922,2.156
1923,2.35
1924,2.566
1925,2.714
1926,1.563
1927,1.544
1928,1.557
1929,1.321
1930,1.396
1931,1.473
1932,1.86
1933,1.686
1934,2.379
1935,2.951
1936,2.417
1937,1.582
1938,1.594
1939,1.689
1940,1.506
1941,1.48
1942,1.631
1943,1.59
1944,1.937
1945,1.809
1946,2.567
1947,2.566
1948,2.218
1949,1.497
1950,1.34
1951,2
1952,1.691
1953,1.562
1954,1.468
1955,1.258
1956,1.342
1957,1.311
1958,1.066
1959,1.198
1960,1.572
1961,1.543
1962,1.434
1963,1.432
1964,1.76
1965,1.852
1966,1.451
1967,1.753
1968,1.554
1969,1.385
1970,1.14
1971,1.207
1972,0.988
1973,1.079
1974,1.557
1975,1.38
1976,1.373
1977,1.547
1978,1.309
1979,1.125
1980,1.933
1981,2.076
1982,2.391
1983,1.772
1984,2.022
1985,2.504
1986,1.944
1987,2.075
1988,2.099
1989,1.879
1990,1.232
1991,1.179
1992,1.291
1993,1.06
1994,0.87
1995,1.257
1996,1.519
1997,1.334
1998,1.752
1999,1.485
2000,1.389
2001,1.556
2002,1.33
2003,1.146
2004,1.536
2005,1.025
