year,rwi
996,2.27
997,1.08
998,0.82
999,1.68
1000,1.57
1001,1.65
1002,2.04
1003,2.36
1004,2.3
1005,2.33
1006,2.41
1007,1.4
1008,1.766
1009,1.7
1010,2.073
1011,2.319
1012,2.4
1013,2.185
1014,2.851
1015,2.191
1016,2.958
1017,2.295
1018,1.978
1019,1.926
1020,3.001
1021,3.277
1022,2.586
1023,2.088
1024,1.433
1025,1.439
1026,2.294
1027,1.771
1028,1.155
1029,1.281
1030,2.102
1031,1.888
1032,1.438
1033,1.573
1034,1.39
1035,1.661
1036,1.674
1037,1.904
1038,2.064
1039,1.555
1040,1.818
1041,1.606
1042,1.149
1043,0.796
1044,0.784
1045,1.155
1046,1.089
1047,0.98
1048,0.915
1049,0.905
1050,1.039
1051,1.131
1052,1.703
1053,1.849
1054,1.5
1055,1.112
1056,1.319
1057,1.625
1058,1.248
1059,1.468
1060,1.542
1061,1.468
1062,1.396
1063,1.936
1064,1.449
1065,1.089
1066,0.652
1067,1.302
1068,1.794
1069,1.124
1070,1.029
1071,1.306
1072,1.326
1073,0.939
1074,1.216
1075,1.145
1076,1.294
1077,1.202
1078,1.355
1079,1.183
1080,1.35
1081,1.155
1082,0.91
1083,0.854
1084,1.203
1085,1.306
1086,1.231
1087,1.433
1088,1.194
1089,1.218
1090,1.404
1091,1.154
1092,1.116
1093,1.416
1094,1.161
1095,0.935
1096,0.806
1097,0.918
1098,1.41
1099,1.428
1100,1.354
1101,1.343
1102,1.122
1103,0.81
1104,1.397
1105,1.032
1106,1.021
1107,1.11
1108,1.09
1109,1.069
1110,1.452
1111,1.557
1112,1.735
1113,1.863
1114,1.652
1115,1.654
1116,1.776
1117,1.606
1118,2.008
1119,1.578
1120,1.495
1121,1.527
1122,1.908
1123,1.838
1124,1.696
1125,1.586
1126,1.195
1127,1.252
1128,1.228
1129,0.783
1130,0.975
1131,0.909
1132,1.194
1133,1.099
1134,1.188
1135,1.351
1136,1.378
1137,1.227
1138,1.146
1139,0.919
1140,0.854
1141,1.122
1142,1.099
1143,1.168
1144,1.11
1145,1.268
1146,1.372
1147,1.311
1148,1.302
1149,1.584
1150,1.433
1151,1.437
1152,1.396
1153,1.59
1154,1.34
1155,1.52
1156,1.092
1157,1.258
1158,1.266
1159,1.274
1160,1.518
1161,1.255
1162,1.328
1163,1.098
1164,1.081
1165,0.845
1166,0.761
1167,0.788
1168,1.033
1169,0.762
1170,0.844
1171,1.014
1172,1.016
1173,1.046
1174,1.058
1175,0.887
1176,1.085
1177,1.032
1178,1.06
1179,1.188
1180,1.05
1181,1.021
1182,0.996
1183,1.14
1184,0.926
1185,0.876
1186,1.013
1187,1.051
1188,0.985
1189,0.896
1190,1.201
1191,1.114
1192,0.914
1193,0.719
1194,0.891
1195,1.057
1196,1.025
1197,0.893
1198,1.138
1199,1.167
1200,1.121
1201,1.062
1202,0.833
1203,0.944
1204,1.152
1205,0.974
1206,0.938
1207,0.869
1208,0.746
1209,0.598
1210,0.809
1211,0.82
1212,0.857
1213,0.828
1214,1.007
1215,0.974
1216,0.845
1217,0.778
1218,0.706
1219,1.034
1220,0.955
1221,0.869
1222,0.672
1223,0.699
1224,0.677
1225,0.786
1226,0.719
1227,0.769
1228,0.747
1229,0.906
1230,0.882
1231,0.928
1232,0.732
1233,0.769
1234,0.819
1235,0.766
