year,rwi
1836,1.89
1837,3
1838,2.94
1839,2.96
1840,2.59
1841,2.16
1842,1.9
1843,1.83
1844,1.98
1845,3.32
1846,3.89
1847,2.518
1848,2.312
1849,2.625
1850,2.643
1851,2.833
1852,2.651
1853,3.047
1854,2.886
1855,2.416
1856,2.293
1857,2.047
1858,2.033
1859,1.634
1860,1.741
1861,2.061
1862,2.715
1863,1.931
1864,1.946
1865,2.251
1866,2.246
1867,2.153
1868,2.135
1869,2.27
1870,2.188
1871,2.291
1872,1.9
1873,2.561
1874,2.605
1875,2.58
1876,1.343
1877,1.431
1878,2.212
1879,2.746
1880,2.604
1881,2.517
1882,2.279
1883,1.917
1884,2.005
1885,1.671
1886,1.468
1887,1.461
1888,1.758
1889,2.058
1890,1.993
1891,1.527
1892,1.694
1893,1.231
1894,1.592
1895,1.769
1896,1.851
1897,1.74
1898,1.626
1899,2.006
1900,1.882
1901,1.745
1902,1.723
1903,1.602
1904,1.479
1905,1.278
1906,1.085
1907,1.23
1908,1.519
1909,1.634
1910,1.714
1911,1.585
1912,1.363
1913,1.097
1914,1.264
1915,1.403
1916,1.469
1917,1.319
1918,1.149
1919,1.248
1920,1.185
1921,1.193
1922,1.638
1923,1.57
1924,1.416
1925,1.238
1926,1.451
1927,1.599
1928,1.438
1929,1.667
1930,1.842
1931,1.612
1932,1.374
1933,1.071
1934,1.253
1935,1.248
1936,1.445
1937,1.204
1938,1.198
1939,1.395
1940,1.237
1941,1.386
1942,1.205
1943,1.027
1944,1.132
1945,1.157
1946,1.062
1947,0.611
1948,0.601
1949,0.572
1950,0.961
1951,1.233
1952,1.087
1953,1.141
1954,1.148
1955,1.133
1956,1.098
1957,1.267
1958,1.182
1959,1.058
1960,0.919
1961,1.058
1962,0.917
1963,0.685
1964,0.73
1965,0.941
1966,1.026
1967,1.171
1968,1.231
1969,1.245
1970,1.186
1971,1.029
1972,0.832
1973,1.06
1974,1.246
1975,1.114
1976,0.997
1977,1.2
1978,1.263
1979,1.472
1980,0.923
1981,1.034
