year,rwi
1577,1.082
1578,0.852
1579,1.11
1580,0.673
1581,0.684
1582,1.003
1583,1.195
1584,0.892
1585,1.31
1586,1.204
1587,1.052
1588,0.854
1589,0.875
1590,0.723
1591,0.927
1592,1.045
1593,0.959
1594,1.075
1595,0.827
1596,0.825
1597,1.113
1598,1.272
1599,1.561
1600,1.185
1601,0.403
1602,1.01
1603,1.069
1604,0.726
1605,0.82
1606,1.092
1607,0.829
1608,1.105
1609,0.938
1610,0.874
1611,0.927
1612,0.996
1613,0.903
1614,1.022
1615,0.918
1616,1.004
1617,0.965
1618,0.978
1619,1.232
1620,0.862
1621,1.072
1622,1.167
1623,1.011
1624,1.343
1625,1.532
1626,1.358
1627,0.986
1628,1.194
1629,1.433
1630,0.948
1631,1.025
1632,1.22
1633,0.946
1634,1.144
1635,0.908
1636,1.083
1637,1.337
1638,1.354
1639,1.079
1640,1.29
1641,1.023
1642,0.941
1643,0.882
1644,0.577
1645,0.743
1646,0.695
1647,0.563
1648,1.008
1649,0.943
1650,0.714
1651,0.81
1652,0.546
1653,0.804
1654,0.976
1655,1.087
1656,1.204
1657,1.05
1658,1.098
1659,1.141
1660,1.083
1661,0.862
1662,0.961
1663,0.959
1664,0.881
1665,1.211
1666,0.712
1667,0.435
1668,0.793
1669,0.554
1670,0.657
1671,0.614
1672,0.458
1673,0.524
1674,0.617
1675,0.428
1676,0.301
1677,0.328
1678,0.269
1679,0.417
1680,0.257
1681,0.322
1682,0.48
1683,0.503
1684,0.617
1685,0.665
1686,0.736
1687,0.636
1688,0.648
1689,1.148
1690,0.853
1691,1.111
1692,1.17
1693,1.551
1694,1.651
1695,0.898
1696,0.591
1697,0.64
1698,0.688
1699,0.79
1700,0.826
1701,1.044
1702,1.13
1703,1.058
1704,1.774
1705,1.506
1706,1.349
1707,1.297
1708,1.236
1709,0.634
1710,1.143
1711,1.207
1712,1.363
1713,0.955
1714,0.926
1715,1.519
1716,1.39
1717,1.343
1718,1.709
1719,0.824
1720,1.495
1721,1.425
1722,1.235
1723,1.335
1724,1.312
1725,1.614
1726,1.861
1727,1.322
1728,1.289
1729,1.498
1730,1.557
1731,1.062
1732,0.952
1733,1.004
1734,0.592
1735,0.884
1736,0.974
1737,0.885
1738,1.268
1739,1.271
1740,0.832
1741,0.802
1742,0.735
1743,0.737
1744,0.833
1745,0.796
1746,0.946
1747,0.924
1748,0.741
1749,0.822
1750,1.13
1751,1.027
1752,1.239
1753,1.184
1754,1.481
1755,1.299
1756,1.294
1757,1.164
1758,1.217
1759,1.345
1760,1.188
1761,1.267
1762,1.423
1763,1.203
1764,1.069
1765,1.47
1766,1.005
1767,0.888
1768,0.899
1769,0.498
1770,0.584
1771,0.518
1772,0.673
1773,0.557
1774,0.853
1775,1.083
1776,1.022
1777,1.529
1778,1.5
1779,1.284
1780,1.615
1781,1.12
1782,0.972
1783,0.895
1784,0.846
1785,0.671
1786,0.567
1787,0.676
1788,0.784
1789,0.701
1790,0.588
1791,0.726
1792,1.019
1793,1.053
1794,0.965
1795,1.053
1796,1.178
1797,1.275
1798,1.193
1799,1.688
1800,1.29
1801,0.973
1802,1.484
1803,0.991
1804,1.089
1805,1.242
1806,0.609
1807,0.995
1808,1.207
1809,1.162
1810,0.569
1811,0.612
1812,0.907
1813,0.864
1814,0.9
1815,1.017
1816,0.911
1817,0.998
1818,1.186
1819,1.358
1820,1.057
1821,1.068
1822,0.965
1823,1.176
1824,1.089
1825,0.836
1826,1.542
1827,1.3
1828,0.867
1829,1.191
1830,1.199
1831,1.15
1832,0.808
1833,0.827
1834,0.79
1835,0.639
1836,0.532
1837,0.326
1838,0.383
1839,0.341
1840,0.635
1841,0.474
1842,0.628
1843,0.411
1844,0.392
1845,0.788
1846,0.778
1847,0.856
1848,0.91
1849,1.125
1850,1.259
1851,1.366
1852,1.325
1853,1.359
1854,1.374
1855,1.355
1856,1.309
1857,1.098
1858,1.233
1859,1.14
1860,1.071
1861,1.312
1862,1.002
1863,0.869
1864,1.32
1865,1.009
1866,0.711
1867,0.901
1868,0.8
1869,0.908
1870,0.88
1871,0.674
1872,0.713
1873,1
1874,0.859
1875,0.944
1876,1.013
1877,0.894
1878,0.784
1879,0.859
1880,0.809
1881,0.752
1882,0.908
1883,0.825
1884,0.903
1885,1.207
1886,1.284
1887,0.952
1888,0.912
1889,0.825
1890,1.286
1891,0.862
1892,0.352
1893,0.458
1894,0.639
1895,0.667
1896,0.84
1897,0.79
1898,1.431
1899,1.003
1900,0.63
1901,1.043
1902,0.975
1903,0.46
1904,0.752
1905,0.657
1906,0.67
1907,0.555
1908,0.537
1909,0.462
1910,0.266
1911,0.278
1912,0.391
1913,0.431
1914,0.606
1915,0.662
1916,0.655
1917,0.64
1918,0.651
1919,0.903
1920,0.873
1921,0.799
1922,0.883
1923,1.096
1924,1.265
1925,1.542
1926,1.14
1927,1.652
1928,1.2
1929,0.851
1930,1.442
1931,1.346
1932,1.285
1933,1.256
1934,1.47
1935,1.452
1936,1.132
1937,1.692
1938,1.743
1939,1.371
1940,1.312
1941,1.634
1942,1.483
1943,1.687
1944,1.699
1945,1.675
1946,1.342
1947,1.317
1948,1.411
1949,1.355
1950,1.27
1951,1.393
1952,1.317
1953,1.118
1954,1.535
1955,1.362
1956,1.308
1957,1.768
1958,1.319
1959,1.237
1960,1.452
1961,0.974
1962,0.826
1963,0.596
1964,1.424
1965,1.02
1966,0.923
1967,1.228
1968,0.856
1969,0.675
1970,1.103
1971,0.803
1972,0.95
1973,1.029
1974,1.014
1975,0.991
1976,0.901
1977,0.834
1978,0.761
1979,0.881
1980,0.811
1981,0.901
1982,0.744
1983,0.931
1984,0.919
1985,0.95
1986,0.712
1987,0.638
1988,0.831
1989,0.885
1990,0.823
1991,0.8
1992,0.724
1993,0.803
1994,0.683
1995,0.599
1996,0.694
1997,0.473
