year,rwi
1564,0.282
1565,0.465
1566,0.325
1567,0.561
1568,0.475
1569,0.395
1570,0.624
1571,0.469
1572,0.598
1573,0.838
1574,0.953
1575,0.79
1576,0.857
1577,0.845
1578,1.02
1579,0.902
1580,1.081
1581,1.019
1582,1.17
1583,1.705
1584,1.402
1585,1.117
1586,1.548
1587,0.962
1588,1.147
1589,1.69
1590,1.152
1591,0.757
1592,0.716
1593,0.848
1594,0.752
1595,0.878
1596,0.521
1597,0.377
1598,0.41
1599,0.49
1600,1.101
1601,1.243
1602,1.341
1603,0.914
1604,0.956
1605,0.76
1606,0.764
1607,0.707
1608,0.711
1609,0.646
1610,0.754
1611,1.018
1612,0.989
1613,0.884
1614,1.029
1615,1.075
1616,0.76
1617,0.715
1618,0.928
1619,1.082
1620,1.231
1621,0.96
1622,0.909
1623,0.805
1624,0.787
1625,0.9
1626,0.897
1627,0.94
1628,1.043
1629,1.11
1630,1.164
1631,0.942
1632,1.002
1633,0.93
1634,1.056
1635,1.081
1636,0.993
1637,1.157
1638,1.169
1639,1.214
1640,1.118
1641,1.075
1642,0.944
1643,0.968
1644,1.088
1645,1.36
1646,1.153
1647,1.374
1648,1.377
1649,1.35
1650,1.159
1651,0.972
1652,0.976
1653,0.926
1654,0.887
1655,0.877
1656,0.824
1657,0.991
1658,0.943
1659,0.86
1660,0.851
1661,0.97
1662,1.091
1663,1.103
1664,1.128
1665,0.94
1666,0.983
1667,0.833
1668,1.196
1669,1.524
1670,1.236
1671,1.04
1672,1.262
1673,1.108
1674,1.083
1675,0.707
1676,0.816
1677,0.882
1678,0.977
1679,0.888
1680,0.879
1681,0.959
1682,0.981
1683,1.096
1684,1.07
1685,1.122
1686,1.267
1687,1.366
1688,1.318
1689,1.468
1690,1.025
1691,1.351
1692,0.969
1693,0.84
1694,1.362
1695,1.151
1696,1.313
1697,1.131
1698,1.169
1699,1.256
1700,0.991
1701,1.112
1702,1.294
1703,1.284
1704,1.019
1705,1.172
1706,0.876
1707,1.047
1708,1.02
1709,1.17
1710,1.077
1711,1.035
1712,0.826
1713,0.99
1714,0.944
1715,0.881
1716,0.777
1717,0.767
1718,0.81
1719,0.807
1720,0.668
1721,1.013
1722,1.192
1723,1.039
1724,0.948
1725,0.722
1726,0.835
1727,0.725
1728,0.764
1729,0.812
1730,0.796
1731,0.673
1732,0.788
1733,0.865
1734,1.016
1735,0.846
1736,0.845
1737,1.04
1738,0.884
1739,0.706
1740,0.646
1741,0.757
1742,0.952
1743,0.967
1744,1.094
1745,1.186
1746,0.94
1747,0.938
1748,1.002
1749,1.042
1750,1.208
1751,1.212
1752,1.339
1753,1.049
1754,0.98
1755,0.791
1756,0.952
1757,0.99
1758,0.984
1759,0.749
1760,1.035
1761,0.838
1762,0.966
1763,1.151
1764,1.041
1765,0.811
1766,1.052
1767,1.05
1768,1.236
1769,1.07
1770,1.124
1771,1.096
1772,1.04
1773,1.064
1774,1.108
1775,1.316
1776,1.508
1777,1.345
1778,1.129
1779,0.99
1780,0.91
1781,0.907
1782,1.027
1783,1.014
1784,1.08
1785,0.97
1786,1.054
1787,2.145
1788,1.821
1789,1.378
1790,1.271
1791,0.938
1792,1.012
1793,0.873
1794,0.907
1795,1.464
1796,0.931
1797,0.943
1798,0.686
1799,0.892
1800,0.785
1801,0.868
1802,0.876
1803,0.938
1804,0.838
1805,0.988
1806,1.012
1807,1.062
1808,1.03
1809,1.029
1810,1.236
1811,1.097
1812,1.039
1813,1.078
1814,1.07
1815,0.847
1816,1.569
1817,0.969
1818,0.897
1819,0.974
1820,0.779
1821,0.671
1822,0.701
1823,0.807
1824,0.845
1825,0.62
1826,0.725
1827,0.707
1828,0.959
1829,0.762
1830,0.952
1831,1.026
1832,0.997
1833,0.857
1834,0.95
1835,1.034
1836,0.905
1837,0.791
1838,0.924
1839,1.013
1840,0.837
1841,0.845
1842,0.847
1843,1.247
1844,0.847
1845,0.905
1846,0.975
1847,0.929
1848,0.88
1849,1.051
1850,1.126
1851,1.022
1852,0.83
1853,0.758
1854,0.97
1855,0.821
1856,0.998
1857,0.883
1858,0.987
1859,1.031
1860,0.887
1861,0.884
1862,0.956
1863,1.162
1864,0.946
1865,0.919
1866,0.855
1867,0.761
1868,0.889
1869,1.225
1870,0.918
1871,0.848
1872,0.612
1873,0.761
1874,1.065
1875,1.06
1876,1.095
1877,1.324
1878,1.008
1879,1.238
1880,0.863
1881,0.732
1882,1.147
1883,1.328
1884,1.058
1885,1.151
1886,0.947
1887,1.033
1888,1.098
1889,1.149
1890,0.932
1891,0.924
1892,1.193
1893,1.069
1894,1.095
1895,1.316
1896,0.932
1897,1.174
1898,1.069
1899,1.268
1900,1.622
1901,1.128
1902,0.887
1903,0.947
1904,0.922
1905,0.79
1906,1.014
1907,0.881
1908,0.799
1909,0.989
1910,0.801
1911,0.802
1912,0.897
1913,0.856
1914,0.846
1915,1.379
1916,1.25
1917,1.065
1918,1.292
1919,1.267
1920,1.335
1921,1.007
1922,1.064
1923,0.96
1924,1.007
1925,1.161
1926,1.029
1927,0.944
1928,0.743
1929,1.105
1930,0.711
1931,1.089
1932,0.752
1933,1.157
1934,1.154
1935,1.006
1936,1.064
1937,0.987
1938,0.852
1939,0.707
1940,0.829
1941,0.918
1942,1.041
1943,1.168
1944,1.1
1945,1.132
1946,1.116
1947,1.203
1948,1.276
1949,1.393
1950,1.835
1951,1.672
1952,1.313
1953,1.267
1954,1.199
1955,1.233
1956,1.079
1957,0.895
1958,0.586
1959,0.994
1960,0.682
1961,0.676
1962,0.915
1963,0.785
1964,0.761
1965,0.725
1966,0.637
1967,0.733
1968,0.846
1969,0.836
1970,0.864
1971,0.785
1972,0.911
1973,0.891
1974,0.956
1975,0.853
1976,1.445
