year,rwi
550,2.437
551,1.543
552,0.201
553,0.171
554,0.459
555,0.261
556,0.248
557,0.295
558,0.189
559,0.389
560,0.233
561,0.252
562,0.18
563,0.387
564,0.437
565,0.191
566,0.266
567,0.287
568,0.374
569,0.292
570,0.491
571,3.236
572,0.937
573,2.22
574,2.704
575,2.86
576,3.776
577,3.11
578,2.756
579,1.592
580,1.475
581,1.109
582,1.686
583,1.287
584,0.536
585,0.252
586,0.508
587,1.626
588,0.201
589,0.426
590,0.53
591,0.897
592,1.536
593,0.871
594,0.647
595,0.561
596,0.814
597,2.378
598,2.399
599,3.218
600,1.264
601,0.482
602,0.653
603,0.548
604,0.663
605,0.937
606,0.76
607,0.373
608,0.826
609,0.623
610,0.272
611,0.762
612,0.446
613,1.001
614,0.442
615,1.333
616,0.623
617,0.975
618,0.576
619,0.514
620,0.462
621,0.621
622,1.494
623,0.764
624,2.118
625,0.306
626,0.422
627,0.494
628,0.847
629,0.448
630,0.222
631,1.156
632,0.903
633,0.618
634,0.297
635,0.486
636,1.231
637,0.58
638,0.504
639,0.89
640,0.246
641,0.756
642,1.023
643,2.381
644,0.334
645,0.479
646,0.227
647,1.504
648,0.855
649,1.728
650,0.979
651,0.398
652,0.944
653,2.244
654,2.839
655,1.581
656,0.777
657,0.944
658,0.393
659,0.323
660,1.346
661,1.25
662,0.418
663,1.155
664,1.017
665,1.387
666,0.965
667,0.689
668,0.387
669,2.929
670,1.45
671,1.733
672,1.211
673,0.865
674,1.301
675,2.165
676,1.528
677,1.251
678,1.065
679,0.684
680,1.583
681,1.591
682,0.499
683,0.878
684,1.986
685,0.241
686,0.314
687,0.177
688,0.239
689,0.177
690,0.242
691,0.352
692,0.564
693,0.855
694,0.633
695,1.061
696,1.029
697,0.456
698,0.197
699,0.434
700,0.723
701,0.876
702,0.643
703,0.246
704,0.482
705,0.348
706,0.903
707,1.723
708,2.505
709,1.547
710,1.031
711,2.318
712,1.788
713,2.63
714,2.03
715,1.385
716,0.938
717,0.877
718,1.768
719,0.815
720,0.287
721,0.28
722,0.75
723,0.141
724,0.896
725,2.628
726,2.562
727,0.141
728,2.276
729,1.694
730,1.754
731,1.166
732,1.201
733,0.988
734,1.385
735,0.141
736,0.378
737,0.225
738,0.347
739,0.936
740,1.179
741,0.974
742,1.48
743,0.742
744,0.583
745,0.506
746,0.462
747,0.408
748,0.31
749,0.26
750,0.463
751,0.549
752,0.455
753,0.802
754,1.168
755,2
756,2.473
757,2.278
758,1.312
759,1.545
760,0.532
761,1.288
762,1.708
763,0.951
764,1.062
765,0.505
766,0.865
767,1.362
768,0.728
769,1.142
770,1.508
771,0.993
772,1.117
773,0.747
774,1.819
775,0.888
776,0.846
777,1.674
778,1.987
779,0.889
780,0.657
781,1.398
782,0.58
783,0.897
784,0.659
785,1.126
786,0.985
787,0.902
788,1.043
789,0.695
790,0.665
791,0.591
792,0.408
793,0.682
794,0.633
795,0.449
796,0.352
797,0.757
798,1.524
799,1.731
800,1.778
801,1.765
802,0.786
803,0.938
804,1.108
805,1.318
806,0.774
807,1.002
808,0.773
809,0.847
810,0.758
811,1.175
812,0.868
813,1.779
814,1.164
815,0.635
816,0.5
817,1.919
818,1.137
819,1.534
820,0.411
821,1.074
822,1.184
823,0.371
824,0.599
825,0.283
826,1.152
827,0.888
828,0.328
829,0.808
830,0.522
831,0.772
832,1.55
833,0.837
834,0.568
835,1.061
836,0.85
837,0.848
838,0.696
839,0.572
840,0.208
841,0.324
