year,rwi
1691,1.251
1692,1.203
1693,0.565
1694,1.159
1695,1.008
1696,1.114
1697,0.649
1698,0.808
1699,1.386
1700,1.995
1701,2.58
1702,1.611
1703,1.112
1704,1.062
1705,1.012
1706,0.48
1707,0.428
1708,0.536
1709,1.429
1710,1.352
1711,1.41
1712,1.169
1713,0.926
1714,0.929
1715,0.739
1716,0.658
1717,0.301
1718,0.274
1719,0.524
1720,1.108
1721,0.554
1722,0.917
1723,1.449
1724,1.088
1725,1.145
1726,0.838
1727,0.924
1728,0.756
1729,1.882
1730,1.18
1731,0.673
1732,0.476
1733,0.731
1734,0.166
1735,0.364
1736,0.138
1737,0.845
1738,1.014
1739,0.703
1740,1.24
1741,0.166
1742,0.533
1743,0.505
1744,1.098
1745,1.38
1746,1.774
1747,2.112
1748,1.604
1749,0.645
1750,1.265
1751,0.87
1752,1.039
1753,1.264
1754,1.264
1755,1.152
1756,0.194
1757,0.842
1758,0.73
1759,1.181
1760,0.898
1761,1.641
1762,1.398
1763,2.473
1764,1.829
1765,0.575
1766,1.023
1767,0.883
1768,0.829
1769,0.399
1770,0.715
1771,0.809
1772,0.765
1773,0.92
1774,0.865
1775,1.27
1776,2.053
1777,2.128
1778,1.987
1779,1.338
1780,1.137
1781,0.856
1782,0.883
1783,1.045
1784,1.071
1785,0.721
1786,1.381
1787,1.565
1788,1.275
1789,0.594
1790,1.328
1791,0.718
1792,1.156
1793,1.614
1794,1.373
1795,1.702
1796,1.107
1797,0.835
1798,0.812
1799,0.727
1800,0.222
1801,0.206
1802,0.571
1803,0.7
1804,1.005
1805,1.079
1806,0.679
1807,0.752
1808,0.432
1809,0.947
1810,0.768
1811,0.867
1812,0.309
1813,1.164
1814,1.196
1815,0.515
1816,0.652
1817,0.189
1818,0.481
1819,0.341
1820,0.624
1821,1.331
1822,0.874
1823,0.695
1824,0.957
1825,1.135
1826,1.058
1827,1.332
1828,1.42
1829,1.502
1830,1.874
1831,1.313
1832,1.511
1833,1.292
1834,1.096
1835,0.699
1836,0.779
1837,1.087
1838,0.916
1839,0.797
1840,0.921
1841,0.821
1842,1.139
1843,0.401
1844,0.848
1845,0.576
1846,0.86
1847,0.694
1848,0.45
1849,0.732
1850,0.835
1851,1.417
1852,1.337
1853,1.548
1854,1.415
1855,1.171
1856,0.829
1857,1.159
1858,1.341
1859,0.852
1860,1.049
1861,0.906
1862,0.975
1863,0.728
1864,0.568
1865,0.682
1866,0.759
1867,1.526
1868,1.507
1869,1.597
1870,1.251
1871,0.981
1872,0.967
1873,0.66
1874,0.527
1875,0.936
1876,0.92
1877,1.317
1878,1.803
1879,1.623
1880,0.982
1881,0.77
1882,1.489
1883,1.301
1884,1.116
1885,1.5
1886,1.054
1887,0.773
1888,0.705
1889,0.853
1890,0.447
1891,0.582
1892,0.747
1893,0.62
1894,0.701
1895,0.66
1896,0.613
1897,0.955
1898,0.928
1899,0.684
1900,0.33
1901,0.213
1902,1.082
1903,1.396
1904,1.098
1905,1.378
1906,1.486
1907,1.578
1908,1.253
1909,0.971
1910,1.17
1911,0.404
1912,1.192
1913,0.482
1914,0.984
1915,1.871
1916,1.331
1917,1.425
1918,1.56
1919,1.317
1920,1.435
1921,1.159
1922,1.573
1923,1.35
1924,1.554
1925,1.458
1926,0.791
1927,1.192
1928,0.754
1929,1.013
1930,0.956
1931,0.285
1932,0.491
1933,0.459
1934,0.138
1935,0.729
1936,0.689
1937,0.909
1938,1.137
1939,0.449
1940,0.674
1941,0.695
1942,1.312
1943,0.757
1944,0.868
1945,1.031
1946,0.834
1947,1.076
1948,1.017
1949,0.82
1950,1.031
1951,1.019
1952,0.933
1953,1.084
1954,0.894
1955,0.736
1956,0.528
1957,1.14
1958,1.238
1959,0.782
1960,1.177
1961,0.894
1962,1.465
1963,1.187
1964,1.026
1965,1.274
1966,1.074
1967,1.675
1968,1.442
1969,0.679
1970,1.094
1971,1.286
1972,1.204
1973,1.17
1974,0.936
1975,1.024
1976,0.636
1977,1.091
1978,0.893
1979,0.739
1980,0.561
1981,1.085
1982,1.169
1983,1.053
1984,1.185
1985,0.619
1986,1.23
1987,1.288
1988,0.934
1989,0.57
1990,1.046
1991,1.12
