year,rwi
1751,1.412
1752,1.185
1753,0.786
1754,0.509
1755,0.735
1756,1.147
1757,1.261
1758,1.045
1759,1.104
1760,1.073
1761,1.079
1762,1
1763,0.725
1764,0.906
1765,0.903
1766,1.099
1767,1.135
1768,1.004
1769,0.987
1770,0.982
1771,0.952
1772,1.058
1773,0.939
1774,1.161
1775,1.01
1776,0.898
1777,1.017
1778,1.308
1779,1.049
1780,0.819
1781,0.821
1782,0.883
1783,0.929
1784,0.956
1785,1.13
1786,1.282
1787,0.825
1788,1.134
1789,1.081
1790,0.967
1791,1.194
1792,0.596
1793,0.739
1794,0.961
1795,1.583
1796,0.972
1797,1.148
1798,0.94
1799,0.82
1800,0.799
1801,1.061
1802,1.052
1803,1.086
1804,1.057
1805,0.9
1806,0.971
1807,1.28
1808,0.985
1809,0.978
1810,1.061
1811,0.822
1812,0.877
1813,1.027
1814,0.794
1815,0.956
1816,1.1
1817,1.125
1818,0.971
1819,0.877
1820,1.004
1821,0.808
1822,1.098
1823,1.089
1824,1.051
1825,1.016
1826,0.845
1827,0.896
1828,0.876
1829,1.072
1830,1.014
1831,1.149
1832,1.226
1833,0.803
1834,0.853
1835,0.978
1836,1.149
1837,0.978
1838,1.047
1839,0.924
1840,0.986
1841,0.873
1842,0.966
1843,1.12
1844,1.037
1845,0.986
1846,1.082
1847,0.912
1848,1.119
1849,1.004
1850,0.972
1851,1
1852,0.908
1853,1.002
1854,1.051
1855,1.089
1856,0.896
1857,0.891
1858,0.944
1859,0.99
1860,0.958
1861,1.118
1862,0.86
1863,1.065
1864,1.006
1865,0.896
1866,1.059
1867,1.007
1868,0.979
1869,1.033
1870,0.971
1871,1.125
1872,0.961
1873,1.024
1874,0.874
1875,0.994
1876,1.05
1877,0.981
1878,1.043
1879,0.975
1880,0.989
1881,1.03
1882,1.041
1883,1.004
1884,1.049
1885,0.969
1886,0.902
1887,0.992
1888,0.97
1889,0.985
1890,1.158
1891,0.982
1892,1.022
1893,0.978
1894,0.995
1895,0.94
1896,1.069
1897,0.961
1898,0.944
1899,0.993
1900,1.068
1901,0.957
1902,1.077
1903,1.093
1904,0.984
1905,0.939
1906,1.087
1907,0.934
1908,0.852
1909,0.978
1910,1.178
1911,0.973
1912,0.954
1913,1.032
1914,1.083
1915,1.042
1916,1.057
1917,0.81
1918,1.053
1919,1.041
1920,0.996
1921,1.04
1922,0.77
1923,1.128
1924,1.012
1925,1.169
1926,1.082
1927,0.902
1928,0.885
1929,0.953
1930,0.992
1931,1.076
1932,1.133
1933,0.953
1934,0.869
1935,0.862
1936,1.113
1937,1.042
1938,0.988
1939,1.075
1940,1.025
1941,1.115
1942,0.817
1943,1.045
1944,0.994
1945,1.036
1946,1.045
1947,0.885
1948,1.061
1949,1.031
1950,0.814
1951,1.035
1952,0.983
1953,1.237
1954,0.887
1955,1.027
1956,1.031
1957,1.091
1958,0.862
1959,1.078
1960,0.842
1961,1.054
1962,0.88
1963,1.06
1964,1.041
1965,1.147
1966,0.992
1967,0.96
1968,0.929
1969,0.941
1970,1.04
1971,1.118
1972,1.048
1973,0.967
1974,0.952
1975,1.055
1976,0.899
1977,1.034
1978,1.018
1979,0.942
1980,0.96
1981,0.941
1982,1.022
1983,1.086
1984,1.051
1985,1.027
1986,0.944
1987,1.078
1988,0.983
1989,0.982
1990,1.204
1991,0.791
1992,0.989
