year,rwi
1808,0.981
1809,0.932
1810,0.946
1811,1.127
1812,0.935
1813,0.973
1814,0.911
1815,0.848
1816,0.837
1817,0.852
1818,0.917
1819,1.005
1820,0.975
1821,1.021
1822,0.954
1823,1.031
1824,0.952
1825,1.184
1826,1.036
1827,1.051
1828,1.136
1829,1.047
1830,1.088
1831,0.961
1832,0.879
1833,0.953
1834,1.171
1835,1.107
1836,0.972
1837,1.202
1838,1.092
1839,0.977
1840,0.968
1841,1.024
1842,0.999
1843,0.999
1844,0.928
1845,0.814
1846,1.183
1847,0.931
1848,0.983
1849,1.065
1850,1.001
1851,0.819
1852,0.858
1853,0.953
1854,1.053
1855,0.862
1856,1.056
1857,1.086
1858,0.884
1859,1.036
1860,0.84
1861,1.097
1862,0.894
1863,1.003
1864,1.182
1865,0.942
1866,0.954
1867,1.101
1868,0.929
1869,0.975
1870,0.885
1871,1.144
1872,1.017
1873,0.983
1874,1.001
1875,1.07
1876,0.818
1877,0.896
1878,1.096
1879,0.768
1880,0.758
1881,0.908
1882,0.791
1883,0.835
1884,1.086
1885,0.969
1886,0.888
1887,0.955
1888,0.849
1889,1.065
1890,0.944
1891,0.911
1892,1.075
1893,1.215
1894,0.906
1895,1.096
1896,0.881
1897,1.249
1898,1.226
1899,1.008
1900,1.062
1901,1.035
1902,1.208
1903,1.117
1904,1.023
1905,1.244
1906,1.204
1907,1.188
1908,1.076
1909,1.016
1910,0.994
1911,0.99
1912,0.748
1913,0.911
1914,0.867
1915,0.961
1916,1.059
1917,0.867
1918,0.831
1919,0.842
1920,1.036
1921,1.062
1922,0.714
1923,1.087
1924,0.912
1925,1.079
1926,1.06
1927,0.891
1928,1.027
1929,0.953
1930,1.095
1931,0.996
1932,1.119
1933,1.022
1934,0.75
1935,0.771
1936,0.849
1937,0.985
1938,1.08
1939,1.089
1940,0.965
1941,0.761
1942,0.68
1943,0.774
1944,0.881
1945,0.938
1946,0.882
1947,0.847
1948,1.135
1949,1.064
1950,0.846
1951,1.018
1952,1.103
1953,1.211
1954,0.99
1955,1.085
1956,1.012
1957,0.946
1958,1.17
1959,1.222
1960,1.009
1961,1.073
1962,0.759
1963,0.49
1964,0.767
1965,0.769
1966,0.969
1967,0.854
1968,0.979
1969,1.064
1970,0.858
1971,1.036
1972,0.711
1973,1.113
1974,1.063
1975,1.202
1976,1.39
1977,1.001
