year,rwi
1724,1.395
1725,1.257
1726,1.262
1727,0.852
1728,0.877
1729,0.692
1730,1.053
1731,1.205
1732,0.998
1733,1.066
1734,1.028
1735,0.559
1736,1.019
1737,0.804
1738,0.952
1739,1.185
1740,1.025
1741,0.586
1742,0.844
1743,1.115
1744,1.354
1745,0.752
1746,0.653
1747,0.497
1748,0.761
1749,0.741
1750,1.03
1751,1.276
1752,1.535
1753,1.077
1754,1.233
1755,1.11
1756,1.127
1757,1.273
1758,1.445
1759,1.655
1760,1.645
1761,1.244
1762,1.583
1763,1.427
1764,1.429
1765,1.113
1766,1.321
1767,1.176
1768,0.71
1769,0.689
1770,0.557
1771,0.598
1772,0.715
1773,0.654
1774,0.871
1775,1.037
1776,0.911
1777,1.243
1778,1.208
1779,0.6
1780,0.743
1781,0.552
1782,1.146
1783,0.927
1784,1.354
1785,1.283
1786,0.828
1787,1.129
1788,0.901
1789,0.925
1790,0.826
1791,0.969
1792,0.844
1793,1.164
1794,0.943
1795,0.788
1796,0.663
1797,0.446
1798,0.827
1799,0.84
1800,0.687
1801,0.601
1802,0.492
1803,0.619
1804,0.79
1805,0.999
1806,0.675
1807,0.657
1808,0.734
1809,1.095
1810,0.912
1811,1.024
1812,0.767
1813,0.65
1814,1.081
1815,1.039
1816,1.667
1817,1.596
1818,1.598
1819,1.535
1820,1.285
1821,1.154
1822,1.045
1823,0.958
1824,1.115
1825,1.108
1826,1.449
1827,1.613
1828,1.457
1829,1.436
1830,1.092
1831,0.709
1832,0.624
1833,0.801
1834,0.918
1835,0.801
1836,0.856
1837,0.501
1838,0.755
1839,0.569
1840,0.553
1841,0.607
1842,0.519
1843,0.692
1844,0.602
1845,1.364
1846,0.984
1847,0.988
1848,0.977
1849,0.851
1850,1.013
1851,0.949
1852,1.156
1853,1.678
1854,2.026
1855,1.922
1856,1.917
1857,1.365
1858,1.186
1859,1.291
1860,1.284
1861,1.328
1862,1.199
1863,0.889
1864,0.911
1865,0.8
1866,0.863
1867,0.772
1868,1.06
1869,0.882
1870,1.147
1871,1.17
1872,1.437
1873,1.227
1874,1.249
1875,1.281
1876,0.932
1877,0.872
1878,0.697
1879,0.723
1880,0.776
1881,0.767
1882,0.685
1883,0.646
1884,0.704
1885,0.808
1886,0.796
1887,0.715
1888,0.7
1889,0.479
1890,0.736
1891,0.698
1892,0.952
1893,1.103
1894,0.756
1895,1.239
1896,1.13
1897,1.045
1898,1.126
1899,0.963
1900,1.079
1901,1.158
1902,0.743
1903,0.817
1904,0.747
1905,0.847
1906,0.934
1907,0.729
1908,0.765
1909,0.917
1910,0.974
1911,0.866
1912,1.099
1913,1.306
1914,1.745
1915,1.91
1916,1.484
1917,1.641
1918,1.31
1919,1.39
1920,1.106
1921,1.236
1922,1.197
1923,0.837
1924,0.81
1925,0.898
1926,0.855
1927,0.886
1928,0.46
1929,0.964
1930,0.797
1931,0.556
1932,0.834
1933,0.796
1934,0.67
1935,0.35
1936,0.543
1937,0.754
1938,0.671
1939,0.771
1940,0.834
1941,0.737
1942,0.673
1943,0.732
1944,0.635
1945,0.559
1946,0.86
1947,1.174
1948,1.037
1949,1.367
1950,1.163
1951,1.04
1952,1.069
1953,1.114
1954,1.408
1955,1.137
1956,1.119
1957,1.035
1958,1.262
1959,0.991
1960,1.008
1961,0.845
1962,1.212
1963,1.353
1964,1.214
1965,0.799
1966,0.878
1967,0.911
1968,1.042
1969,0.765
1970,1.091
1971,1.183
1972,1.154
1973,1.165
1974,1.065
1975,1.116
1976,1.492
1977,1.088
1978,1.221
1979,1.373
1980,1.07
1981,1.095
1982,1.03
1983,1.123
1984,1.279
1985,1.266
1986,1.32
1987,1.164
1988,0.899
1989,1.264
1990,0.986
1991,0.917
1992,1.063
1993,0.68
1994,0.845
1995,0.787
1996,0.795
1997,0.622
1998,0.653
