year,rwi
1835,1.443
1836,1.894
1837,1.497
1838,1.299
1839,0.967
1840,0.918
1841,1.472
1842,1.575
1843,0.475
1844,0.706
1845,0.613
1846,0.495
1847,0.534
1848,0.479
1849,0.413
1850,0.627
1851,0.379
1852,0.756
1853,0.465
1854,0.791
1855,1.112
1856,1.116
1857,0.891
1858,1.588
1859,1.313
1860,1.715
1861,1.75
1862,1.534
1863,1.157
1864,1.115
1865,0.941
1866,1.05
1867,1.216
1868,1.445
1869,0.987
1870,0.987
1871,0.929
1872,0.973
1873,1.041
1874,0.83
1875,1.053
1876,0.883
1877,0.968
1878,0.961
1879,1.118
1880,1.125
1881,0.773
1882,0.741
1883,0.823
1884,0.871
1885,0.778
1886,0.772
1887,0.91
1888,0.798
1889,0.613
1890,0.793
1891,0.722
1892,0.902
1893,0.992
1894,0.914
1895,1.158
1896,1.028
1897,1.304
1898,1.174
1899,0.942
1900,1.062
1901,1.195
1902,0.959
1903,0.504
1904,0.705
1905,0.54
1906,0.765
1907,0.743
1908,0.968
1909,0.762
1910,0.851
1911,0.786
1912,1.006
1913,1.231
1914,1.348
1915,1.431
1916,1.141
1917,1.433
1918,1.251
1919,1.305
1920,1.169
1921,1.017
1922,1.301
1923,0.926
1924,1.081
1925,1.127
1926,1.008
1927,0.997
1928,0.706
1929,1.08
1930,1.165
1931,1.036
1932,0.889
1933,1.02
1934,1.072
1935,0.79
1936,0.999
1937,1.178
1938,0.967
1939,1.039
1940,0.907
1941,0.962
1942,0.803
1943,0.52
1944,0.621
1945,0.854
1946,1.012
1947,1.242
1948,1.001
1949,1.134
1950,1.143
1951,1.171
1952,1.154
1953,1.376
1954,1.316
1955,1.144
1956,0.971
1957,1.105
1958,0.995
1959,1.114
1960,1.173
1961,0.94
1962,0.887
1963,0.744
1964,0.688
1965,0.858
1966,0.928
1967,0.99
1968,0.943
1969,0.954
1970,1.124
1971,0.962
1972,1.217
1973,1.309
1974,1.183
1975,1.383
1976,1.379
1977,1.048
1978,1.113
1979,0.975
1980,0.925
1981,0.723
1982,0.835
1983,1.106
1984,0.96
1985,1.131
1986,1.149
1987,0.877
1988,1.03
1989,0.995
1990,1.028
1991,0.977
1992,1.004
1993,0.769
1994,0.8
1995,0.668
1996,0.521
