year,rwi
1684,3.92
1685,1.95
1686,3.28
1687,1.48
1688,1.23
1689,0.9
1690,1.24
1691,1.33
1692,0.94
1693,2.03
1694,1.59
1695,1.4
1696,1.14
1697,1.17
1698,0.84
1699,1.32
1700,1.72
1701,1.34
1702,0.82
1703,0.74
1704,1.42
1705,1.125
1706,1.21
1707,1.965
1708,0.815
1709,1.065
1710,2.065
1711,1.71
1712,1.34
1713,1.235
1714,1.508
1715,1.492
1716,1.77
1717,2.51
1718,0.716
1719,1.981
1720,1.526
1721,1.679
1722,1.548
1723,1.34
1724,2.379
1725,1.506
1726,1.378
1727,2.005
1728,1.47
1729,1.624
1730,2.13
1731,0.855
1732,0.662
1733,1.283
1734,1.593
1735,0.919
1736,1.262
1737,1.775
1738,1.469
1739,3.131
1740,1.351
1741,0.981
1742,2.058
1743,1.27
1744,1.876
1745,2.168
1746,1.663
1747,1.868
1748,1.866
1749,1.71
1750,1.829
1751,1.307
1752,0.877
1753,1.138
1754,1.676
1755,1.032
1756,1.215
1757,1.346
1758,1.09
1759,1.233
1760,1.215
1761,1.307
1762,0.978
1763,1.314
1764,1.145
1765,1.11
1766,0.802
1767,1.102
1768,1.314
1769,1.017
1770,0.949
1771,1.328
1772,1.117
1773,1.135
1774,0.231
1775,0.946
1776,0.611
1777,1.037
1778,0.914
1779,0.38
1780,1.387
1781,1.639
1782,1.886
1783,2.205
1784,0.742
1785,2.071
1786,1.528
1787,2.114
1788,1.784
1789,1.665
1790,1.045
1791,1.141
1792,1.192
1793,1.18
1794,1.21
1795,1.059
1796,1.652
1797,1.571
1798,1.589
1799,1.672
1800,1.736
1801,1.458
1802,2.019
1803,1.935
1804,1.932
1805,2.301
1806,2.35
1807,1.446
1808,0.97
1809,1.302
1810,1.507
1811,0.884
1812,0.797
1813,0.829
1814,1.383
1815,1.095
1816,1.46
1817,1.367
1818,1.339
1819,0.574
1820,1.346
1821,1.009
1822,0.96
1823,1.268
1824,1.591
1825,1.365
1826,1.125
1827,1.264
1828,1.051
1829,1.082
1830,1.821
1831,1.61
1832,1.505
1833,1.028
1834,0.919
1835,0.885
1836,0.882
1837,0.816
1838,0.727
1839,0.54
1840,0.936
1841,1.006
1842,0.822
1843,1.215
1844,1.068
1845,1.356
1846,1.124
1847,1.231
1848,1.409
1849,1.308
1850,0.851
1851,0.958
1852,1.251
1853,1.316
1854,0.311
1855,0.788
1856,1.048
1857,1.088
1858,1.213
1859,1.039
1860,1.289
1861,0.649
1862,1.064
1863,1.208
1864,0.961
1865,0.895
1866,1.081
1867,1.025
1868,0.912
1869,1.13
1870,0.907
1871,0.892
1872,0.704
1873,0.736
1874,0.338
1875,1.161
1876,1.181
1877,0.72
1878,1.02
1879,0.454
1880,0.684
1881,0.967
1882,1.06
1883,1.149
1884,1.068
1885,0.985
1886,1.034
1887,1.176
1888,0.866
1889,1.248
1890,1.412
1891,1.084
1892,1.455
1893,1.343
1894,1.121
1895,0.813
1896,0.98
1897,1.25
1898,0.645
1899,0.837
1900,1.133
1901,1.123
1902,0.982
1903,1.292
1904,1.291
1905,1.115
1906,1.387
1907,1.212
1908,1.074
1909,1.717
1910,1.905
1911,0.879
1912,1.767
1913,1.205
1914,0.541
1915,1.189
1916,2.19
1917,1.657
1918,1.291
1919,0.894
1920,1.042
1921,0.66
1922,1.967
1923,1.682
1924,1.187
1925,0.447
1926,0.751
1927,1.039
1928,1.567
1929,1.521
1930,0.777
1931,1.004
1932,1.012
1933,0.65
1934,0.85
1935,1.211
1936,0.432
1937,0.987
1938,1.234
1939,1.256
1940,1.077
1941,0.943
1942,1.233
1943,1.246
1944,0.508
1945,0.988
1946,1.336
1947,1.064
1948,0.867
1949,1.356
1950,1.377
1951,1.399
1952,1.112
1953,0.928
1954,0.815
1955,1.026
1956,0.828
1957,0.991
1958,1.176
1959,1.025
1960,1.281
1961,1.378
1962,1.285
1963,1.052
1964,0.966
1965,0.927
1966,0.975
1967,0.985
1968,1.509
1969,1.252
1970,0.953
1971,1.316
1972,1.734
1973,1.861
1974,1.959
1975,1.662
1976,1.376
1977,1.056
1978,1.138
1979,1.103
1980,1.082
1981,1.066
