year,rwi
1641,1.27
1642,1.01
1643,0.723
1644,0.861
1645,0.826
1646,1.005
1647,1.058
1648,1.078
1649,0.914
1650,0.85
1651,0.936
1652,1.004
1653,1.087
1654,1.049
1655,0.807
1656,0.897
1657,0.952
1658,0.974
1659,1.072
1660,1.268
1661,0.99
1662,1.084
1663,0.945
1664,1.035
1665,0.957
1666,0.943
1667,0.854
1668,0.928
1669,0.974
1670,1.005
1671,0.812
1672,1.014
1673,1.117
1674,1.066
1675,1.009
1676,1.012
1677,1.04
1678,0.964
1679,0.936
1680,1.285
1681,1.007
1682,1.031
1683,0.994
1684,1.205
1685,0.952
1686,0.96
1687,1.097
1688,0.948
1689,0.847
1690,0.92
1691,0.984
1692,1.141
1693,0.955
1694,1.147
1695,1.227
1696,1.076
1697,0.916
1698,0.918
1699,0.948
1700,0.955
1701,0.975
1702,0.964
1703,0.92
1704,1.186
1705,1.224
1706,1.101
1707,1.189
1708,1.017
1709,1.098
1710,1.032
1711,1.057
1712,1.006
1713,0.914
1714,1.035
1715,1.005
1716,0.954
1717,1.003
1718,0.917
1719,0.988
1720,1.02
1721,0.975
1722,0.969
1723,0.768
1724,0.938
1725,0.986
1726,0.904
1727,1.06
1728,0.965
1729,1.047
1730,0.974
1731,0.986
1732,0.891
1733,0.89
1734,1.055
1735,0.824
1736,0.817
1737,0.881
1738,0.825
1739,0.888
1740,1.029
1741,0.945
1742,0.828
1743,0.721
1744,0.793
1745,0.987
1746,0.995
1747,0.906
1748,0.881
1749,0.914
1750,0.917
1751,0.946
1752,0.969
1753,1.06
1754,0.955
1755,0.999
1756,1.065
1757,1.155
1758,1.238
1759,1.311
1760,1.344
1761,1.03
1762,1.03
1763,1.09
1764,1.149
1765,1.14
1766,1.182
1767,1.122
1768,1.383
1769,1.036
1770,1.206
1771,1.101
1772,0.881
1773,1.042
1774,0.618
1775,0.999
1776,1.058
1777,1.022
1778,1.015
1779,0.793
1780,0.927
1781,0.91
1782,1.045
1783,0.789
1784,0.727
1785,0.981
1786,1.184
1787,1.233
1788,1.09
1789,1.017
1790,0.953
1791,1.059
1792,0.957
1793,0.987
1794,1.06
1795,0.987
1796,1.028
1797,1.064
1798,1.021
1799,0.951
1800,1.081
1801,1.079
1802,1.176
1803,1.057
1804,1.076
1805,1.013
1806,0.845
1807,0.956
1808,1.002
1809,1.118
1810,1.373
1811,1.196
1812,1.022
1813,0.936
1814,0.807
1815,1.016
1816,1.006
1817,0.971
1818,1.006
1819,0.901
1820,0.931
1821,0.914
1822,1.053
1823,0.983
1824,1.032
1825,1.001
1826,0.812
1827,1.056
1828,1.015
1829,1.029
1830,1.034
1831,1
1832,0.895
1833,1.066
1834,1.004
1835,1.056
1836,1.098
1837,0.959
1838,1.028
1839,0.951
1840,1.15
1841,1.092
1842,1.001
1843,0.925
1844,0.891
1845,0.931
1846,0.972
1847,1.007
1848,0.967
1849,1.003
1850,1.012
1851,0.748
1852,0.804
1853,0.943
1854,0.692
1855,0.879
1856,0.853
1857,1.066
1858,0.932
1859,0.934
1860,0.962
1861,1.076
1862,1.101
1863,0.944
1864,0.993
1865,0.928
1866,0.97
1867,0.981
1868,0.982
1869,1.048
1870,1.028
1871,0.95
1872,0.915
1873,0.986
1874,0.875
1875,0.903
1876,1.078
1877,1.095
1878,1.068
1879,0.855
1880,0.965
1881,1.016
1882,1.125
1883,1.024
1884,1.063
1885,0.882
1886,1.047
1887,0.908
1888,0.956
1889,1.052
1890,1.076
1891,1.185
1892,1.326
1893,1.191
1894,1.151
1895,1.109
1896,1.119
1897,1.242
1898,0.902
1899,0.93
1900,1.026
1901,0.976
1902,1.075
1903,1.092
1904,1.092
1905,1.122
1906,1.031
1907,0.967
1908,0.938
1909,0.986
1910,1.04
1911,0.804
1912,1.063
1913,0.979
1914,0.823
1915,0.969
1916,1.107
1917,1.013
1918,0.935
1919,0.888
1920,0.915
1921,1.014
1922,1.04
1923,0.883
1924,1.112
1925,1.314
1926,1.113
1927,0.818
1928,0.907
1929,0.795
1930,0.893
