year,rwi
1890,0.765
1891,0.61
1892,0.876
1893,0.992
1894,1.085
1895,1.205
1896,0.714
1897,0.947
1898,1.393
1899,1.281
1900,0.839
1901,0.917
1902,0.818
1903,1.139
1904,0.808
1905,0.968
1906,1.187
1907,0.988
1908,0.905
1909,1.212
1910,1.168
1911,0.835
1912,0.77
1913,1.001
1914,0.849
1915,1.065
1916,0.882
1917,0.887
1918,1.027
1919,1.283
1920,0.922
1921,1.234
1922,0.952
1923,0.975
1924,0.602
1925,0.924
1926,1.197
1927,0.691
1928,1.282
1929,1.562
1930,0.988
1931,0.887
1932,1.293
1933,0.957
1934,0.727
1935,0.993
1936,0.86
1937,0.945
1938,0.788
1939,1.41
1940,1.081
1941,0.867
1942,0.972
1943,0.984
1944,0.719
1945,0.269
1946,0.555
1947,0.579
1948,0.917
1949,0.938
1950,0.96
1951,0.567
1952,1.193
1953,1.384
1954,1.211
1955,1.184
1956,0.9
1957,0.98
1958,1.055
1959,1.575
1960,0.894
1961,0.335
1962,0.787
1963,1.203
1964,0.968
1965,0.755
1966,0.995
1967,0.491
1968,0.575
1969,0.681
1970,1.116
1971,0.774
1972,0.973
1973,1.167
1974,0.944
1975,1.123
1976,1.552
1977,1.065
1978,0.812
1979,1.222
1980,1.391
1981,1.007
1982,0.884
1983,1.003
1984,1.258
1985,1.088
1986,0.786
1987,1.047
1988,0.58
1989,0.528
1990,0.655
1991,1.456
1992,2.463
1993,0.706
1994,0.608
1995,0.824
1996,1.356
1997,0.656
1998,0.908
1999,0.923
2000,1.066
2001,0.789
2002,0.245
2003,1.105
