year,rwi
1874,0.851
1875,0.381
1876,0.068
1877,0.261
1878,0.541
1879,0.559
1880,0.719
1881,0.711
1882,0.66
1883,1.145
1884,2.03
1885,2.758
1886,2.239
1887,1.575
1888,0.46
1889,0.622
1890,0.877
1891,0.772
1892,1.115
1893,0.384
1894,0.664
1895,0.473
1896,0.643
1897,0.588
1898,1.061
1899,0.899
1900,0.711
1901,0.73
1902,0.572
1903,0.565
1904,1.362
1905,0.956
1906,1.052
1907,1.378
1908,0.933
1909,0.921
1910,0.804
1911,1.24
1912,1.119
1913,1.018
1914,1.002
1915,1.294
1916,1.011
1917,0.647
1918,1.01
1919,0.978
1920,0.837
1921,1.123
1922,0.78
1923,0.903
1924,0.691
1925,0.747
1926,1.188
1927,0.628
1928,0.894
1929,1.292
1930,1.141
1931,0.725
1932,1.184
1933,1.518
1934,0.949
1935,0.946
1936,0.885
1937,0.663
1938,0.438
1939,1.101
1940,0.81
1941,0.856
1942,1.026
1943,1.035
1944,0.656
1945,0.395
1946,1.036
1947,0.564
1948,0.722
1949,1.403
1950,1.247
1951,0.808
1952,0.976
1953,1.073
1954,1.044
1955,0.806
1956,0.774
1957,0.916
1958,1.153
1959,1.711
1960,1.259
1961,0.678
1962,0.939
1963,1.185
1964,1.356
1965,0.981
1966,0.809
1967,0.711
1968,0.854
1969,0.699
1970,1.155
1971,0.982
1972,1.389
1973,1.331
1974,0.844
1975,0.838
1976,1.335
1977,1.232
1978,0.683
1979,0.775
1980,0.907
1981,0.903
1982,0.744
1983,0.958
1984,0.886
1985,0.995
1986,0.643
1987,1.1
1988,0.679
1989,0.766
1990,1.098
1991,1.325
1992,1.856
1993,1.424
1994,0.721
1995,0.432
1996,1.189
1997,0.838
1998,0.909
1999,1.275
2000,0.956
2001,0.927
2002,0.252
2003,1.416
