year,rwi
1694,1.271
1695,1.238
1696,0.681
1697,0.74
1698,0.935
1699,0.979
1700,0.984
1701,0.87
1702,1.088
1703,1.191
1704,1.207
1705,1.313
1706,1.343
1707,1.16
1708,1.063
1709,1.33
1710,1.248
1711,1.054
1712,1.075
1713,0.818
1714,0.986
1715,0.923
1716,1.133
1717,1.141
1718,1.161
1719,1.063
1720,1.218
1721,1.408
1722,1.297
1723,1.254
1724,1.452
1725,0.784
1726,0.629
1727,0.891
1728,1.009
1729,1.204
1730,0.891
1731,0.725
1732,0.729
1733,0.894
1734,0.965
1735,1.182
1736,1.283
1737,1.097
1738,1.282
1739,1.078
1740,0.91
1741,0.879
1742,1.028
1743,0.935
1744,0.919
1745,0.854
1746,0.713
1747,1.041
1748,1.17
1749,1.086
1750,0.955
1751,1.047
1752,0.83
1753,1.078
1754,1.027
1755,1.254
1756,0.968
1757,1.076
1758,0.972
1759,0.679
1760,0.877
1761,0.908
1762,0.762
1763,0.587
1764,0.715
1765,0.631
1766,0.805
1767,0.905
1768,0.856
1769,1.082
1770,1.09
1771,0.936
1772,1.008
1773,1.081
1774,1.209
1775,1.162
1776,1.013
1777,1.058
1778,1.18
1779,0.788
1780,1.199
1781,1.14
1782,0.99
1783,1.22
1784,1.025
1785,1.142
1786,1.157
1787,0.84
1788,1.012
1789,0.957
1790,0.84
1791,1.05
1792,1.066
1793,0.882
1794,0.954
1795,1.202
1796,0.994
1797,1.047
1798,1.023
1799,0.657
1800,0.67
1801,0.753
1802,0.861
1803,0.878
1804,0.825
1805,0.79
1806,0.98
1807,0.91
1808,0.873
1809,0.934
1810,0.929
1811,0.909
1812,0.988
1813,0.878
1814,0.805
1815,0.879
1816,1.023
1817,1.075
1818,1.252
1819,1.043
1820,0.917
1821,1.022
1822,0.829
1823,0.783
1824,0.773
1825,0.674
1826,0.842
1827,1.191
1828,0.987
1829,0.989
1830,0.999
1831,1.082
1832,1.077
1833,1.146
1834,0.903
1835,1.512
1836,1.245
1837,1.178
1838,1.395
1839,1.165
1840,0.892
1841,1.04
1842,0.99
1843,1.124
1844,1.058
1845,0.998
1846,1.046
1847,0.898
1848,1.098
1849,0.899
1850,0.884
1851,0.814
1852,0.86
1853,1.042
1854,0.796
1855,1.329
1856,0.824
1857,1.347
1858,0.935
1859,0.936
1860,0.737
1861,0.887
1862,0.896
1863,0.811
1864,0.882
1865,1.073
1866,1.006
1867,0.812
1868,0.986
1869,0.866
1870,0.834
1871,0.93
1872,1.097
1873,1.061
1874,0.871
1875,0.924
1876,1.563
1877,1.217
1878,0.872
1879,0.769
1880,0.985
1881,0.996
1882,1.04
1883,1.092
1884,1.09
1885,1.225
1886,1.031
1887,0.912
1888,0.96
1889,1.264
1890,0.98
1891,0.875
1892,0.883
1893,0.681
1894,0.729
1895,0.738
1896,0.874
1897,0.927
1898,0.756
1899,0.853
1900,1.329
1901,1.19
1902,1.058
1903,1.463
1904,1.21
1905,1.067
1906,0.927
1907,0.436
1908,0.551
1909,0.639
1910,0.942
1911,0.883
1912,0.897
1913,1.262
1914,1.445
1915,1.197
1916,1.002
1917,1.124
1918,1.009
1919,1.379
1920,1.025
1921,0.894
1922,1.039
1923,1.045
1924,1.224
1925,1.32
1926,1.205
1927,0.77
1928,0.692
1929,0.822
1930,1.117
1931,1.03
1932,0.776
1933,1.041
1934,1.063
1935,0.712
1936,1.221
1937,0.976
1938,0.807
1939,0.945
1940,1.009
1941,0.872
1942,0.885
1943,1.115
1944,0.988
1945,0.696
1946,0.821
1947,0.863
1948,1.092
1949,0.835
1950,0.891
1951,1.011
1952,1.252
1953,0.736
1954,0.842
1955,0.859
1956,0.751
1957,0.809
1958,1.185
1959,0.857
1960,1.128
1961,0.805
1962,0.932
1963,0.956
1964,0.877
1965,0.846
1966,1.414
1967,0.877
1968,1.366
1969,1.124
1970,1.066
1971,0.87
1972,1.452
1973,0.861
1974,1.037
1975,1.128
1976,1.076
1977,1.069
1978,1.101
1979,1.282
1980,0.835
1981,0.994
1982,1.333
1983,1.002
1984,1.015
1985,0.709
1986,0.929
1987,0.894
1988,0.954
1989,0.924
1990,1.204
1991,1.139
1992,1.274
1993,1.038
1994,0.901
1995,1.092
1996,0.897
1997,1.078
1998,0.929
1999,0.743
2000,0.646
2001,0.849
