year,rwi
1735,2.108
1736,0.784
1737,0.85
1738,0.792
1739,1.426
1740,1.359
1741,1.044
1742,0.59
1743,0.667
1744,1.138
1745,1.364
1746,1.211
1747,1.361
1748,1.443
1749,1.254
1750,0.611
1751,0.781
1752,0.699
1753,1.251
1754,1.077
1755,0.978
1756,1.069
1757,0.837
1758,1.624
1759,0.91
1760,0.969
1761,0.881
1762,0.715
1763,0.481
1764,0.492
1765,0.756
1766,0.536
1767,0.779
1768,0.847
1769,0.782
1770,0.792
1771,0.875
1772,0.538
1773,0.641
1774,0.744
1775,0.785
1776,0.515
1777,0.545
1778,0.907
1779,1.423
1780,0.784
1781,1.108
1782,1.176
1783,0.973
1784,0.916
1785,0.465
1786,0.568
1787,1.062
1788,1.102
1789,0.395
1790,0.365
1791,0.581
1792,1.091
1793,1.318
1794,1.444
1795,1.559
1796,1.052
1797,1.407
1798,1.135
1799,2.146
1800,1.712
1801,0.953
1802,1.11
1803,1.374
1804,0.929
1805,0.577
1806,0.811
1807,0.896
1808,0.642
1809,1.502
1810,1.126
1811,0.837
1812,1.155
1813,0.811
1814,1.138
1815,1.158
1816,0.871
1817,1.276
1818,0.883
1819,0.735
1820,1.08
1821,0.965
1822,0.774
1823,0.932
1824,0.99
1825,1.534
1826,1.114
1827,1.106
1828,1.033
1829,0.871
1830,0.753
1831,0.659
1832,0.829
1833,1.523
1834,1.522
1835,0.646
1836,1.609
1837,0.829
1838,1.393
1839,0.851
1840,1.182
1841,0.719
1842,0.566
1843,1.304
1844,0.998
1845,0.928
1846,1.105
1847,1.034
1848,0.652
1849,0.752
1850,0.876
1851,0.774
1852,0.724
1853,1.266
1854,1.143
1855,0.545
1856,0.757
1857,0.495
1858,0.916
1859,0.411
1860,0.719
1861,0.826
1862,0.587
1863,0.651
1864,1.184
1865,0.8
1866,1.209
1867,1.867
1868,1.731
1869,2.201
1870,1.763
1871,1.307
1872,1.01
1873,1.61
1874,1.368
1875,0.879
1876,0.786
1877,0.812
1878,0.752
1879,0.639
1880,1.447
1881,1.01
1882,1.018
1883,0.99
1884,1.455
1885,1.095
1886,0.538
1887,0.595
1888,1.297
1889,1.101
1890,1.926
1891,1.45
1892,1.095
1893,0.851
1894,0.681
1895,1.103
1896,0.71
1897,0.763
1898,0.85
1899,0.86
1900,1.071
1901,0.489
1902,0.805
1903,1.038
1904,0.947
1905,1.383
1906,0.494
1907,0.56
1908,0.982
1909,0.622
1910,0.805
1911,0.816
1912,0.554
1913,0.683
1914,1.319
1915,0.968
1916,0.986
1917,0.37
1918,0.327
1919,0.979
1920,1.367
1921,1.155
1922,1.251
1923,0.852
1924,1.337
1925,0.421
1926,1.396
1927,1.188
1928,0.988
1929,1.301
1930,1.61
1931,1.287
1932,1.368
1933,1.374
1934,0.681
1935,1.172
1936,1.3
1937,1.004
1938,1.146
1939,0.703
1940,1.053
1941,1.754
1942,1.163
1943,0.875
1944,1.182
1945,1.268
1946,1.794
1947,1.379
1948,0.712
1949,1.218
1950,1.116
1951,0.888
1952,0.903
1953,1.068
1954,0.507
1955,0.491
1956,0.451
1957,0.908
1958,0.756
1959,0.898
1960,0.792
1961,0.57
1962,0.682
1963,0.684
1964,0.569
1965,1.555
1966,1.109
1967,0.667
1968,1.59
1969,1.252
1970,1.385
1971,0.58
1972,0.95
1973,1.026
1974,0.813
1975,1.312
1976,1.305
1977,1.32
1978,0.483
1979,1.121
1980,1.242
1981,1.007
1982,1.422
