year,rwi
1433,1.255
1434,1.188
1435,1.514
1436,1.388
1437,1.129
1438,0.783
1439,1.113
1440,1.092
1441,0.816
1442,0.795
1443,1.239
1444,1.047
1445,0.976
1446,1.153
1447,1.021
1448,0.949
1449,1.316
1450,1.057
1451,1.162
1452,0.988
1453,1.285
1454,0.663
1455,0.999
1456,0.823
1457,0.477
1458,0.349
1459,0.298
1460,0.234
1461,0.314
1462,0.525
1463,0.527
1464,0.569
1465,0.65
1466,0.533
1467,0.682
1468,0.577
1469,0.781
1470,0.905
1471,0.881
1472,1.061
1473,1.011
1474,1.19
1475,0.919
1476,1.063
1477,1.008
1478,1.081
1479,0.923
1480,0.918
1481,0.979
1482,0.901
1483,0.881
1484,0.867
1485,1.023
1486,0.993
1487,1.044
1488,1.084
1489,1.174
1490,0.78
1491,0.546
1492,0.462
1493,0.425
1494,0.637
1495,0.591
1496,0.475
1497,0.615
1498,0.528
1499,0.442
1500,0.606
1501,0.67
1502,0.929
1503,0.824
1504,0.938
1505,0.84
1506,0.774
1507,0.849
1508,0.929
1509,0.824
1510,0.704
1511,1
1512,1.108
1513,1.371
1514,1.444
1515,1.608
1516,1.429
1517,1.508
1518,1.135
1519,1.241
1520,1.377
1521,1.267
1522,1.304
1523,1.249
1524,1.177
1525,0.999
1526,1.054
1527,1.26
1528,1.091
1529,1.288
1530,1.236
1531,1.011
1532,0.957
1533,1.053
1534,1.177
1535,1.306
1536,1.123
1537,1.007
1538,0.9
1539,1.264
1540,1.071
1541,1.129
1542,0.952
1543,0.966
1544,0.952
1545,1.055
1546,1.217
1547,1
1548,1.033
1549,1.076
1550,1.288
1551,1.152
1552,1.08
1553,1.188
1554,1.249
1555,1.026
1556,1.039
1557,0.983
1558,1.212
1559,0.94
1560,1.022
1561,1.097
1562,1.15
1563,1.153
1564,1.107
1565,1.183
1566,1.191
1567,1.168
1568,1.22
1569,1.12
1570,1.046
1571,0.893
1572,0.922
1573,0.997
1574,1.033
1575,1.168
1576,1.429
1577,1.128
1578,1
1579,1.152
1580,1.004
1581,0.991
1582,1.052
1583,1.207
1584,0.888
1585,0.792
1586,0.956
1587,0.95
1588,0.932
1589,1.021
1590,0.905
1591,0.901
1592,0.866
1593,0.879
1594,1.025
1595,0.982
1596,0.879
1597,1.183
1598,0.833
1599,0.795
1600,0.82
1601,0.707
1602,1.006
1603,0.997
1604,0.765
1605,0.766
1606,0.774
1607,0.848
1608,0.943
1609,1.102
1610,1.039
1611,1.021
1612,0.777
1613,0.856
1614,1.092
1615,0.897
1616,0.886
1617,1.083
1618,0.808
1619,1.032
1620,0.987
1621,0.805
1622,0.81
1623,0.915
1624,0.931
1625,1.02
1626,1.038
1627,1.057
1628,1.118
1629,1.121
1630,1.1
1631,1.073
1632,1.138
1633,1.008
1634,1.178
1635,0.86
1636,0.987
1637,0.977
1638,1.022
1639,0.955
1640,0.858
1641,0.718
1642,0.879
1643,0.887
1644,0.862
1645,0.868
1646,0.786
1647,0.809
1648,0.9
1649,1.031
1650,0.924
1651,0.99
1652,1.064
1653,0.887
1654,1.084
1655,1.092
1656,1.111
1657,1.085
1658,1.084
1659,1.049
1660,0.866
1661,1.014
1662,0.891
1663,0.82
1664,0.867
1665,0.75
1666,0.732
1667,0.781
1668,0.828
1669,0.848
1670,0.786
1671,0.806
1672,0.854
1673,0.8
1674,0.908
1675,0.97
1676,0.912
1677,0.897
1678,1.012
1679,1.118
1680,0.973
1681,0.763
1682,0.917
1683,1.021
1684,0.904
1685,0.87
1686,0.884
1687,0.965
1688,1.009
1689,0.992
1690,1.062
1691,1.125
1692,1.164
1693,1.16
1694,1.189
1695,0.97
1696,0.997
1697,1.189
1698,1.151
1699,1.032
1700,0.935
1701,1.114
1702,0.902
1703,0.927
1704,1.028
1705,0.937
1706,0.831
1707,0.872
1708,0.953
1709,1.179
1710,1.134
1711,0.972
1712,1.038
1713,0.992
1714,1.012
1715,1.144
1716,1.066
1717,1.106
1718,1.25
1719,1.187
1720,1.102
1721,1.066
1722,0.988
1723,0.907
1724,1.245
1725,1.209
1726,1.228
1727,1.029
1728,0.912
1729,0.803
1730,0.912
1731,1.008
1732,0.982
1733,0.956
1734,0.978
1735,0.888
1736,0.806
1737,0.909
1738,0.948
1739,1.165
1740,0.93
1741,0.987
1742,1.137
1743,1.24
1744,1.112
1745,1.002
1746,1.085
1747,1.17
1748,0.929
1749,0.961
1750,1.114
1751,1.167
1752,1.17
1753,1.237
1754,1.088
1755,0.906
1756,1.152
1757,1.273
1758,1.013
1759,0.865
1760,0.886
1761,0.715
1762,0.801
1763,0.5
1764,0.548
1765,0.716
1766,0.729
1767,0.866
1768,0.779
1769,0.719
1770,0.707
1771,0.94
1772,0.849
1773,0.968
1774,0.967
1775,0.984
1776,1.012
1777,1.052
1778,0.991
1779,1.04
1780,1.213
1781,1.068
1782,0.892
1783,1.16
1784,1.195
1785,1.271
1786,1.135
1787,1.284
1788,1.282
1789,1.052
1790,1.008
1791,1.047
1792,1.014
1793,0.968
1794,1.112
1795,1.255
1796,1.257
1797,1.262
1798,1.273
1799,1.034
1800,1.029
1801,1.212
1802,1.219
1803,0.967
1804,1.117
1805,1.124
1806,1.164
1807,1.154
1808,1.152
1809,0.968
1810,1.015
1811,1.014
1812,1.055
1813,0.837
1814,0.977
1815,0.978
1816,1.172
1817,1.164
1818,0.903
1819,1.006
1820,0.976
1821,1.055
1822,1.018
1823,0.934
1824,0.886
1825,0.904
1826,0.942
1827,1.14
1828,1.19
1829,1.267
1830,1.104
1831,1.342
1832,0.943
1833,1.063
1834,0.954
1835,0.928
1836,0.626
1837,0.949
1838,0.736
1839,0.896
1840,0.836
1841,0.758
1842,0.893
1843,1.054
1844,0.841
1845,0.856
1846,1.014
1847,0.876
1848,1.053
1849,1.022
1850,1.039
1851,1.001
1852,0.956
1853,1.001
1854,1.185
1855,1.116
1856,1.139
1857,1.015
1858,0.994
1859,1.172
1860,0.982
1861,1.017
1862,0.944
1863,1.108
1864,0.936
1865,0.884
1866,1.072
1867,1.157
1868,0.967
1869,0.95
1870,1.058
1871,1.099
1872,0.942
1873,1.194
1874,1.109
1875,0.912
1876,1.164
1877,1.118
1878,1.111
1879,0.925
1880,0.89
1881,1.193
1882,0.894
1883,0.904
1884,0.927
1885,1.004
1886,1.086
1887,0.962
1888,1.082
1889,0.939
1890,1.031
1891,0.909
1892,0.976
1893,0.839
1894,0.797
1895,0.794
1896,0.956
1897,0.929
1898,1.157
1899,0.92
1900,0.985
1901,0.992
1902,0.816
1903,0.919
1904,0.882
1905,0.94
1906,0.873
1907,1.047
1908,1.113
1909,1.219
1910,1.163
1911,1.055
1912,1.058
1913,0.979
1914,1.057
1915,1.009
1916,0.973
1917,1.161
1918,1.012
1919,1.077
1920,0.96
1921,1.091
1922,1.191
1923,0.963
1924,0.788
1925,0.814
1926,0.888
1927,1.07
1928,1.033
1929,1.134
1930,1.057
1931,1.022
1932,1.124
1933,1.237
1934,0.812
1935,0.914
1936,0.733
1937,0.801
1938,0.774
1939,0.809
