year,rwi
1919,0.643
1920,0.849
1921,0.56
1922,0.616
1923,0.52
1924,0.706
1925,0.49
1926,0.946
1927,1.118
1928,1.547
1929,1.053
1930,0.635
1931,0.778
1932,1.926
1933,2.655
1934,3.113
1935,2.077
1936,1.957
1937,2.2
1938,2.342
1939,2.077
1940,1.938
1941,1.997
1942,1.908
1943,1.899
1944,1.689
1945,1.682
1946,1.733
1947,1.734
1948,1.842
1949,1.775
1950,1.578
1951,1.622
1952,1.073
1953,1.408
1954,0.778
1955,1.431
1956,1.203
1957,1.234
1958,1.104
1959,1.028
1960,1.028
1961,1.165
1962,0.708
1963,0.686
1964,0.643
1965,1.071
1966,0.676
1967,1.764
1968,2.13
1969,1.702
1970,1.923
1971,1.92
1972,2.558
1973,2.013
1974,2.159
1975,1.916
1976,1.748
1977,1.022
1978,1.721
1979,1.986
1980,3.174
1981,2.627
1982,3.054
1983,2.51
1984,2.434
1985,2.552
1986,2.293
1987,2.661
1988,2.965
1989,2.597
1990,3.002
1991,2.332
1992,2.444
1993,2.401
1994,2.589
1995,2.816
1996,2.984
1997,2.437
1998,2.558
1999,1.895
2000,2.367
2001,2.247
2002,1.658
2003,1.746
2004,2.411
2005,2.628
2006,2.169
