year,rwi
1030,1.028
1031,1.082
1032,1.154
1033,1.351
1034,1.373
1035,1.393
1036,1.138
1037,1.275
1038,1.053
1039,1.093
1040,1.103
1041,1.147
1042,1.104
1043,1.056
1044,0.993
1045,0.849
1046,0.895
1047,0.957
1048,0.85
1049,0.77
1050,0.764
1051,0.897
1052,0.798
1053,1.094
1054,1.132
1055,0.619
1056,0.8
1057,0.954
1058,0.698
1059,0.849
1060,0.829
1061,0.686
1062,0.812
1063,0.697
1064,0.658
1065,0.715
1066,0.604
1067,0.94
1068,0.811
1069,0.973
1070,1.149
1071,0.979
1072,0.981
1073,1.085
1074,1.024
1075,0.872
1076,0.91
1077,0.83
1078,0.931
1079,0.769
1080,1.004
1081,0.903
1082,0.9
1083,0.961
1084,0.77
1085,0.801
1086,0.839
1087,0.684
1088,0.651
1089,0.622
1090,0.756
1091,1.317
1092,0.933
1093,1.046
1094,1.079
1095,1.4
1096,0.892
1097,1.024
1098,1.179
1099,1.1
1100,1.119
1101,0.985
1102,0.981
1103,0.864
1104,0.942
1105,1.202
1106,1.053
1107,1.427
1108,1.063
1109,1.197
1110,1.269
1111,1.049
1112,1.244
1113,1.098
1114,1.208
1115,1.083
1116,1.243
1117,1.031
1118,0.944
1119,1.178
1120,1.319
1121,1.469
1122,0.86
1123,1.31
1124,1.275
1125,1.198
1126,1.362
1127,1.181
1128,1.261
1129,1.099
1130,1.119
1131,1.383
1132,1.22
1133,1.234
1134,1.054
1135,1.184
1136,1.259
1137,0.897
1138,0.993
1139,0.974
1140,1.075
1141,1.24
1142,1.247
1143,1.315
1144,1.303
1145,1.348
1146,1.292
1147,1.413
1148,1.573
1149,1.373
1150,1.444
1151,1.011
1152,0.973
1153,0.998
1154,0.818
1155,0.972
1156,1.32
1157,0.871
1158,0.835
1159,0.92
1160,0.87
1161,0.771
1162,0.858
1163,0.653
1164,1.215
1165,0.977
1166,0.969
1167,0.948
1168,0.845
1169,1.092
1170,0.809
1171,1.267
1172,1.248
1173,1.3
1174,1.223
1175,0.959
1176,0.815
1177,0.914
1178,1.481
1179,1.331
1180,1.4
1181,1.066
1182,1.167
1183,1.323
1184,1.157
1185,1.225
1186,1.103
1187,1.397
1188,1.212
1189,1.391
1190,1.523
1191,1.224
1192,1.235
1193,1.276
1194,1.607
