year,rwi
1865,1.016
1866,0.834
1867,0.734
1868,0.624
1869,0.582
1870,0.723
1871,0.626
1872,0.53
1873,0.538
1874,0.889
1875,0.852
1876,0.52
1877,0.711
1878,0.905
1879,1.097
1880,1.46
1881,1.267
1882,1.284
1883,1.387
1884,1.214
1885,1.379
1886,1.301
1887,1.464
1888,1.337
1889,1.319
1890,1.181
1891,1.11
1892,1.156
1893,1.137
1894,1.205
1895,1.317
1896,1.293
1897,1.057
1898,1.223
1899,1.289
1900,1.349
1901,1.493
1902,1.491
1903,1.839
1904,1.877
1905,1.52
1906,1.999
1907,1.814
1908,1.9
1909,1.887
1910,1.703
1911,1.903
1912,1.479
1913,1.472
1914,1.675
1915,1.741
1916,1.72
1917,1.637
1918,1.355
1919,1.645
1920,1.653
1921,2.012
1922,1.606
1923,1.355
1924,1.68
1925,1.288
1926,1.417
1927,1.496
1928,1.692
1929,1.441
1930,1.577
1931,1.771
1932,1.293
1933,1.299
1934,1.414
1935,1.498
1936,0.853
1937,1.639
1938,1.442
1939,1.595
1940,1.251
1941,1.288
1942,1.261
1943,1.561
1944,1.313
1945,1.212
1946,1.263
1947,1.721
1948,1.257
1949,1.644
1950,1.42
1951,1.677
1952,1.738
1953,1.441
1954,1.452
1955,2.197
1956,1.545
1957,1.716
1958,1.722
1959,1.707
1960,1.385
1961,1.839
1962,1.573
1963,1.629
1964,1.312
1965,1.215
1966,1.364
1967,1.588
1968,1.298
1969,1.774
1970,1.775
1971,1.514
1972,1.602
1973,1.949
1974,1.703
1975,1.71
1976,1.81
1977,1.734
1978,2.1
1979,1.62
1980,1.138
1981,1.348
1982,1.538
1983,1.704
1984,1.737
1985,1.668
1986,1.223
1987,1.719
1988,1.055
1989,0.829
1990,1.386
1991,1.384
1992,1.105
1993,1.172
1994,1.546
1995,1.229
1996,0.985
1997,1.196
1998,1.198
1999,1.41
2000,1.055
2001,0.878
2002,1.075
2003,0.989
2004,1.02
2005,1.144
