year,rwi
1502,1.281
1503,1.09
1504,0.857
1505,1.03
1506,1.023
1507,1.016
1508,0.921
1509,0.827
1510,1.081
1511,0.859
1512,0.939
1513,1.059
1514,1.094
1515,1.003
1516,0.997
1517,0.743
1518,0.861
1519,0.611
1520,1.092
1521,1.085
1522,1.038
1523,0.635
1524,0.631
1525,0.862
1526,0.935
1527,1.045
1528,1.077
1529,1.223
1530,0.95
1531,1.096
1532,0.676
1533,1.195
1534,1.263
1535,0.665
1536,0.809
1537,0.914
1538,1.091
1539,0.76
1540,0.901
1541,0.932
1542,0.928
1543,0.888
1544,1.168
1545,1.269
1546,1.124
1547,0.735
1548,0.732
1549,0.66
1550,1.143
1551,1.071
1552,1.723
1553,1.272
1554,1.613
1555,1.644
1556,1.71
1557,1.23
1558,1.331
1559,1.262
1560,1.261
1561,0.988
1562,1.09
1563,1.158
1564,1.09
1565,1.363
1566,0.818
1567,1.126
1568,0.888
1569,1.025
1570,0.958
1571,0.959
1572,1.063
1573,0.995
1574,0.928
1575,1.239
1576,1.447
1577,0.793
1578,0.483
1579,0.622
1580,0.9
1581,0.97
1582,0.659
1583,0.625
1584,0.833
1585,0.591
1586,1.147
1587,1.098
1588,0.58
1589,1.084
1590,1.068
1591,1.015
1592,0.954
1593,0.904
1594,0.939
1595,0.833
1596,1.065
1597,1.102
1598,1.31
1599,1.163
1600,1.297
1601,1.122
1602,1.131
1603,1.042
1604,1.023
1605,0.971
1606,0.923
1607,0.972
1608,1.109
1609,1.17
1610,0.931
1611,0.859
1612,1.157
1613,1.033
1614,0.877
1615,1.116
1616,1.052
1617,1.157
1618,1.011
1619,0.9
1620,0.895
1621,0.845
1622,0.926
1623,1.106
1624,0.811
1625,0.949
1626,0.883
1627,0.889
1628,0.863
1629,0.834
1630,0.959
1631,0.992
1632,0.918
1633,0.953
1634,1.046
1635,0.737
1636,0.797
1637,0.962
1638,0.873
1639,1.144
1640,1.093
1641,1.141
1642,0.956
1643,1.018
1644,0.993
1645,0.943
1646,1.014
1647,1.042
1648,0.808
1649,0.945
1650,0.843
1651,0.784
1652,0.981
1653,1.054
1654,0.844
1655,1.03
1656,1.084
1657,1.109
1658,0.977
1659,1.099
1660,1.14
1661,1.137
1662,1.038
1663,1.145
1664,1.161
1665,1.306
1666,1.158
1667,1.237
1668,1.077
1669,0.976
1670,1.205
1671,1.267
1672,1.084
1673,0.96
1674,1.009
1675,0.889
1676,0.886
1677,0.772
1678,0.879
1679,0.95
1680,0.924
1681,0.731
1682,0.833
1683,0.913
1684,0.902
1685,0.67
1686,1.023
1687,0.781
1688,1.049
1689,0.965
1690,1.137
1691,1.032
1692,1.201
1693,1.388
1694,1.074
1695,0.809
1696,1.083
1697,0.913
1698,1.093
1699,1.095
1700,0.861
1701,1.184
1702,0.903
1703,0.916
1704,0.923
1705,0.759
1706,0.891
1707,0.899
1708,0.857
1709,0.843
1710,0.996
1711,0.885
1712,0.927
1713,0.91
1714,0.886
1715,1.098
1716,0.955
1717,0.896
1718,1.043
1719,1.114
1720,1.133
1721,1.014
1722,1.259
1723,1.426
1724,1.237
1725,1.272
1726,1.1
1727,1.359
1728,1.288
1729,1.048
1730,1.238
1731,1.139
1732,1.206
1733,1.218
1734,1.08
1735,0.97
1736,1.105
1737,0.887
1738,0.945
1739,1.157
1740,1.102
1741,1.023
1742,0.953
1743,1.003
1744,0.952
1745,0.826
1746,0.871
1747,0.649
1748,1.027
1749,0.779
1750,0.82
1751,0.845
1752,0.815
1753,0.825
1754,0.776
1755,0.635
1756,0.668
1757,0.827
1758,0.938
1759,0.734
1760,0.819
1761,0.844
1762,0.964
1763,0.917
1764,0.965
1765,0.931
1766,0.836
1767,0.897
1768,0.747
1769,0.833
1770,0.836
1771,1.046
1772,1.009
1773,1.042
1774,1.324
1775,1.132
1776,0.848
1777,0.897
1778,1.337
1779,1.24
1780,1.104
1781,1.185
1782,1.108
1783,0.963
1784,1.235
1785,1.096
1786,0.99
1787,1.154
1788,0.752
1789,0.933
1790,0.966
1791,0.943
1792,1.04
1793,1.099
1794,1.1
1795,1.265
1796,1.405
1797,1.182
1798,1.319
1799,1.47
1800,1.068
1801,1.151
1802,1.224
1803,1.086
1804,1.063
1805,1.233
1806,1.346
1807,1.231
1808,1.16
1809,0.942
1810,0.774
1811,0.72
1812,0.851
1813,0.805
1814,0.828
1815,0.923
1816,0.832
1817,0.902
1818,0.883
1819,0.892
1820,0.942
1821,0.882
1822,0.553
1823,0.975
1824,0.743
1825,0.686
1826,0.92
1827,0.959
1828,0.831
