year,rwi
1638,2.14
1639,2.15
1640,2.59
1641,3.1
1642,2.88
1643,5.88
1644,3.83
1645,4.41
1646,3.77
1647,3.87
1648,4.22
1649,4.81
1650,5.35
1651,5.89
1652,5.42
1653,5.11
1654,5.29
1655,3.7
1656,3.16
1657,2.9
1658,3.26
1659,2.52
1660,2.32
1661,1.73
1662,1.54
1663,1.12
1664,1.46
1665,1.23
1666,1.43
1667,1.42
1668,1.52
1669,1.54
1670,1.07
1671,1.33
1672,1.19
1673,1.08
1674,0.92
1675,0.84
1676,1.16
1677,1.84
1678,2.215
1679,3.04
1680,1.551
1681,1.795
1682,1.521
1683,2.183
1684,1.852
1685,1.284
1686,1.327
1687,1.73
1688,1.412
1689,1.206
1690,1.29
1691,1.225
1692,1.157
1693,1.745
1694,3.025
1695,2.759
1696,2.643
1697,2.129
1698,2.046
1699,2.392
1700,1.575
1701,2.176
1702,2.582
1703,1.969
1704,2.061
1705,2.131
1706,2.332
1707,1.73
1708,1.576
1709,1.669
1710,1.808
1711,1.998
1712,2.173
1713,1.77
1714,1.716
1715,2.155
1716,1.868
1717,1.836
1718,2.136
1719,2.538
1720,2.53
1721,2.395
1722,2.469
1723,2.609
1724,2.803
1725,2.586
1726,2.938
1727,2.58
1728,1.852
1729,1.5
1730,2.005
1731,2.348
1732,2.593
1733,2.241
1734,2.993
1735,2.932
1736,2.926
1737,3.392
1738,4.445
1739,3.471
1740,3.743
1741,3.119
1742,2.559
1743,3.016
1744,3.277
1745,3.73
1746,3.186
1747,2.666
1748,2.376
1749,2.089
1750,2.23
1751,1.897
1752,1.933
1753,2.374
1754,1.778
1755,1.544
1756,2.182
1757,1.851
1758,1.748
1759,2.088
1760,2.399
1761,2.323
1762,2.015
1763,2.57
1764,2.351
1765,1.923
1766,1.702
1767,2.084
1768,1.952
1769,1.784
1770,1.794
1771,1.617
1772,1.543
1773,1.669
1774,1.385
1775,1.527
1776,1.044
1777,1.252
1778,1.265
1779,1.494
1780,1.257
1781,1.61
1782,1.595
1783,1.502
1784,1.387
1785,1.219
1786,1.032
1787,1.385
1788,1.377
1789,1.58
1790,1.571
1791,1.017
1792,1.426
1793,1.806
1794,1.415
1795,1.284
1796,1.572
1797,1.976
1798,1.903
1799,1.579
1800,1.642
1801,1.442
1802,1.538
1803,1.506
1804,1.066
1805,1.203
1806,1.493
1807,1.553
1808,1.509
1809,1.61
1810,1.63
1811,1.566
1812,1.636
1813,1.364
1814,1.531
1815,1.28
1816,1.566
1817,1.576
1818,1.616
1819,1.465
1820,1.319
1821,1.137
1822,1.391
1823,1.742
1824,1.866
1825,1.549
1826,1.532
1827,1.742
1828,1.899
1829,1.663
1830,2.082
1831,2.032
1832,1.983
1833,2.222
1834,2.46
1835,2.071
1836,2.156
1837,2.263
1838,2.228
1839,2.026
1840,1.935
1841,1.575
1842,1.775
1843,1.422
1844,1.892
1845,1.992
1846,1.917
1847,1.345
1848,1.252
1849,1.566
1850,2.266
1851,2.264
1852,2.265
1853,2.399
1854,1.502
1855,1.307
1856,1.369
1857,1.007
1858,0.967
1859,1.115
1860,1.412
1861,1.196
1862,1.646
1863,1.76
1864,1.05
1865,1.24
1866,1.2
1867,1.52
1868,1.54
1869,1.72
1870,1.74
1871,0.87
