year,rwi
1476,0.966
1477,0.912
1478,0.797
1479,0.898
1480,0.997
1481,0.874
1482,1.45
1483,1.181
1484,1.281
1485,1.148
1486,1.093
1487,1.103
1488,0.963
1489,1.996
1490,1.19
1491,1.511
1492,2.83
1493,1.167
1494,1.46
1495,1.018
1496,1.19
1497,0.719
1498,1.152
1499,0.904
1500,1.102
1501,1.042
1502,1.027
1503,0.626
1504,0.752
1505,0.792
1506,0.994
1507,1.221
1508,1.102
1509,0.847
1510,1.462
1511,1.384
1512,1.179
1513,0.998
1514,0.836
1515,1.094
1516,1.355
1517,1.239
1518,1.195
1519,1.16
1520,1.167
1521,0.816
1522,1.202
1523,1.04
1524,1.125
1525,1.084
1526,0.788
1527,1.284
1528,1.25
1529,1.139
1530,1.472
1531,0.91
1532,1.125
1533,0.986
1534,0.866
1535,0.979
1536,0.951
1537,0.919
1538,1.189
1539,1.138
1540,1.042
1541,1.264
1542,1.068
1543,1.35
1544,1.149
1545,0.975
1546,0.899
1547,1.028
1548,1.189
1549,1.224
1550,1.036
1551,0.834
1552,0.903
1553,1.375
1554,0.972
1555,0.704
1556,0.7
1557,0.891
1558,1.106
1559,0.851
1560,0.771
1561,1.137
1562,1.059
1563,1.044
1564,0.683
1565,1.059
1566,0.681
1567,0.778
1568,0.886
1569,0.845
1570,0.771
1571,0.738
1572,1.023
1573,0.575
1574,0.688
1575,0.705
1576,0.694
1577,1.333
1578,1.131
1579,1.186
1580,1.042
1581,0.793
1582,0.909
1583,0.78
1584,0.902
1585,1.174
1586,0.797
1587,0.516
1588,0.947
1589,1.136
1590,0.879
1591,0.657
1592,1.018
1593,1.127
1594,1.061
1595,0.977
1596,0.892
1597,0.726
1598,0.602
1599,0.536
1600,0.555
1601,0.534
1602,1.331
1603,1.304
1604,1.148
1605,1.076
1606,0.893
1607,0.967
1608,0.915
1609,0.731
1610,0.739
1611,1.096
1612,1.021
1613,1.024
1614,0.938
1615,1.087
1616,1.085
1617,1.273
1618,1.246
1619,1.255
1620,0.807
1621,0.871
1622,0.966
1623,0.876
1624,1.101
1625,1.263
1626,1.054
1627,1.016
1628,0.734
1629,0.616
1630,0.733
1631,0.646
1632,0.769
1633,0.704
1634,0.828
1635,0.459
1636,0.549
1637,1.124
1638,0.784
1639,0.833
1640,0.981
1641,0.982
1642,0.98
1643,0.939
1644,1.251
1645,0.929
1646,0.757
1647,1.133
1648,1.112
1649,1
1650,1.067
1651,1.021
1652,0.914
1653,0.985
1654,0.724
1655,0.58
1656,0.778
1657,0.802
1658,1.235
1659,1.336
1660,0.999
1661,0.906
1662,0.951
1663,0.753
1664,0.669
1665,0.773
1666,0.897
1667,0.985
1668,0.77
1669,1.011
1670,0.789
1671,0.968
1672,1.498
1673,1.13
1674,1.195
1675,1.185
1676,0.997
1677,1.387
1678,1.302
1679,0.826
1680,1.574
1681,1.073
1682,0.952
1683,1.204
1684,1.085
1685,1.084
1686,0.973
1687,0.959
1688,0.598
1689,0.971
1690,0.88
1691,0.704
1692,1.069
1693,0.947
1694,1.193
1695,1.179
1696,1
1697,1.173
1698,0.99
1699,1.062
1700,0.815
1701,0.589
1702,0.851
1703,0.787
1704,0.88
1705,0.891
1706,1.041
1707,0.981
1708,0.654
1709,0.898
1710,0.833
1711,1.158
1712,1.037
1713,1.147
1714,1.195
1715,1.386
1716,1.208
1717,1.448
1718,1.313
1719,1.042
1720,1.243
1721,1.06
1722,1.112
1723,1.049
1724,1.16
1725,1.13
1726,1.177
1727,1.16
1728,1.058
1729,1.352
1730,1.28
1731,1.111
1732,1.13
1733,1.001
1734,0.946
1735,0.739
1736,0.919
1737,0.952
1738,1.098
1739,1.254
1740,1.328
1741,1.079
1742,1.181
1743,1.072
1744,1.526
1745,1.42
1746,0.749
1747,0.814
1748,0.538
1749,0.669
1750,0.953
1751,0.82
1752,0.905
1753,1.394
1754,1.559
1755,0.626
1756,1.265
1757,0.761
1758,0.875
1759,0.94
1760,0.891
1761,0.861
1762,0.632
1763,0.955
1764,0.808
1765,0.927
1766,0.6
1767,0.634
1768,0.497
1769,0.689
1770,0.784
1771,1.004
1772,0.626
1773,0.341
1774,0.766
1775,0.975
1776,1.19
1777,1.193
1778,0.777
1779,0.94
1780,0.832
1781,1.29
1782,1.079
1783,1.507
1784,0.901
1785,0.948
1786,1.022
1787,1.086
1788,0.815
1789,0.79
1790,0.951
1791,1.02
1792,0.736
1793,1.387
1794,1.291
1795,1.109
1796,1.582
1797,0.923
1798,1.322
1799,0.987
1800,1.225
1801,1.104
1802,1.416
1803,1.034
1804,0.824
1805,0.799
1806,0.652
1807,0.782
1808,1.33
1809,1.17
1810,0.993
1811,0.634
1812,0.582
1813,0.72
1814,0.825
1815,1.069
1816,1.073
1817,0.991
1818,0.792
1819,0.704
1820,1.071
1821,0.851
1822,0.883
1823,0.887
1824,1.409
1825,1.31
1826,1.123
1827,1.192
1828,1.188
1829,0.863
1830,1.307
1831,1.229
1832,0.998
1833,0.991
1834,1.086
1835,0.908
1836,1.01
1837,0.978
1838,0.978
1839,0.769
1840,1.131
1841,0.867
1842,1.62
1843,0.889
1844,0.993
1845,0.756
1846,1.191
1847,1.027
1848,1.241
1849,1.339
1850,1.035
1851,1.258
1852,1.431
1853,1.179
1854,1.37
1855,1.113
1856,0.935
1857,1.539
1858,1.232
1859,1.039
1860,1
1861,0.956
1862,0.988
1863,1.033
1864,0.741
1865,1.391
1866,0.956
1867,1.081
1868,1.045
1869,0.932
1870,0.995
1871,0.977
1872,0.673
1873,0.788
1874,0.649
1875,1.005
1876,1.099
1877,1.085
1878,1.239
1879,0.577
1880,0.662
1881,0.615
1882,0.945
1883,0.814
1884,1.007
1885,0.65
1886,0.782
1887,0.578
1888,0.866
1889,1.165
1890,1.119
1891,1.178
1892,0.974
1893,0.762
1894,0.896
1895,0.718
1896,0.546
1897,1.14
1898,1.183
1899,1.208
1900,1.151
1901,1.011
1902,0.984
1903,1.299
1904,1.225
1905,0.966
1906,1.075
1907,1.149
1908,1.25
1909,1.166
1910,1.366
1911,0.747
1912,0.769
1913,0.982
1914,0.677
1915,0.988
1916,0.91
1917,0.951
1918,0.896
1919,1.105
1920,0.933
1921,0.962
1922,0.844
1923,0.925
1924,1.169
1925,1.223
1926,0.786
1927,0.892
1928,0.916
1929,1.088
1930,0.413
1931,0.932
1932,1.058
1933,1.313
1934,1.164
1935,1.465
1936,0.955
1937,0.79
1938,1.261
1939,1.233
1940,1.087
1941,0.679
1942,0.789
1943,0.904
1944,1.013
1945,0.97
1946,1.18
1947,0.735
1948,0.809
1949,0.72
1950,1.004
1951,1.229
1952,1.005
1953,1.098
1954,1.068
1955,1.087
1956,0.918
1957,0.919
1958,0.764
1959,0.803
1960,0.839
1961,1.073
1962,0.945
1963,0.719
1964,0.602
1965,0.773
1966,0.665
1967,0.995
1968,1.337
1969,0.72
1970,0.661
1971,1.003
1972,1.362
1973,1.405
1974,1.434
1975,1.323
1976,1.323
1977,0.579
1978,0.606
1979,0.933
1980,0.945
1981,1.232
