year,rwi
1865,1.185
1866,1.043
1867,1.081
1868,1.177
1869,1.327
1870,1.097
1871,1.183
1872,0.895
1873,1.007
1874,0.804
1875,0.993
1876,1
1877,1.255
1878,1.329
1879,0.995
1880,0.841
1881,1.02
1882,1.021
1883,1.178
1884,0.966
1885,1.026
1886,1.189
1887,0.878
1888,0.949
1889,1.182
1890,0.942
1891,1.054
1892,1.08
1893,0.893
1894,0.789
1895,0.802
1896,0.908
1897,0.795
1898,0.895
1899,0.938
1900,0.979
1901,1.102
1902,1.074
1903,1.063
1904,1.066
1905,0.957
1906,0.971
1907,0.893
1908,0.739
1909,0.724
1910,0.803
1911,0.808
1912,0.811
1913,0.768
1914,0.608
1915,0.804
1916,1.211
1917,1.052
1918,1.018
1919,1.084
1920,1.127
1921,1.128
1922,1.135
1923,1.102
1924,1.077
1925,0.876
1926,0.851
1927,0.901
1928,0.911
1929,0.866
1930,0.844
1931,0.875
1932,1.183
1933,1.238
1934,1.172
1935,1.336
1936,0.995
1937,1.162
1938,1.109
1939,1.187
1940,1.085
1941,0.996
1942,1.183
1943,1.022
1944,0.987
1945,0.893
1946,1.072
1947,0.844
1948,0.87
1949,1.132
1950,1.059
1951,1.024
1952,0.974
1953,1.105
1954,0.988
1955,1.069
1956,1.044
1957,1.12
1958,0.945
1959,0.792
1960,0.844
1961,0.988
1962,0.912
1963,0.769
1964,0.973
1965,0.751
1966,0.642
1967,0.838
1968,0.858
1969,0.93
1970,0.863
1971,1.025
1972,0.979
1973,1.073
1974,1.19
1975,1.199
1976,0.956
1977,0.841
1978,1.197
1979,0.773
1980,1.058
1981,0.911
1982,1.074
1983,1.101
1984,0.91
1985,1.02
1986,1.182
1987,1.103
1988,0.867
1989,1.091
1990,1.239
1991,0.988
1992,1.205
1993,1.116
