year,rwi
1900,1.052
1901,1.042
1902,0.889
1903,1.04
1904,0.947
1905,1.027
1906,1.04
1907,0.982
1908,1.147
1909,1.033
1910,0.956
1911,0.854
1912,1.177
1913,1.191
1914,1.092
1915,1.293
1916,1.438
1917,0.765
1918,1.004
1919,0.922
1920,0.927
1921,1.032
1922,0.699
1923,0.731
1924,0.678
1925,0.897
1926,1.075
1927,1.009
1928,1.45
1929,1.085
1930,0.948
1931,1.165
1932,1.131
1933,0.883
1934,0.94
1935,0.879
1936,0.906
1937,1.039
1938,1.041
1939,1.068
1940,0.975
1941,1.014
1942,0.862
1943,0.89
1944,1.014
1945,1.187
1946,1.093
1947,1.244
1948,1.055
1949,0.818
1950,0.73
1951,0.958
1952,1.044
1953,0.874
1954,0.963
1955,0.988
1956,0.942
1957,1.017
1958,0.983
1959,0.894
1960,0.875
1961,0.883
1962,0.874
1963,1.024
1964,0.881
1965,1.003
1966,1.005
1967,1.183
1968,1.216
1969,1.202
1970,1.119
1971,1.021
1972,0.945
1973,1.071
1974,0.99
1975,0.988
1976,1.22
1977,1.144
1978,1.209
1979,1.027
1980,0.902
1981,1.013
1982,0.855
1983,0.884
1984,0.967
1985,0.778
1986,0.898
1987,1.081
1988,0.88
1989,0.741
1990,0.815
1991,0.824
1992,0.85
1993,1.057
1994,1.14
1995,0.856
1996,0.841
1997,0.936
1998,1.227
1999,1.035
2000,1.107
2001,0.883
2002,0.904
2003,1.037
2004,1.054
2005,1.287
2006,1.167
2007,1.067
2008,1.016
