year,rwi
1668,1.038
1669,1.215
1670,1.285
1671,0.85
1672,1.102
1673,1.25
1674,1.219
1675,1.009
1676,0.825
1677,0.867
1678,0.992
1679,1.268
1680,0.661
1681,0.923
1682,0.638
1683,0.739
1684,0.506
1685,0.852
1686,1.354
1687,0.897
1688,1.539
1689,1.327
1690,1.316
1691,1.147
1692,1.294
1693,1.267
1694,0.778
1695,0.832
1696,1.077
1697,1
1698,0.927
1699,1.272
1700,0.777
1701,0.677
1702,0.404
1703,0.614
1704,1.044
1705,1.297
1706,0.959
1707,1.098
1708,1.249
1709,1.108
1710,0.851
1711,1.404
1712,1.513
1713,1.641
1714,1.165
1715,1.1
1716,0.901
1717,1.15
1718,0.843
1719,0.96
1720,0.933
1721,1.191
1722,1.134
1723,1.143
1724,1.007
1725,0.735
1726,0.84
1727,0.869
1728,0.846
1729,0.717
1730,0.781
1731,0.688
1732,0.786
1733,0.831
1734,0.742
1735,0.653
1736,0.551
1737,0.478
1738,0.554
1739,0.519
1740,0.785
1741,0.875
1742,0.635
1743,0.795
1744,0.891
1745,0.893
1746,0.943
1747,0.74
1748,0.631
1749,0.457
1750,0.478
1751,0.6
1752,0.678
1753,0.594
1754,0.595
1755,0.739
1756,0.948
1757,0.899
1758,0.883
1759,1.34
1760,1.088
1761,0.977
1762,1.225
1763,0.902
1764,0.96
1765,1.143
1766,1.131
1767,1.06
1768,0.788
1769,1.056
1770,1.126
1771,1.667
1772,1.995
1773,1.14
1774,1.133
1775,1.032
1776,1.225
1777,1.08
1778,1.242
1779,1.001
1780,1.196
1781,0.943
1782,0.523
1783,0.638
1784,0.433
1785,0.817
1786,1.134
1787,1.146
1788,1.608
1789,1.294
1790,1.536
1791,2.051
1792,1.661
1793,1.982
1794,1.548
1795,1.935
1796,1.814
1797,1.228
1798,2.202
1799,2.126
1800,1.902
1801,1.34
1802,0.788
1803,1.222
1804,1.511
1805,1.144
1806,1.016
1807,1.226
1808,1.095
1809,0.979
1810,1.675
1811,0.752
1812,1.187
1813,1.412
1814,1.564
1815,1.465
1816,1.533
1817,1.414
1818,1.505
1819,1.534
1820,1.09
1821,1.496
1822,1.101
1823,0.986
1824,0.826
1825,1.009
1826,1.384
1827,1.377
1828,0.999
1829,1.087
1830,0.99
1831,1.283
1832,1.337
1833,1.11
1834,0.874
1835,0.918
1836,0.802
1837,1.01
1838,0.798
1839,0.732
1840,0.585
1841,0.821
1842,0.902
1843,1.176
1844,0.856
1845,1.462
1846,0.96
1847,0.964
1848,0.991
1849,0.875
1850,0.852
1851,1.056
1852,1.153
1853,1.003
1854,0.902
1855,0.995
1856,1.211
1857,1.891
1858,1.663
1859,1.952
1860,1.783
1861,1.118
1862,1.267
1863,1.122
1864,1.238
1865,1.176
1866,1.286
1867,0.715
1868,0.612
1869,0.849
1870,0.882
1871,1.282
1872,1.321
1873,1.398
1874,0.735
1875,0.649
1876,1.179
1877,0.859
1878,0.678
1879,0.615
1880,0.703
1881,1.011
1882,1.161
1883,1.253
1884,1.673
1885,2.114
1886,1.631
1887,1.503
1888,0.914
1889,0.818
1890,0.96
1891,0.697
1892,0.719
1893,0.788
1894,0.988
1895,1.201
1896,1.024
1897,1.217
1898,1.432
1899,1.666
1900,1.357
1901,1.121
1902,1.092
1903,1.216
1904,0.798
1905,0.596
1906,0.497
1907,0.401
1908,0.253
1909,0.384
1910,0.414
1911,0.362
1912,0.663
1913,0.788
1914,1.175
1915,1.05
1916,0.806
1917,0.674
1918,0.807
1919,0.678
1920,1.007
1921,0.942
1922,0.612
1923,0.852
1924,0.701
1925,0.803
1926,0.793
1927,0.55
1928,0.61
1929,0.568
1930,0.729
1931,0.446
1932,0.512
1933,0.516
1934,0.586
1935,0.743
1936,0.751
1937,0.671
1938,0.597
1939,0.766
1940,0.805
1941,1.19
1942,1.29
1943,1.233
1944,0.726
1945,0.466
1946,0.551
1947,0.39
1948,0.672
1949,0.679
1950,0.584
1951,0.686
1952,0.679
1953,0.769
1954,0.621
1955,0.675
1956,0.713
1957,0.462
1958,0.511
1959,0.997
1960,1.364
1961,1.301
1962,1.03
1963,0.585
1964,0.552
1965,0.408
1966,0.701
1967,0.646
1968,0.439
1969,0.65
1970,0.709
1971,0.437
1972,0.799
1973,0.928
1974,1.003
1975,1.35
1976,1.341
1977,1.658
1978,2.039
1979,1.857
1980,1.425
1981,1.273
